Ministério da Saúde MS
Secretaria de Atenção Primária à Saúde SAPS
Sistema de Informação para a Atenção Primária à Saúde – SIAPS
Dado gerado em: 13 de outubro de 2025 - 14:55h
Relatório Qualidade - Visão por Competência

Dados Sócio Demográficos:
UF: MS
Município: 500270 / CAMPO GRANDE

Filtro:
Indicador: Ações Interprofissionais da eMulti
Competência selecionada: AGO/25
Tipo de Equipe: eMulti

CNES;ESTABELECIMENTO;TIPO DO ESTABELECIMENTO;INE;NOME DA EQUIPE;SIGLA DA EQUIPE;NÚMERO DE AÇÕES COMPARTILHADAS REALIZADAS PELA EMULTI NA APS;NÚMERO TOTAL DE AÇÕES REALIZADAS PELA EMULTI NA APS;PONTUAÇÃO
"5672341";"SESAU USF ESTRELA DALVA DR JOAO MIGUEL BASMAGE";"CENTRO DE SAUDE/UNIDADE BASICA";"0001645234";"EQUIPE NASF NOVA LIMA B3";"eMulti";"157";"457";"34,40"
"3051927";"SESAU USF ZE PEREIRA DR JURANDYR DE CASTRO COIMBRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001645277";"EQUIPE NASF SEMINARIO B4";"eMulti";"164";"634";"25,90"
"7568835";"SESAU USF VILA FERNANDA MARIA IVONE DE O NASCIMENTO ARAKAKI";"CENTRO DE SAUDE/UNIDADE BASICA";"0001540408";"EQUIPE NASF BATISTAO C3";"eMulti";"122";"400";"30,50"
"3598209";"SESAU USF AERO ITALIA HERBERTO CALADO REBELO";"CENTRO DE SAUDE/UNIDADE BASICA";"0002105950";"EQUIPE NASF IMBIRUSSU 3";"eMulti";"85";"370";"23,00"
"0028789";"SESAU USF MORENINHA III DR JUDSON TADEU RIBAS";"CENTRO DE SAUDE/UNIDADE BASICA";"0001645250";"EQUIPE NASF UNIVERSITARIO B2";"eMulti";"152";"426";"35,70"
"0028851";"SESAU USF COOPHAVILA II ALFREDO NEDER";"CENTRO DE SAUDE/UNIDADE BASICA";"0002115085";"EQUIPE NASF COOPHAVILA 2";"eMulti";"223";"512";"43,60"
"0010235";"SESAU USF VILA NASSER DR MILTON KOJO CHINEN";"CENTRO DE SAUDE/UNIDADE BASICA";"0002247240";"EQUIPE NASF SEMINARIO A2";"eMulti";"31";"363";"8,50"
"3285294";"SESAU USF JARDIM LOS ANGELES SEBASTIAO LUIZ NOGUEIRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0002247461";"EQUIPE NASF UNIVERSITARIO D1";"eMulti";"17";"259";"6,60"
"0024341";"SESAU USF JARDIM ITAMARACA EDSON QUINTINO MENDES";"CENTRO DE SAUDE/UNIDADE BASICA";"0002247674";"EQUIPE NASF TIRADENTES 1";"eMulti";"79";"317";"24,90"
"9443525";"SESAU USF OLIVEIRA II BENEDITO MARTINS GONCALVES";"CENTRO DE SAUDE/UNIDADE BASICA";"0002249979";"EQUIPE NASF BATISTAO A1";"eMulti";"102";"316";"32,30"
"3005690";"SESAU USF JARDIM NOROESTE";"CENTRO DE SAUDE/UNIDADE BASICA";"0002250187";"EQUIPE NASF UNIVERSITARIO A2";"eMulti";"64";"313";"20,40"
"6731198";"SESAU USF JOSE TAVARES DO COUTO DR FERNANDO DE ARRUDA TORRES";"CENTRO DE SAUDE/UNIDADE BASICA";"0001540394";"EQUIPE NASF NOVA LIMA A3";"eMulti";"49";"448";"10,90"
"3198278";"SESAU USF PAULO COELHO MACHADO";"CENTRO DE SAUDE/UNIDADE BASICA";"0002243636";"EQUIPE NASF UNIVERSITARIO C1";"eMulti";"15";"432";"3,50"
"7108001";"SESAU USF JARDIM BOTAFOGO DR ELIZABETH WANDERLE TOBARU";"CENTRO DE SAUDE/UNIDADE BASICA";"0002247518";"EQUIPE NASF BATISTAO D2";"eMulti";"75";"543";"13,80"

Fonte: Sistema de Informação para a Atenção Primária à Saúde - SIAPS
Dado preliminar
