Ministério da Saúde MS
Secretaria de Atenção Primária à Saúde SAPS
Sistema de Informação para a Atenção Primária à Saúde – SIAPS
Dado gerado em: 13 de outubro de 2025 - 14:15h
Relatório Qualidade - Visão por Competência

Dados Sócio Demográficos:
UF: MS
Município: 500270 / CAMPO GRANDE

Filtro:
Indicador: Média de atendimentos da eMulti por pessoa
Competência selecionada: AGO/25
Tipo de Equipe: eMulti

CNES;ESTABELECIMENTO;TIPO DO ESTABELECIMENTO;INE;NOME DA EQUIPE;SIGLA DA EQUIPE;NÚMERO DE ATENDIMENTOS INDIVIDUAIS E COLETIVOS REALIZADOS;NÚMERO TOTAL DE PESSOAS ATENDIDAS;PONTUAÇÃO
"5672341";"SESAU USF ESTRELA DALVA DR JOAO MIGUEL BASMAGE";"CENTRO DE SAUDE/UNIDADE BASICA";"0001645234";"EQUIPE NASF NOVA LIMA B3";"eMulti";"3693";"1625";"2,27"
"3051927";"SESAU USF ZE PEREIRA DR JURANDYR DE CASTRO COIMBRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001645277";"EQUIPE NASF SEMINARIO B4";"eMulti";"4871";"2012";"2,42"
"7568835";"SESAU USF VILA FERNANDA MARIA IVONE DE O NASCIMENTO ARAKAKI";"CENTRO DE SAUDE/UNIDADE BASICA";"0001540408";"EQUIPE NASF BATISTAO C3";"eMulti";"3135";"1551";"2,02"
"3598209";"SESAU USF AERO ITALIA HERBERTO CALADO REBELO";"CENTRO DE SAUDE/UNIDADE BASICA";"0002105950";"EQUIPE NASF IMBIRUSSU 3";"eMulti";"3886";"1583";"2,45"
"0028789";"SESAU USF MORENINHA III DR JUDSON TADEU RIBAS";"CENTRO DE SAUDE/UNIDADE BASICA";"0001645250";"EQUIPE NASF UNIVERSITARIO B2";"eMulti";"3027";"1389";"2,18"
"0028851";"SESAU USF COOPHAVILA II ALFREDO NEDER";"CENTRO DE SAUDE/UNIDADE BASICA";"0002115085";"EQUIPE NASF COOPHAVILA 2";"eMulti";"4310";"2119";"2,03"
"0010235";"SESAU USF VILA NASSER DR MILTON KOJO CHINEN";"CENTRO DE SAUDE/UNIDADE BASICA";"0002247240";"EQUIPE NASF SEMINARIO A2";"eMulti";"4771";"2045";"2,33"
"3285294";"SESAU USF JARDIM LOS ANGELES SEBASTIAO LUIZ NOGUEIRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0002247461";"EQUIPE NASF UNIVERSITARIO D1";"eMulti";"2814";"1299";"2,17"
"0024341";"SESAU USF JARDIM ITAMARACA EDSON QUINTINO MENDES";"CENTRO DE SAUDE/UNIDADE BASICA";"0002247674";"EQUIPE NASF TIRADENTES 1";"eMulti";"2648";"1068";"2,48"
"9443525";"SESAU USF OLIVEIRA II BENEDITO MARTINS GONCALVES";"CENTRO DE SAUDE/UNIDADE BASICA";"0002249979";"EQUIPE NASF BATISTAO A1";"eMulti";"3544";"1671";"2,12"
"3005690";"SESAU USF JARDIM NOROESTE";"CENTRO DE SAUDE/UNIDADE BASICA";"0002250187";"EQUIPE NASF UNIVERSITARIO A2";"eMulti";"2837";"1504";"1,89"
"6731198";"SESAU USF JOSE TAVARES DO COUTO DR FERNANDO DE ARRUDA TORRES";"CENTRO DE SAUDE/UNIDADE BASICA";"0001540394";"EQUIPE NASF NOVA LIMA A3";"eMulti";"4918";"2274";"2,16"
"3198278";"SESAU USF PAULO COELHO MACHADO";"CENTRO DE SAUDE/UNIDADE BASICA";"0002243636";"EQUIPE NASF UNIVERSITARIO C1";"eMulti";"4422";"1968";"2,25"
"7108001";"SESAU USF JARDIM BOTAFOGO DR ELIZABETH WANDERLE TOBARU";"CENTRO DE SAUDE/UNIDADE BASICA";"0002247518";"EQUIPE NASF BATISTAO D2";"eMulti";"4311";"2341";"1,84"

Fonte: Sistema de Informação para a Atenção Primária à Saúde - SIAPS
Dado preliminar
