Ministério da Saúde MS
Secretaria de Atenção Primária à Saúde SAPS
Sistema de Informação para a Atenção Primária à Saúde – SIAPS
Dado gerado em: 10 de outubro de 2025 - 14:38h
Relatório Qualidade - Visão por Competência

Dados Sócio Demográficos:
UF: MS
Município: 500110 / AQUIDAUANA

Filtro:
Indicador: Desenvolvimento Infantil
Competência selecionada: AGO/25
Tipo de Equipe: eAP, eSF

CNES;ESTABELECIMENTO;TIPO DO ESTABELECIMENTO;INE;NOME DA EQUIPE;SIGLA DA EQUIPE;TER A 1ª CONSULTA PRESENCIAL REALIZADA POR MÉDICA(O) OU ENFERMEIRA(O), ATÉ O 30º DIA DE VIDA;TER PELO MENOS 09 (NOVE) CONSULTAS PRESENCIAIS OU REMOTAS REALIZADAS POR MÉDICA (O) OU ENFERMEIRA(O) ATÉ DOIS ANOS DE VIDA;TER PELO MENOS 09 (NOVE) REGISTROS SIMULTÂNEOS DE PESO E ALTURA ATÉ OS DOIS ANOS DE VIDA;TER PELO MENOS 02 (DUAS) VISITAS DOMICILIARES REALIZADAS POR ACS/TACS, SENDO A PRIMEIRA ATÉ OS PRIMEIROS 30 (TRINTA) DIAS DE VIDA E A SEGUNDA ATÉ OS 06 (SEIS) MESES DE VIDA;TER VACINAS CONTRA DIFTERIA, TÉTANO, COQUELUCHE, HEPATITE B, INFECÇÕES CAUSADAS POR HAEMOPHILUS INFLUENZAE TIPO B, POLIOMIELITE, SARAMPO, CAXUMBA E RUBÉOLA, PNEUMOCÓCICA, REGISTRADAS COM TODAS AS DOSES RECOMENDADAS;SOMATÓRIO DAS BOAS PRÁTICAS PONTUADAS PARA CADA CRIANÇA COM ATÉ 02 (DOIS) ANOS DE VIDA DURANTE O ACOMPANHAMENTO DO DESENVOLVIMENTO INFANTIL.;Nº TOTAL DE CRIANÇAS COM ATÉ 02 (DOIS) ANOS DE VIDA VINCULADAS À EQUIPE NO PERÍODO;RAZÃO ENTRE O NUMERADOR E DENOMINADOR
"6315356";"ESTRATEGIA DE SAUDE DA FAMILIA SAO PEDRO";"CENTRO DE SAUDE/UNIDADE BASICA";"0000438308";"VILA SAO PEDRO/OVIDIO COSTA 3";"eSF";"16";"4";"11";"35";"25";"1820";"61";"29,80"
"0467499";"UNIDADE DE SAUDE DA FAMILIA DRA CELIA VAZ DE CAMPOS TRINDADE";"CENTRO DE SAUDE/UNIDADE BASICA";"0002150212";"DRA CELIA VAZ TRINDADE";"eSF";"20";"9";"15";"36";"25";"2100";"67";"31,30"
"2659670";"UNIDADE DE SAUDE DA FAMILIA CIDADE NOVA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000438219";"TIAGO BOGADO FIGUEIREDO";"eSF";"14";"9";"14";"35";"21";"1860";"50";"37,20"
"2360225";"ESTRATEGIA DE SAUDE DA FAMILIA CAMISAO";"CENTRO DE SAUDE/UNIDADE BASICA";"0000438170";"CAMISAO/PIRAPUTANGA/QUILOMBOLA";"eSF";"0";"4";"5";"12";"7";"560";"25";"22,40"
"2659662";"UNIDADE DE SAUDE DA FAMILIA SANTA TEREZINHA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000438197";"JOSE VORIA";"eSF";"21";"13";"24";"43";"24";"2500";"60";"41,70"
"2360209";"UNIDADE DE SAUDE DA FAMILIA ELCIRIA RITA BRANDES GARCIA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000438154";"V.40-S.FRANCISCO-S.CRISTOVAO";"eSF";"18";"16";"21";"45";"35";"2700";"71";"38,00"
"5601010";"UNIDADE DE SAUDE DA FAMILIA BAIRRO ALTO";"CENTRO DE SAUDE/UNIDADE BASICA";"0000438286";"PROF JOAO JORGE CARNEIRO";"eSF";"6";"4";"7";"19";"16";"1040";"30";"34,70"
"2360217";"UNIDADE DE SAUDE DA FAMILIA VILA PINHEIRO";"CENTRO DE SAUDE/UNIDADE BASICA";"0000438162";"VILA PINHEIRO - VILA ELIANE";"eSF";"11";"8";"12";"36";"17";"1680";"64";"26,30"
"6310834";"ESTRATEGIA DE SAUDE DA FAMILIA CIPOLANDIA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000438294";"CIPOLANDIA/INDAIA";"eSF";"2";"6";"8";"14";"13";"860";"27";"31,90"
"5601010";"UNIDADE DE SAUDE DA FAMILIA BAIRRO ALTO";"CENTRO DE SAUDE/UNIDADE BASICA";"0000438251";"DR. CANDIDO PINHEIRO FILHO";"eSF";"14";"7";"6";"25";"10";"1240";"39";"31,80"
"7525877";"UNIDADE DE SAUDE DA FAMILIA MODESTO PEREIRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001536605";"TAUNAY/MORRINHO";"eSF";"0";"8";"5";"17";"10";"800";"26";"30,80"
"3240053";"ESTRATEGIA DE SAUDE DA FAMILIA VILA TRINDADE";"CENTRO DE SAUDE/UNIDADE BASICA";"0000438235";"V.TRINDADE- PARAISO-COL.BURITI";"eSF";"6";"3";"23";"28";"20";"1600";"44";"36,40"
"3240061";"ESTRATEGIA DE SAUDE DA FAMILIA GUANANDY";"CENTRO DE SAUDE/UNIDADE BASICA";"0000438243";"GUANANDY E RIBEIRINHA";"eSF";"12";"0";"1";"31";"23";"1340";"53";"25,30"
"2659662";"UNIDADE DE SAUDE DA FAMILIA SANTA TEREZINHA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000438189";"DR. CLAUDIO FERNANDO STELLA";"eSF";"25";"15";"27";"37";"29";"2660";"75";"35,50"
"2659670";"UNIDADE DE SAUDE DA FAMILIA CIDADE NOVA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000438200";"JOAO ANDRE MADSEN";"eSF";"12";"13";"30";"52";"43";"3000";"79";"38,00"
"2659689";"ESTRATEGIA DE SAUDE DA FAMILIA NOVA AQUIDAUANA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000438227";"NOVA AQUIDAUANA";"eSF";"24";"7";"11";"38";"48";"2560";"88";"29,10"
"7065817";"ESTRATEGIA DE SAUDE DA FAMILIA IZAURA BAES";"CENTRO DE SAUDE/UNIDADE BASICA";"0000438324";"NOVA AQUIDAUANA II";"eSF";"28";"15";"13";"37";"32";"2500";"89";"28,10"

Fonte: Sistema de Informação para a Atenção Primária à Saúde - SIAPS
Dado preliminar
