Ministério da Saúde MS
Secretaria de Atenção Primária à Saúde SAPS
Sistema de Informação para a Atenção Primária à Saúde – SIAPS
Dado gerado em: 10 de outubro de 2025 - 14:46h
Relatório Qualidade - Visão por Competência

Dados Sócio Demográficos:
UF: MS
Município: 500320 / CORUMBÁ

Filtro:
Indicador: Desenvolvimento Infantil
Competência selecionada: AGO/25
Tipo de Equipe: eAP, eSF

CNES;ESTABELECIMENTO;TIPO DO ESTABELECIMENTO;INE;NOME DA EQUIPE;SIGLA DA EQUIPE;TER A 1ª CONSULTA PRESENCIAL REALIZADA POR MÉDICA(O) OU ENFERMEIRA(O), ATÉ O 30º DIA DE VIDA;TER PELO MENOS 09 (NOVE) CONSULTAS PRESENCIAIS OU REMOTAS REALIZADAS POR MÉDICA (O) OU ENFERMEIRA(O) ATÉ DOIS ANOS DE VIDA;TER PELO MENOS 09 (NOVE) REGISTROS SIMULTÂNEOS DE PESO E ALTURA ATÉ OS DOIS ANOS DE VIDA;TER PELO MENOS 02 (DUAS) VISITAS DOMICILIARES REALIZADAS POR ACS/TACS, SENDO A PRIMEIRA ATÉ OS PRIMEIROS 30 (TRINTA) DIAS DE VIDA E A SEGUNDA ATÉ OS 06 (SEIS) MESES DE VIDA;TER VACINAS CONTRA DIFTERIA, TÉTANO, COQUELUCHE, HEPATITE B, INFECÇÕES CAUSADAS POR HAEMOPHILUS INFLUENZAE TIPO B, POLIOMIELITE, SARAMPO, CAXUMBA E RUBÉOLA, PNEUMOCÓCICA, REGISTRADAS COM TODAS AS DOSES RECOMENDADAS;SOMATÓRIO DAS BOAS PRÁTICAS PONTUADAS PARA CADA CRIANÇA COM ATÉ 02 (DOIS) ANOS DE VIDA DURANTE O ACOMPANHAMENTO DO DESENVOLVIMENTO INFANTIL.;Nº TOTAL DE CRIANÇAS COM ATÉ 02 (DOIS) ANOS DE VIDA VINCULADAS À EQUIPE NO PERÍODO;RAZÃO ENTRE O NUMERADOR E DENOMINADOR
"7573170";"UNIDADE BASICA DE SAUDE DR ENIO CUNHA II";"CENTRO DE SAUDE/UNIDADE BASICA";"0001547909";"EQUIPE ENIO CUNHA II";"eSF";"8";"0";"1";"26";"14";"980";"53";"18,50"
"6585426";"UNIDADE BASICA DE SAUDE LUIS FRAGELLI";"CENTRO DE SAUDE/UNIDADE BASICA";"0000441309";"EQUIPE LUIZ FRAGELLI";"eSF";"10";"4";"4";"25";"23";"1320";"43";"30,70"
"2376148";"UNIDADE BASICA DE SAUDE FERNANDO MOUTINHO";"CENTRO DE SAUDE/UNIDADE BASICA";"0000441104";"EQUIPE FERNANDO MOUTINHO II";"eSF";"19";"13";"13";"43";"33";"2420";"88";"27,50"
"2591405";"UNIDADE BASICA DE SAUDE DRA LUCIA MARIA PEREIRA DE CARVALHO";"CENTRO DE SAUDE/UNIDADE BASICA";"0000441228";"EQ. LUCIA M. P. DE CARVALHO";"eSF";"4";"0";"0";"26";"23";"1060";"74";"14,30"
"2591553";"UNIDADE BASICA DE SAUDE RURAL MATO GRANDE";"CENTRO DE SAUDE/UNIDADE BASICA";"0000441244";"EQUIPE MATO GRANDE";"eSF";"6";"2";"1";"16";"5";"600";"26";"23,10"
"6091458";"UNIDADE BASICA DE SAUDE DR HUMBERTO PEREIRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000441287";"EQUIPE DR.HUMBERTO PEREIRA";"eSF";"8";"0";"1";"23";"16";"960";"51";"18,80"
"2559498";"UNIDADE BASICA DE SAUDE GASTAO DE OLIVEIRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000441201";"EQUIPE GASTAO DE OLIVEIRA I";"eSF";"13";"0";"0";"25";"13";"1020";"37";"27,60"
"6564070";"UNIDADE BASICA DE SAUDE ANGELICA ANACHE";"CENTRO DE SAUDE/UNIDADE BASICA";"0000441295";"EQUIPE ANGELICA ANACHE";"eSF";"7";"0";"0";"46";"27";"1600";"81";"19,80"
"7836546";"UNIDADE BASICA DE SAUDE RANULFO DE JESUS VASCONCELLOS";"CENTRO DE SAUDE/UNIDADE BASICA";"0001556916";"EQUIPE RANULFO VASCONCELLOS";"eSF";"8";"7";"8";"26";"19";"1360";"47";"28,90"
"2376105";"UNIDADE BASICA DE SAUDE BRENO DE MEDEIROS";"CENTRO DE SAUDE/UNIDADE BASICA";"0000441074";"EQUIPE BRENO II";"eSF";"11";"0";"0";"59";"24";"1880";"93";"20,20"
