Ministério da Saúde MS
Secretaria de Atenção Primária à Saúde SAPS
Sistema de Informação para a Atenção Primária à Saúde – SIAPS
Dado gerado em: 10 de outubro de 2025 - 14:59h
Relatório Qualidade - Visão por Competência

Dados Sócio Demográficos:
UF: MS
Município: 500570 / NAVIRAÍ

Filtro:
Indicador: Desenvolvimento Infantil
Competência selecionada: AGO/25
Tipo de Equipe: eAP, eSF

CNES;ESTABELECIMENTO;TIPO DO ESTABELECIMENTO;INE;NOME DA EQUIPE;SIGLA DA EQUIPE;TER A 1ª CONSULTA PRESENCIAL REALIZADA POR MÉDICA(O) OU ENFERMEIRA(O), ATÉ O 30º DIA DE VIDA;TER PELO MENOS 09 (NOVE) CONSULTAS PRESENCIAIS OU REMOTAS REALIZADAS POR MÉDICA (O) OU ENFERMEIRA(O) ATÉ DOIS ANOS DE VIDA;TER PELO MENOS 09 (NOVE) REGISTROS SIMULTÂNEOS DE PESO E ALTURA ATÉ OS DOIS ANOS DE VIDA;TER PELO MENOS 02 (DUAS) VISITAS DOMICILIARES REALIZADAS POR ACS/TACS, SENDO A PRIMEIRA ATÉ OS PRIMEIROS 30 (TRINTA) DIAS DE VIDA E A SEGUNDA ATÉ OS 06 (SEIS) MESES DE VIDA;TER VACINAS CONTRA DIFTERIA, TÉTANO, COQUELUCHE, HEPATITE B, INFECÇÕES CAUSADAS POR HAEMOPHILUS INFLUENZAE TIPO B, POLIOMIELITE, SARAMPO, CAXUMBA E RUBÉOLA, PNEUMOCÓCICA, REGISTRADAS COM TODAS AS DOSES RECOMENDADAS;SOMATÓRIO DAS BOAS PRÁTICAS PONTUADAS PARA CADA CRIANÇA COM ATÉ 02 (DOIS) ANOS DE VIDA DURANTE O ACOMPANHAMENTO DO DESENVOLVIMENTO INFANTIL.;Nº TOTAL DE CRIANÇAS COM ATÉ 02 (DOIS) ANOS DE VIDA VINCULADAS À EQUIPE NO PERÍODO;RAZÃO ENTRE O NUMERADOR E DENOMINADOR
"2374285";"EAP PORTO CAIUA";"CENTRO DE SAUDE/UNIDADE BASICA";"0002255111";"EAP PORTO CAIUA";"eAP";"0";"4";"3";"3";"4";"320";"5";"64,00"
"2892871";"EAP JUNCAL";"CENTRO DE SAUDE/UNIDADE BASICA";"0002255235";"EAP JUNCAL";"eAP";"1";"3";"2";"4";"3";"320";"7";"45,70"
"5657512";"ESF SAO PEDRO";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443328";"ESF SAO PEDRO";"eSF";"10";"2";"3";"17";"17";"980";"46";"21,30"
"2374250";"CENTRO DE SAUDE DR ANTONITO PIRES DE SOUZA";"CENTRO DE SAUDE/UNIDADE BASICA";"0002287595";"EAP ANTONITO PIRES 2";"eAP";"0";"0";"0";"0";"3";"200";"7";"28,60"
"7018428";"ESF SOL NASCENTE";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443379";"ESF SOL NASCENTE";"eSF";"2";"1";"2";"11";"31";"940";"58";"16,20"
"5966523";"ESF MARIA DE LOURDES DOS SANTOS";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443336";"ESF MARIA DE LOURDES";"eSF";"16";"0";"2";"57";"32";"2140";"87";"24,60"
"2374250";"CENTRO DE SAUDE DR ANTONITO PIRES DE SOUZA";"CENTRO DE SAUDE/UNIDADE BASICA";"0002246570";"EAP ANTONITO PIRES 1";"eAP";"0";"3";"3";"1";"66";"3180";"87";"36,60"
"5322804";"ESF RONAN MARQUES";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443301";"ESF RONAN MARQUES";"eSF";"10";"1";"1";"22";"29";"1260";"66";"19,10"
"3126013";"ESF BOA VISTA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443298";"ESF BOA VISTA";"eSF";"2";"2";"3";"23";"21";"1020";"51";"20,00"
"8005567";"ESF PARAISO I";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443387";"ESF PARAISO I";"eSF";"1";"4";"2";"19";"27";"1060";"56";"18,90"
"7545789";"ESF PARAISO II";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443395";"ESF PARAISO II";"eSF";"12";"3";"2";"14";"18";"980";"44";"22,30"
"2374269";"ESF DR CARLOS VIDOTO";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443263";"ESF CARLOS VIDOTO";"eSF";"2";"6";"8";"27";"23";"1320";"53";"24,90"
"7001878";"ESF VILA NOVA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443360";"ESF VILA NOVA";"eSF";"36";"12";"9";"81";"41";"3580";"119";"30,10"
"2558688";"ESF PE ANTONIO KOREMAN";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443271";"ESF PADRE KOREMAN";"eSF";"5";"2";"5";"29";"24";"1300";"56";"23,20"
"9912835";"ESF IPE";"CENTRO DE SAUDE/UNIDADE BASICA";"0001687301";"ESF IPE";"eSF";"1";"0";"2";"17";"34";"1080";"55";"19,60"

Fonte: Sistema de Informação para a Atenção Primária à Saúde - SIAPS
Dado preliminar
