Ministério da Saúde MS
Secretaria de Atenção Primária à Saúde SAPS
Sistema de Informação para a Atenção Primária à Saúde – SIAPS
Dado gerado em: 10 de outubro de 2025 - 15:00h
Relatório Qualidade - Visão por Competência

Dados Sócio Demográficos:
UF: MS
Município: 500620 / NOVA ANDRADINA

Filtro:
Indicador: Desenvolvimento Infantil
Competência selecionada: AGO/25
Tipo de Equipe: eAP, eSF

CNES;ESTABELECIMENTO;TIPO DO ESTABELECIMENTO;INE;NOME DA EQUIPE;SIGLA DA EQUIPE;TER A 1ª CONSULTA PRESENCIAL REALIZADA POR MÉDICA(O) OU ENFERMEIRA(O), ATÉ O 30º DIA DE VIDA;TER PELO MENOS 09 (NOVE) CONSULTAS PRESENCIAIS OU REMOTAS REALIZADAS POR MÉDICA (O) OU ENFERMEIRA(O) ATÉ DOIS ANOS DE VIDA;TER PELO MENOS 09 (NOVE) REGISTROS SIMULTÂNEOS DE PESO E ALTURA ATÉ OS DOIS ANOS DE VIDA;TER PELO MENOS 02 (DUAS) VISITAS DOMICILIARES REALIZADAS POR ACS/TACS, SENDO A PRIMEIRA ATÉ OS PRIMEIROS 30 (TRINTA) DIAS DE VIDA E A SEGUNDA ATÉ OS 06 (SEIS) MESES DE VIDA;TER VACINAS CONTRA DIFTERIA, TÉTANO, COQUELUCHE, HEPATITE B, INFECÇÕES CAUSADAS POR HAEMOPHILUS INFLUENZAE TIPO B, POLIOMIELITE, SARAMPO, CAXUMBA E RUBÉOLA, PNEUMOCÓCICA, REGISTRADAS COM TODAS AS DOSES RECOMENDADAS;SOMATÓRIO DAS BOAS PRÁTICAS PONTUADAS PARA CADA CRIANÇA COM ATÉ 02 (DOIS) ANOS DE VIDA DURANTE O ACOMPANHAMENTO DO DESENVOLVIMENTO INFANTIL.;Nº TOTAL DE CRIANÇAS COM ATÉ 02 (DOIS) ANOS DE VIDA VINCULADAS À EQUIPE NO PERÍODO;RAZÃO ENTRE O NUMERADOR E DENOMINADOR
"3881032";"ESF CENTRO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001711717";"SAUDE NA HORA II";"eSF";"14";"9";"6";"22";"22";"1460";"45";"32,40"
"3881032";"ESF CENTRO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001711725";"SAUDE NA HORA III";"eSF";"7";"3";"0";"9";"12";"620";"23";"27,00"
"6669239";"ESF VILA BEATRIZ";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443638";"ESF - VILA BEATRIZ";"eSF";"17";"14";"10";"49";"26";"2320";"65";"35,70"
"3188957";"ESF HORTO FLORESTAL";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443603";"ESF - HORTO FLORESTAL";"eSF";"21";"9";"8";"61";"33";"2640";"82";"32,20"
"2612038";"ESF CENTRO EDUCACIONAL";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443549";"ESF - CENTRO EDUCACIONAL";"eSF";"11";"1";"1";"33";"24";"1400";"55";"25,50"
"2612046";"ESF SAO VICENTE";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443557";"ESF - SAO VICENTE";"eSF";"8";"4";"2";"55";"26";"1900";"79";"24,10"
"0187941";"ESF UNIVERSITARIO";"CENTRO DE SAUDE/UNIDADE BASICA";"0002022532";"ESF - UNIVERSITARIO";"eSF";"13";"14";"8";"62";"40";"2740";"87";"31,50"
"3881032";"ESF CENTRO";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443611";"SAUDE NA HORA I";"eSF";"1";"5";"2";"19";"10";"740";"28";"26,40"
"2612054";"ESF NOVA CASA VERDE";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443565";"ESF - NOVA CASA VERDE";"eSF";"16";"20";"19";"32";"36";"2460";"80";"30,80"
"2612054";"ESF NOVA CASA VERDE";"CENTRO DE SAUDE/UNIDADE BASICA";"0002212714";"EAP - NOVA CASA VERDE";"eAP";"0";"0";"0";"0";"0";"0";"0";"0,00"
"2612062";"ESF IRMAN RIBEIRO";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443573";"ESF - IRMAN RIBEIRO";"eSF";"12";"10";"7";"42";"34";"2100";"70";"30,00"
"2600374";"ESF MORADA DO SOL";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443530";"ESF - MORADA DO SOL";"eSF";"16";"8";"4";"35";"24";"1740";"51";"34,10"
"4388178";"EAP CEM";"CENTRO DE SAUDE/UNIDADE BASICA";"0002313715";"EAP - CEM";"eAP";"0";"0";"0";"0";"0";"0";"0";"0,00"
"2612070";"ESF VILA OPERARIA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443581";"ESF - VILA OPERARIA";"eSF";"13";"9";"5";"37";"27";"1820";"62";"29,40"
"2600374";"ESF MORADA DO SOL";"CENTRO DE SAUDE/UNIDADE BASICA";"0002439220";"ESF - MORADA DO SOL - EQUIPE 2";"eSF";"21";"5";"3";"33";"32";"1880";"71";"26,50"

Fonte: Sistema de Informação para a Atenção Primária à Saúde - SIAPS
Dado preliminar
