Ministério da Saúde MS
Secretaria de Atenção Primária à Saúde SAPS
Sistema de Informação para a Atenção Primária à Saúde – SIAPS
Dado gerado em: 10 de outubro de 2025 - 15:02h
Relatório Qualidade - Visão por Competência

Dados Sócio Demográficos:
UF: MS
Município: 500630 / PARANAÍBA

Filtro:
Indicador: Desenvolvimento Infantil
Competência selecionada: AGO/25
Tipo de Equipe: eAP, eSF

CNES;ESTABELECIMENTO;TIPO DO ESTABELECIMENTO;INE;NOME DA EQUIPE;SIGLA DA EQUIPE;TER A 1ª CONSULTA PRESENCIAL REALIZADA POR MÉDICA(O) OU ENFERMEIRA(O), ATÉ O 30º DIA DE VIDA;TER PELO MENOS 09 (NOVE) CONSULTAS PRESENCIAIS OU REMOTAS REALIZADAS POR MÉDICA (O) OU ENFERMEIRA(O) ATÉ DOIS ANOS DE VIDA;TER PELO MENOS 09 (NOVE) REGISTROS SIMULTÂNEOS DE PESO E ALTURA ATÉ OS DOIS ANOS DE VIDA;TER PELO MENOS 02 (DUAS) VISITAS DOMICILIARES REALIZADAS POR ACS/TACS, SENDO A PRIMEIRA ATÉ OS PRIMEIROS 30 (TRINTA) DIAS DE VIDA E A SEGUNDA ATÉ OS 06 (SEIS) MESES DE VIDA;TER VACINAS CONTRA DIFTERIA, TÉTANO, COQUELUCHE, HEPATITE B, INFECÇÕES CAUSADAS POR HAEMOPHILUS INFLUENZAE TIPO B, POLIOMIELITE, SARAMPO, CAXUMBA E RUBÉOLA, PNEUMOCÓCICA, REGISTRADAS COM TODAS AS DOSES RECOMENDADAS;SOMATÓRIO DAS BOAS PRÁTICAS PONTUADAS PARA CADA CRIANÇA COM ATÉ 02 (DOIS) ANOS DE VIDA DURANTE O ACOMPANHAMENTO DO DESENVOLVIMENTO INFANTIL.;Nº TOTAL DE CRIANÇAS COM ATÉ 02 (DOIS) ANOS DE VIDA VINCULADAS À EQUIPE NO PERÍODO;RAZÃO ENTRE O NUMERADOR E DENOMINADOR
"3050343";"UNIDADE SAUDE DA FAMILIA DRA ANNA LYGIA M COELHO";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443794";"ESF DRA ANNA LYGIA M. COELHO";"eSF";"0";"2";"3";"27";"26";"1160";"76";"15,30"
"2536412";"UNIDADE SAUDE DA FAMILIA DANIEL MARTINS FERREIRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443719";"ESF DANIEL MARTINS FERREIRA";"eSF";"0";"0";"0";"27";"12";"780";"68";"11,50"
"5927056";"UNIDADE SAUDE DA FAMILIA HILDA DA SILVA OLIVEIRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443808";"ESF HILDA DA SILVA OLIVEIRA";"eSF";"1";"7";"5";"45";"17";"1500";"101";"14,90"
"3050238";"UNIDADE SAUDE DA FAMILIA SANTANA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443727";"ESF SANTANA";"eSF";"0";"2";"2";"36";"13";"1060";"75";"14,10"
"3050270";"UNIDADE SAUDE DA FAMILIA SANTA LUCIA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443735";"ESF SANTA LUCIA";"eSF";"0";"1";"1";"37";"13";"1040";"80";"13,00"
"2536404";"UNIDADE SAUDE DA FAMILIA NOSSA SENHORA DE LOURDES";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443689";"ESF NOSSA SENHORA DE LOURDES";"eSF";"1";"7";"7";"20";"15";"1000";"55";"18,20"
"2536412";"UNIDADE SAUDE DA FAMILIA DANIEL MARTINS FERREIRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443700";"ESF DANIEL MARTINS FERREIRA";"eSF";"0";"2";"2";"14";"11";"580";"39";"14,90"
"3050319";"UNIDADE SAUDE DA FAMILIA SANTO ANTONIO";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443778";"ESF SANTO ANTONIO";"eSF";"0";"0";"0";"16";"7";"460";"37";"12,40"
"3050319";"UNIDADE SAUDE DA FAMILIA SANTO ANTONIO";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443786";"ESF SANTO ANTONIO";"eSF";"1";"5";"4";"18";"12";"800";"46";"17,40"
"3050270";"UNIDADE SAUDE DA FAMILIA SANTA LUCIA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443743";"ESF SANTA LUCIA";"eSF";"0";"4";"0";"4";"9";"340";"13";"26,20"
"3050270";"UNIDADE SAUDE DA FAMILIA SANTA LUCIA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443751";"ESF SANTA LUCIA";"eSF";"0";"1";"0";"29";"21";"1020";"81";"12,60"
"2536404";"UNIDADE SAUDE DA FAMILIA NOSSA SENHORA DE LOURDES";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443697";"ESF NOSSA SENHORA DE LOURDES";"eSF";"0";"5";"4";"11";"12";"640";"53";"12,10"

Fonte: Sistema de Informação para a Atenção Primária à Saúde - SIAPS
Dado preliminar
