Ministério da Saúde MS
Secretaria de Atenção Primária à Saúde SAPS
Sistema de Informação para a Atenção Primária à Saúde – SIAPS
Dado gerado em: 10 de outubro de 2025 - 15:03h
Relatório Qualidade - Visão por Competência

Dados Sócio Demográficos:
UF: MS
Município: 500660 / PONTA PORÃ

Filtro:
Indicador: Desenvolvimento Infantil
Competência selecionada: AGO/25
Tipo de Equipe: eAP, eSF

CNES;ESTABELECIMENTO;TIPO DO ESTABELECIMENTO;INE;NOME DA EQUIPE;SIGLA DA EQUIPE;TER A 1ª CONSULTA PRESENCIAL REALIZADA POR MÉDICA(O) OU ENFERMEIRA(O), ATÉ O 30º DIA DE VIDA;TER PELO MENOS 09 (NOVE) CONSULTAS PRESENCIAIS OU REMOTAS REALIZADAS POR MÉDICA (O) OU ENFERMEIRA(O) ATÉ DOIS ANOS DE VIDA;TER PELO MENOS 09 (NOVE) REGISTROS SIMULTÂNEOS DE PESO E ALTURA ATÉ OS DOIS ANOS DE VIDA;TER PELO MENOS 02 (DUAS) VISITAS DOMICILIARES REALIZADAS POR ACS/TACS, SENDO A PRIMEIRA ATÉ OS PRIMEIROS 30 (TRINTA) DIAS DE VIDA E A SEGUNDA ATÉ OS 06 (SEIS) MESES DE VIDA;TER VACINAS CONTRA DIFTERIA, TÉTANO, COQUELUCHE, HEPATITE B, INFECÇÕES CAUSADAS POR HAEMOPHILUS INFLUENZAE TIPO B, POLIOMIELITE, SARAMPO, CAXUMBA E RUBÉOLA, PNEUMOCÓCICA, REGISTRADAS COM TODAS AS DOSES RECOMENDADAS;SOMATÓRIO DAS BOAS PRÁTICAS PONTUADAS PARA CADA CRIANÇA COM ATÉ 02 (DOIS) ANOS DE VIDA DURANTE O ACOMPANHAMENTO DO DESENVOLVIMENTO INFANTIL.;Nº TOTAL DE CRIANÇAS COM ATÉ 02 (DOIS) ANOS DE VIDA VINCULADAS À EQUIPE NO PERÍODO;RAZÃO ENTRE O NUMERADOR E DENOMINADOR
"9003479";"UNIDADE BASICA DE SAUDE ZENEIDA TERRA DE SIQUEIRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443948";"ESF - JARDIM IVONE";"eSF";"32";"22";"21";"64";"64";"4060";"149";"27,20"
"2361000";"UNIDADE BASICA DE SAUDE JOSE BATAGLIN";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443905";"ESF -POSTO SANGA PUITA";"eSF";"5";"19";"11";"50";"44";"2580";"94";"27,40"
"2599465";"UNIDADE BASICA DE SAUDE LEONOR COELHO BATISTA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443913";"ESF - LEONOR COELHO BATISTA";"eSF";"11";"14";"2";"30";"50";"2140";"114";"18,80"
"0998400";"UNIDADE BASICA DE SAUDE DR RODRIGO LIMA VILHANUEVA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001635360";"ESF - KAMEL SAAD";"eSF";"22";"10";"2";"48";"54";"2720";"127";"21,40"
"3830497";"UNIDADE BASICA DE SAUDE JOSE ALBERTO FERREIRA NEVES";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443999";"ESF - JARDIM ALEGRETE";"eSF";"9";"7";"1";"27";"33";"1540";"73";"21,10"
"2651556";"UNIDADE BASICA DE SAUDE LAR GERALDO GARCIA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443956";"ESF-GERALDO GARCIA I";"eSF";"41";"37";"4";"45";"40";"3340";"108";"30,90"
"5683238";"UNIDADE BASICA DE SAUDE ROSANGELA PEREIRA SILVA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443964";"ESF-ITINERANTE";"eSF";"9";"5";"2";"17";"13";"920";"33";"27,90"
"9387919";"UNIDADE BASICA DE SAUDE DRA NISLAINE COLMAN BENITES";"CENTRO DE SAUDE/UNIDADE BASICA";"0001638343";"ESF - VILA RENO";"eSF";"2";"2";"2";"8";"15";"580";"32";"18,10"
"2651521";"UNIDADE BASICA DE SAUDE NELSON MACHADO DIAS";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443921";"ESF-IPE II";"eSF";"8";"19";"15";"39";"54";"2700";"106";"25,50"
"7281986";"UNIDADE BASICA DE SAUDE JOSE ALBERTO VIEIRA BOCH";"CENTRO DE SAUDE/UNIDADE BASICA";"0001512390";"ESF - JARDIM ESTORIL";"eSF";"27";"21";"15";"54";"59";"3520";"131";"26,90"
"9075062";"UNIDADE BASICA DE SAUDE ENFERMEIRA ELIZA MEDINA BARRETO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001635379";"EQUIPE SAO RAFAEL";"eSF";"20";"6";"2";"25";"27";"1600";"80";"20,00"
"9042849";"UNIDADE BASICA DE SAUDE DR JOSE ISSA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443972";"ESF- JOSE ISSA";"eSF";"14";"20";"21";"32";"58";"2900";"135";"21,50"
"2651572";"UNIDADE BASICA DE SAUDE NEUSA MARIA PEREIRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443980";"ESF-JARDIM VITORIA";"eSF";"19";"13";"3";"69";"50";"3080";"139";"22,20"
"5971918";"UNIDADE BASICA DE SAUDE ANDERSON LUIZ MONTEIRO GODOY";"CENTRO DE SAUDE/UNIDADE BASICA";"0000444057";"ESF - VILA AUREA";"eSF";"9";"19";"19";"39";"53";"2780";"116";"24,00"
"2651564";"CENTRO INTEGRADO DE SAUDE CIS TERTULIANA DE FREITAS";"CENTRO DE SAUDE/UNIDADE BASICA";"0002225921";"ESF - CIS I";"eSF";"0";"2";"2";"7";"7";"360";"19";"18,90"
"5683238";"UNIDADE BASICA DE SAUDE ROSANGELA PEREIRA SILVA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000444014";"ESF- ITAMARATI";"eSF";"24";"37";"3";"28";"40";"2640";"80";"33,00"
"5870178";"UNIDADE BASICA DE SAUDE DR NERY ALVES DE AZAMBUJA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000444022";"ESF - MARAMBAIA";"eSF";"15";"6";"2";"22";"26";"1420";"59";"24,10"
"5911192";"UNIDADE BASICA DE SAUDE DR PEDRO MONTEIRO DE ALMEIDA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000444030";"ESF- JARDIM AEROPORTO";"eSF";"8";"4";"3";"22";"21";"1160";"66";"17,60"
"2361019";"UNIDADE BASICA DE SAUDE AUDELINA DE CAMPOS";"CENTRO DE SAUDE/UNIDADE BASICA";"0001534106";"EQUIPE CABECEIRA DO APA";"eSF";"5";"12";"13";"8";"11";"980";"23";"42,60"
"6384587";"UNIDADE BASICA DE SAUDE DR CARLOS AUGUSTO PISSINI SOBREIRO";"CENTRO DE SAUDE/UNIDADE BASICA";"0000444081";"CARLOS AUGUSTO PISSINI";"eSF";"12";"12";"6";"23";"18";"1420";"46";"30,90"
"2651564";"CENTRO INTEGRADO DE SAUDE CIS TERTULIANA DE FREITAS";"CENTRO DE SAUDE/UNIDADE BASICA";"0002225948";"ESF - CIS II";"eSF";"3";"2";"2";"15";"10";"640";"36";"17,80"

Fonte: Sistema de Informação para a Atenção Primária à Saúde - SIAPS
Dado preliminar
