Ministério da Saúde MS
Secretaria de Atenção Primária à Saúde SAPS
Sistema de Informação para a Atenção Primária à Saúde – SIAPS
Dado gerado em: 10 de outubro de 2025 - 15:09h
Relatório Qualidade - Visão por Competência

Dados Sócio Demográficos:
UF: MS
Município: 500790 / SIDROLÂNDIA

Filtro:
Indicador: Desenvolvimento Infantil
Competência selecionada: AGO/25
Tipo de Equipe: eAP, eSF

CNES;ESTABELECIMENTO;TIPO DO ESTABELECIMENTO;INE;NOME DA EQUIPE;SIGLA DA EQUIPE;TER A 1ª CONSULTA PRESENCIAL REALIZADA POR MÉDICA(O) OU ENFERMEIRA(O), ATÉ O 30º DIA DE VIDA;TER PELO MENOS 09 (NOVE) CONSULTAS PRESENCIAIS OU REMOTAS REALIZADAS POR MÉDICA (O) OU ENFERMEIRA(O) ATÉ DOIS ANOS DE VIDA;TER PELO MENOS 09 (NOVE) REGISTROS SIMULTÂNEOS DE PESO E ALTURA ATÉ OS DOIS ANOS DE VIDA;TER PELO MENOS 02 (DUAS) VISITAS DOMICILIARES REALIZADAS POR ACS/TACS, SENDO A PRIMEIRA ATÉ OS PRIMEIROS 30 (TRINTA) DIAS DE VIDA E A SEGUNDA ATÉ OS 06 (SEIS) MESES DE VIDA;TER VACINAS CONTRA DIFTERIA, TÉTANO, COQUELUCHE, HEPATITE B, INFECÇÕES CAUSADAS POR HAEMOPHILUS INFLUENZAE TIPO B, POLIOMIELITE, SARAMPO, CAXUMBA E RUBÉOLA, PNEUMOCÓCICA, REGISTRADAS COM TODAS AS DOSES RECOMENDADAS;SOMATÓRIO DAS BOAS PRÁTICAS PONTUADAS PARA CADA CRIANÇA COM ATÉ 02 (DOIS) ANOS DE VIDA DURANTE O ACOMPANHAMENTO DO DESENVOLVIMENTO INFANTIL.;Nº TOTAL DE CRIANÇAS COM ATÉ 02 (DOIS) ANOS DE VIDA VINCULADAS À EQUIPE NO PERÍODO;RAZÃO ENTRE O NUMERADOR E DENOMINADOR
"2370840";"SAUDE LAR DO DISTRITO DE QUEBRA COCO";"CENTRO DE SAUDE/UNIDADE BASICA";"0000444685";"SAUDE LAR DIST. QUEBRA COCO";"eSF";"9";"13";"3";"22";"12";"1180";"31";"38,10"
"2370875";"UNIDADE DE SAUDE DA FAMILIA DA VILA SAO BENTO";"CENTRO DE SAUDE/UNIDADE BASICA";"0000444693";"UNID. SAUDE FAMILIA V.S. BENT";"eSF";"16";"26";"0";"69";"49";"3200";"107";"29,90"
"5767776";"ESF OSCALINA NANTES";"CENTRO DE SAUDE/UNIDADE BASICA";"0001687670";"EQUIPE ESF MOVEL";"eSF";"4";"0";"0";"6";"4";"280";"20";"14,00"
"5121728";"ESF CAPAO BONITO II";"CENTRO DE SAUDE/UNIDADE BASICA";"0000444782";"PSF DO ASSENT. C. BONITO II";"eSF";"2";"1";"2";"7";"10";"440";"17";"25,90"
"5134609";"ESF CLEIDE PIRAN";"CENTRO DE SAUDE/UNIDADE BASICA";"0000444790";"PSF CLEIDE PIRAN";"eSF";"16";"3";"0";"41";"28";"1760";"78";"22,60"
"2370883";"CENTRO DE SAUDE CENTRAL DE SIDROLANDIA";"CENTRO DE SAUDE/UNIDADE BASICA";"0002323494";"ESF RURAL";"eSF";"6";"5";"4";"14";"8";"740";"31";"23,90"
"7717725";"UNIDADE DE SAUDE DIVA NANTES";"CENTRO DE SAUDE/UNIDADE BASICA";"0000444758";"ESF DIVA NANTES";"eSF";"38";"9";"2";"92";"63";"4080";"156";"26,20"
"2370883";"CENTRO DE SAUDE CENTRAL DE SIDROLANDIA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000444715";"ESF CENTRAL";"eSF";"7";"6";"1";"29";"26";"1380";"72";"19,20"
"5767776";"ESF OSCALINA NANTES";"CENTRO DE SAUDE/UNIDADE BASICA";"0000444812";"ESF DO ASSENT. ELDORADO II";"eSF";"7";"1";"0";"12";"13";"660";"37";"17,80"
"2370832";"UNIDADE SAUDE FAMILIA LAR DA VILA JANDAIA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000444677";"UNIDADE LAR DA VILA JANDAIA";"eSF";"5";"2";"0";"36";"28";"1420";"64";"22,20"
"2676532";"ESF MALVINAS";"CENTRO DE SAUDE/UNIDADE BASICA";"0000444766";"UNID DE PSF DA VILA MALVINAS";"eSF";"18";"15";"1";"65";"47";"2920";"112";"26,10"
"3959198";"ESF CASCATINHA II";"CENTRO DE SAUDE/UNIDADE BASICA";"0000444774";"PSF DO JARDIM CASCATINHA II";"eSF";"27";"7";"2";"62";"35";"2660";"97";"27,40"
"2591421";"SAUDE LAR CAPAO BONITO I";"CENTRO DE SAUDE/UNIDADE BASICA";"0000444731";"SAUDE LAR DO CAPAO BONITO I";"eSF";"1";"2";"1";"10";"9";"460";"16";"28,80"

Fonte: Sistema de Informação para a Atenção Primária à Saúde - SIAPS
Dado preliminar
