Ministério da Saúde MS
Secretaria de Atenção Primária à Saúde SAPS
Sistema de Informação para a Atenção Primária à Saúde – SIAPS
Dado gerado em: 10 de outubro de 2025 - 15:11h
Relatório Qualidade - Visão por Competência

Dados Sócio Demográficos:
UF: MS
Município: 500830 / TRÊS LAGOAS

Filtro:
Indicador: Desenvolvimento Infantil
Competência selecionada: AGO/25
Tipo de Equipe: eAP, eSF

CNES;ESTABELECIMENTO;TIPO DO ESTABELECIMENTO;INE;NOME DA EQUIPE;SIGLA DA EQUIPE;TER A 1ª CONSULTA PRESENCIAL REALIZADA POR MÉDICA(O) OU ENFERMEIRA(O), ATÉ O 30º DIA DE VIDA;TER PELO MENOS 09 (NOVE) CONSULTAS PRESENCIAIS OU REMOTAS REALIZADAS POR MÉDICA (O) OU ENFERMEIRA(O) ATÉ DOIS ANOS DE VIDA;TER PELO MENOS 09 (NOVE) REGISTROS SIMULTÂNEOS DE PESO E ALTURA ATÉ OS DOIS ANOS DE VIDA;TER PELO MENOS 02 (DUAS) VISITAS DOMICILIARES REALIZADAS POR ACS/TACS, SENDO A PRIMEIRA ATÉ OS PRIMEIROS 30 (TRINTA) DIAS DE VIDA E A SEGUNDA ATÉ OS 06 (SEIS) MESES DE VIDA;TER VACINAS CONTRA DIFTERIA, TÉTANO, COQUELUCHE, HEPATITE B, INFECÇÕES CAUSADAS POR HAEMOPHILUS INFLUENZAE TIPO B, POLIOMIELITE, SARAMPO, CAXUMBA E RUBÉOLA, PNEUMOCÓCICA, REGISTRADAS COM TODAS AS DOSES RECOMENDADAS;SOMATÓRIO DAS BOAS PRÁTICAS PONTUADAS PARA CADA CRIANÇA COM ATÉ 02 (DOIS) ANOS DE VIDA DURANTE O ACOMPANHAMENTO DO DESENVOLVIMENTO INFANTIL.;Nº TOTAL DE CRIANÇAS COM ATÉ 02 (DOIS) ANOS DE VIDA VINCULADAS À EQUIPE NO PERÍODO;RAZÃO ENTRE O NUMERADOR E DENOMINADOR
"2757079";"UNIDADE DE SAUDE DA FAMILIA JOEL NEVES SILVA";"CENTRO DE SAUDE/UNIDADE BASICA";"0002371138";"ESF JOEL NEVES 3";"eSF";"18";"22";"3";"41";"40";"2480";"79";"31,40"
"2757095";"UNIDADE DE SAUDE DA FAMILIA MIGUEL NUNES";"CENTRO DE SAUDE/UNIDADE BASICA";"0001637231";"ESF MIGUEL NUNES II";"eSF";"8";"14";"13";"36";"22";"1860";"53";"35,10"
"2757168";"UNIDADE DE SAUDE DA FAMILIA VILA PILOTO ADRIANA CRISTINA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001691694";"ESF VILA PILOTO III";"eSF";"14";"8";"8";"29";"17";"1520";"47";"32,30"
"2757079";"UNIDADE DE SAUDE DA FAMILIA JOEL NEVES SILVA";"CENTRO DE SAUDE/UNIDADE BASICA";"0002172194";"EAP JOEL NEVES I";"eAP";"0";"0";"0";"0";"0";"0";"0";"0,00"
"2757079";"UNIDADE DE SAUDE DA FAMILIA JOEL NEVES SILVA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001691414";"ESF JOEL NEVES I";"eSF";"17";"9";"1";"36";"31";"1880";"71";"26,50"
"2757168";"UNIDADE DE SAUDE DA FAMILIA VILA PILOTO ADRIANA CRISTINA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000445207";"PSF VILA PILOTO 1";"eSF";"14";"15";"13";"33";"19";"1880";"47";"40,00"
"2757044";"UNIDADE BASICA DE SAUDE ALTAIR CABRAL TRANIM";"CENTRO DE SAUDE/UNIDADE BASICA";"0002172216";"EAP ALTAIR CABRAL TRANIM I";"eAP";"3";"4";"1";"6";"8";"620";"15";"41,30"
"2757117";"UNIDADE DE SAUDE DA FAMILIA SANTA RITA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001691716";"ESF SANTA RITA III";"eSF";"14";"18";"10";"26";"18";"1720";"58";"29,70"
"2757060";"UNIDADE DE SAUDE DA FAMILIA INTERLAGOS GABRIEL MARQUES FERNA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000445029";"ESF INTERLAGOS II";"eSF";"8";"11";"5";"26";"17";"1340";"41";"32,70"
"2757117";"UNIDADE DE SAUDE DA FAMILIA SANTA RITA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000445126";"PSF SANTA RITA I";"eSF";"5";"6";"2";"4";"17";"680";"29";"23,40"
"2757060";"UNIDADE DE SAUDE DA FAMILIA INTERLAGOS GABRIEL MARQUES FERNA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000445037";"ESF INTERLAGOS I";"eSF";"10";"11";"10";"27";"18";"1520";"44";"34,50"
