Ministério da Saúde MS
Secretaria de Atenção Primária à Saúde SAPS
Sistema de Informação para a Atenção Primária à Saúde – SIAPS
Dado gerado em: 13 de outubro de 2025 - 08:04h
Relatório Qualidade - Visão por Competência

Dados Sócio Demográficos:
UF: MS
Município: 500320 / CORUMBÁ

Filtro:
Indicador: Cuidado da pessoa com Diabetes
Competência selecionada: AGO/25
Tipo de Equipe: eAP, eSF

CNES;ESTABELECIMENTO;TIPO DO ESTABELECIMENTO;INE;NOME DA EQUIPE;SIGLA DA EQUIPE;TER REALIZADO PELO MENOS 01 CONSULTA PRESENCIAL OU REMOTA POR PROFISSIONAL MÉDICA(O) OU ENFERMEIRA(O), NOS ÚLTIMOS 6 MESES;TER PELO MENOS 01 REGISTRO DE MEDIÇÃO DA PRESSÃO ARTERIAL, REALIZADO NOS ÚLTIMOS 6 MESES;TER PELO MENOS 02 VISITAS DOMICILIARES POR ACS/TACS, COM INTERVALO MÍNIMO DE 30 DIAS, REALIZADAS NOS ÚLTIMOS 12 MESES ;TER REALIZADO PELO MENOS 01 (UM) REGISTRO DE PESO E ALTURA, NOS ÚLTIMOS 12 MESES;TER PELO MENOS 01 REGISTRO DE HEMOGLOBINA GLICADA, SOLICITADA OU AVALIADA, NOS ÚLTIMOS 12 MESES;TER PELO MENOS 01 REGISTRO DE AVALIAÇÃO DOS PÉS, REALIZADO NOS ÚLTIMOS 15 MESES;SOMATÓRIO DE BOAS PRÁTICAS REALIZADAS PARA PESSOAS COM DIABETES VINCULADAS À EQUIPE;NÚMERO TOTAL DE PESSOAS COM DIABETES VINCULADAS À EQUIPE;PONTUAÇÃO
"7573170";"UNIDADE BASICA DE SAUDE DR ENIO CUNHA II";"CENTRO DE SAUDE/UNIDADE BASICA";"0001547909";"EQUIPE ENIO CUNHA II";"eSF";"69";"80";"144";"106";"31";"0";"7515";"152";"49,40"
"6585426";"UNIDADE BASICA DE SAUDE LUIS FRAGELLI";"CENTRO DE SAUDE/UNIDADE BASICA";"0000441309";"EQUIPE LUIZ FRAGELLI";"eSF";"99";"93";"159";"109";"112";"0";"9870";"166";"59,50"
"2376148";"UNIDADE BASICA DE SAUDE FERNANDO MOUTINHO";"CENTRO DE SAUDE/UNIDADE BASICA";"0000441104";"EQUIPE FERNANDO MOUTINHO II";"eSF";"96";"88";"132";"96";"64";"0";"8280";"144";"57,50"
"2591405";"UNIDADE BASICA DE SAUDE DRA LUCIA MARIA PEREIRA DE CARVALHO";"CENTRO DE SAUDE/UNIDADE BASICA";"0000441228";"EQ. LUCIA M. P. DE CARVALHO";"eSF";"72";"73";"105";"63";"23";"1";"5940";"124";"47,90"
"2591553";"UNIDADE BASICA DE SAUDE RURAL MATO GRANDE";"CENTRO DE SAUDE/UNIDADE BASICA";"0000441244";"EQUIPE MATO GRANDE";"eSF";"64";"64";"74";"68";"31";"8";"5325";"76";"70,10"
"6091458";"UNIDADE BASICA DE SAUDE DR HUMBERTO PEREIRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000441287";"EQUIPE DR.HUMBERTO PEREIRA";"eSF";"103";"83";"133";"103";"62";"41";"9055";"158";"57,30"
"2559498";"UNIDADE BASICA DE SAUDE GASTAO DE OLIVEIRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000441201";"EQUIPE GASTAO DE OLIVEIRA I";"eSF";"62";"37";"92";"18";"7";"0";"4010";"104";"38,60"
"6564070";"UNIDADE BASICA DE SAUDE ANGELICA ANACHE";"CENTRO DE SAUDE/UNIDADE BASICA";"0000441295";"EQUIPE ANGELICA ANACHE";"eSF";"85";"17";"123";"59";"36";"0";"5840";"130";"44,90"
"7836546";"UNIDADE BASICA DE SAUDE RANULFO DE JESUS VASCONCELLOS";"CENTRO DE SAUDE/UNIDADE BASICA";"0001556916";"EQUIPE RANULFO VASCONCELLOS";"eSF";"77";"83";"143";"92";"71";"1";"8105";"156";"52,00"
"2376105";"UNIDADE BASICA DE SAUDE BRENO DE MEDEIROS";"CENTRO DE SAUDE/UNIDADE BASICA";"0000441074";"EQUIPE BRENO II";"eSF";"108";"97";"170";"113";"49";"0";"9445";"171";"55,20"
