Ministério da Saúde MS
Secretaria de Atenção Primária à Saúde SAPS
Sistema de Informação para a Atenção Primária à Saúde – SIAPS
Dado gerado em: 13 de outubro de 2025 - 08:07h
Relatório Qualidade - Visão por Competência

Dados Sócio Demográficos:
UF: MS
Município: 500370 / DOURADOS

Filtro:
Indicador: Cuidado da pessoa com Diabetes
Competência selecionada: AGO/25
Tipo de Equipe: eAP, eSF

CNES;ESTABELECIMENTO;TIPO DO ESTABELECIMENTO;INE;NOME DA EQUIPE;SIGLA DA EQUIPE;TER REALIZADO PELO MENOS 01 CONSULTA PRESENCIAL OU REMOTA POR PROFISSIONAL MÉDICA(O) OU ENFERMEIRA(O), NOS ÚLTIMOS 6 MESES;TER PELO MENOS 01 REGISTRO DE MEDIÇÃO DA PRESSÃO ARTERIAL, REALIZADO NOS ÚLTIMOS 6 MESES;TER PELO MENOS 02 VISITAS DOMICILIARES POR ACS/TACS, COM INTERVALO MÍNIMO DE 30 DIAS, REALIZADAS NOS ÚLTIMOS 12 MESES ;TER REALIZADO PELO MENOS 01 (UM) REGISTRO DE PESO E ALTURA, NOS ÚLTIMOS 12 MESES;TER PELO MENOS 01 REGISTRO DE HEMOGLOBINA GLICADA, SOLICITADA OU AVALIADA, NOS ÚLTIMOS 12 MESES;TER PELO MENOS 01 REGISTRO DE AVALIAÇÃO DOS PÉS, REALIZADO NOS ÚLTIMOS 15 MESES;SOMATÓRIO DE BOAS PRÁTICAS REALIZADAS PARA PESSOAS COM DIABETES VINCULADAS À EQUIPE;NÚMERO TOTAL DE PESSOAS COM DIABETES VINCULADAS À EQUIPE;PONTUAÇÃO
"2710854";"UBS IV PLANO DR JULVIS ARRUDA MATOS";"CENTRO DE SAUDE/UNIDADE BASICA";"0000441708";"ESF 46 - 4º PLANO";"eSF";"176";"156";"234";"171";"130";"3";"15100";"240";"62,90"
"2711117";"UBS MARACANA MOTOHIDE HIRAISHI";"CENTRO DE SAUDE/UNIDADE BASICA";"0000441945";"ESF 22 - ALECRIM";"eSF";"182";"171";"208";"164";"172";"129";"17340";"212";"81,80"
"2711125";"UBS PARQUE DAS NACOES II DR LUIZ ANTONIO ALVES";"CENTRO DE SAUDE/UNIDADE BASICA";"0000441988";"ESF 19 - PARQUE NACOES II";"eSF";"151";"137";"174";"149";"96";"2";"12260";"188";"65,20"
"5592593";"UBS ALTOS DO INDAIA DRA HELENA YOSHIE MORIBE";"CENTRO DE SAUDE/UNIDADE BASICA";"0001623109";"ESF - 50 ALTOS DO INDAIA";"eSF";"51";"51";"64";"57";"38";"6";"4580";"78";"58,70"
"3239837";"UBS JOQUEI CLUBE ANTONIO DA COSTA CARVALHO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001713701";"ESF 62 - CARANDA";"eSF";"131";"106";"153";"83";"126";"1";"10420";"159";"65,50"
"2711052";"UBS CUIABAZINHO FREI HUGOLINO BECKER";"CENTRO DE SAUDE/UNIDADE BASICA";"0000441864";"ESF 40 - CUIABAZINHO";"eSF";"138";"108";"170";"97";"98";"0";"10705";"176";"60,80"
"2711109";"UBS SELETA BIANOR ALVES DA SILVA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000442119";"ESF 39 - SELETA";"eSF";"183";"175";"214";"181";"144";"2";"15470";"223";"69,40"
"2711001";"UBS VILA FORMOSA MACAUBA ARINO PEREIRA DE MATTOS";"CENTRO DE SAUDE/UNIDADE BASICA";"0000441821";"ESF 205 VILA MACAUBA / FORMOSA";"eSF";"122";"135";"156";"137";"107";"20";"11545";"166";"69,50"
"2710889";"UBS CSU DR LEON TOLSTOI RODRIGUES DE LIMA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000441783";"ESF 47- CSU";"eSF";"179";"170";"171";"93";"132";"151";"15190";"249";"61,00"
"2711141";"UBS VILA HILDA DR ARCHIDUQUE FERNANDES";"CENTRO DE SAUDE/UNIDADE BASICA";"0000442038";"ESF 14 - VILA HILDA";"eSF";"108";"103";"88";"112";"104";"0";"8705";"143";"60,90"
