Ministério da Saúde MS
Secretaria de Atenção Primária à Saúde SAPS
Sistema de Informação para a Atenção Primária à Saúde – SIAPS
Dado gerado em: 13 de outubro de 2025 - 08:17h
Relatório Qualidade - Visão por Competência

Dados Sócio Demográficos:
UF: MS
Município: 500570 / NAVIRAÍ

Filtro:
Indicador: Cuidado da pessoa com Diabetes
Competência selecionada: AGO/25
Tipo de Equipe: eAP, eSF

CNES;ESTABELECIMENTO;TIPO DO ESTABELECIMENTO;INE;NOME DA EQUIPE;SIGLA DA EQUIPE;TER REALIZADO PELO MENOS 01 CONSULTA PRESENCIAL OU REMOTA POR PROFISSIONAL MÉDICA(O) OU ENFERMEIRA(O), NOS ÚLTIMOS 6 MESES;TER PELO MENOS 01 REGISTRO DE MEDIÇÃO DA PRESSÃO ARTERIAL, REALIZADO NOS ÚLTIMOS 6 MESES;TER PELO MENOS 02 VISITAS DOMICILIARES POR ACS/TACS, COM INTERVALO MÍNIMO DE 30 DIAS, REALIZADAS NOS ÚLTIMOS 12 MESES ;TER REALIZADO PELO MENOS 01 (UM) REGISTRO DE PESO E ALTURA, NOS ÚLTIMOS 12 MESES;TER PELO MENOS 01 REGISTRO DE HEMOGLOBINA GLICADA, SOLICITADA OU AVALIADA, NOS ÚLTIMOS 12 MESES;TER PELO MENOS 01 REGISTRO DE AVALIAÇÃO DOS PÉS, REALIZADO NOS ÚLTIMOS 15 MESES;SOMATÓRIO DE BOAS PRÁTICAS REALIZADAS PARA PESSOAS COM DIABETES VINCULADAS À EQUIPE;NÚMERO TOTAL DE PESSOAS COM DIABETES VINCULADAS À EQUIPE;PONTUAÇÃO
"2374285";"EAP PORTO CAIUA";"CENTRO DE SAUDE/UNIDADE BASICA";"0002255111";"EAP PORTO CAIUA";"eAP";"8";"8";"10";"9";"5";"0";"690";"10";"69,00"
"2892871";"EAP JUNCAL";"CENTRO DE SAUDE/UNIDADE BASICA";"0002255235";"EAP JUNCAL";"eAP";"18";"18";"22";"21";"13";"0";"1600";"23";"69,60"
"5657512";"ESF SAO PEDRO";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443328";"ESF SAO PEDRO";"eSF";"79";"77";"80";"78";"53";"1";"6315";"96";"65,80"
"2374250";"CENTRO DE SAUDE DR ANTONITO PIRES DE SOUZA";"CENTRO DE SAUDE/UNIDADE BASICA";"0002287595";"EAP ANTONITO PIRES 2";"eAP";"4";"6";"0";"8";"1";"0";"465";"8";"58,10"
"7018428";"ESF SOL NASCENTE";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443379";"ESF SOL NASCENTE";"eSF";"114";"109";"104";"122";"86";"1";"9130";"164";"55,70"
"5966523";"ESF MARIA DE LOURDES DOS SANTOS";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443336";"ESF MARIA DE LOURDES";"eSF";"175";"156";"217";"88";"111";"1";"13180";"228";"57,80"
"2374250";"CENTRO DE SAUDE DR ANTONITO PIRES DE SOUZA";"CENTRO DE SAUDE/UNIDADE BASICA";"0002246570";"EAP ANTONITO PIRES 1";"eAP";"46";"48";"5";"61";"29";"0";"4370";"69";"63,30"
"5322804";"ESF RONAN MARQUES";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443301";"ESF RONAN MARQUES";"eSF";"137";"118";"146";"123";"43";"0";"9920";"170";"58,40"
"3126013";"ESF BOA VISTA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443298";"ESF BOA VISTA";"eSF";"205";"202";"243";"219";"170";"0";"17825";"251";"71,00"
"8005567";"ESF PARAISO I";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443387";"ESF PARAISO I";"eSF";"106";"106";"135";"84";"100";"0";"9170";"136";"67,40"
"7545789";"ESF PARAISO II";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443395";"ESF PARAISO II";"eSF";"56";"55";"60";"58";"26";"4";"4465";"64";"69,80"
"2374269";"ESF DR CARLOS VIDOTO";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443263";"ESF CARLOS VIDOTO";"eSF";"183";"169";"216";"183";"72";"2";"14370";"231";"62,20"
"7001878";"ESF VILA NOVA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443360";"ESF VILA NOVA";"eSF";"217";"194";"245";"207";"128";"0";"17175";"252";"68,20"
"2558688";"ESF PE ANTONIO KOREMAN";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443271";"ESF PADRE KOREMAN";"eSF";"162";"128";"197";"96";"73";"1";"11650";"205";"56,80"
"9912835";"ESF IPE";"CENTRO DE SAUDE/UNIDADE BASICA";"0001687301";"ESF IPE";"eSF";"77";"80";"110";"92";"19";"0";"6605";"128";"51,60"

Fonte: Sistema de Informação para a Atenção Primária à Saúde - SIAPS
Dado preliminar
