Ministério da Saúde MS
Secretaria de Atenção Primária à Saúde SAPS
Sistema de Informação para a Atenção Primária à Saúde – SIAPS
Dado gerado em: 13 de outubro de 2025 - 08:19h
Relatório Qualidade - Visão por Competência

Dados Sócio Demográficos:
UF: MS
Município: 500620 / NOVA ANDRADINA

Filtro:
Indicador: Cuidado da pessoa com Diabetes
Competência selecionada: AGO/25
Tipo de Equipe: eAP, eSF

CNES;ESTABELECIMENTO;TIPO DO ESTABELECIMENTO;INE;NOME DA EQUIPE;SIGLA DA EQUIPE;TER REALIZADO PELO MENOS 01 CONSULTA PRESENCIAL OU REMOTA POR PROFISSIONAL MÉDICA(O) OU ENFERMEIRA(O), NOS ÚLTIMOS 6 MESES;TER PELO MENOS 01 REGISTRO DE MEDIÇÃO DA PRESSÃO ARTERIAL, REALIZADO NOS ÚLTIMOS 6 MESES;TER PELO MENOS 02 VISITAS DOMICILIARES POR ACS/TACS, COM INTERVALO MÍNIMO DE 30 DIAS, REALIZADAS NOS ÚLTIMOS 12 MESES ;TER REALIZADO PELO MENOS 01 (UM) REGISTRO DE PESO E ALTURA, NOS ÚLTIMOS 12 MESES;TER PELO MENOS 01 REGISTRO DE HEMOGLOBINA GLICADA, SOLICITADA OU AVALIADA, NOS ÚLTIMOS 12 MESES;TER PELO MENOS 01 REGISTRO DE AVALIAÇÃO DOS PÉS, REALIZADO NOS ÚLTIMOS 15 MESES;SOMATÓRIO DE BOAS PRÁTICAS REALIZADAS PARA PESSOAS COM DIABETES VINCULADAS À EQUIPE;NÚMERO TOTAL DE PESSOAS COM DIABETES VINCULADAS À EQUIPE;PONTUAÇÃO
"3881032";"ESF CENTRO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001711717";"SAUDE NA HORA II";"eSF";"110";"96";"117";"100";"82";"34";"9220";"139";"66,30"
"3881032";"ESF CENTRO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001711725";"SAUDE NA HORA III";"eSF";"46";"38";"35";"37";"22";"2";"3105";"62";"50,10"
"6669239";"ESF VILA BEATRIZ";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443638";"ESF - VILA BEATRIZ";"eSF";"157";"149";"197";"149";"52";"26";"12720";"202";"63,00"
"3188957";"ESF HORTO FLORESTAL";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443603";"ESF - HORTO FLORESTAL";"eSF";"228";"204";"229";"232";"241";"88";"20615";"283";"72,80"
"2612038";"ESF CENTRO EDUCACIONAL";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443549";"ESF - CENTRO EDUCACIONAL";"eSF";"199";"143";"220";"119";"142";"76";"15580";"242";"64,40"
"2612046";"ESF SAO VICENTE";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443557";"ESF - SAO VICENTE";"eSF";"277";"231";"353";"269";"152";"80";"23580";"361";"65,30"
"0187941";"ESF UNIVERSITARIO";"CENTRO DE SAUDE/UNIDADE BASICA";"0002022532";"ESF - UNIVERSITARIO";"eSF";"86";"72";"115";"82";"91";"0";"7695";"129";"59,70"
"3881032";"ESF CENTRO";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443611";"SAUDE NA HORA I";"eSF";"127";"102";"154";"109";"54";"61";"10510";"161";"65,30"
"2612054";"ESF NOVA CASA VERDE";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443565";"ESF - NOVA CASA VERDE";"eSF";"135";"137";"144";"135";"99";"2";"11175";"167";"66,90"
"2612054";"ESF NOVA CASA VERDE";"CENTRO DE SAUDE/UNIDADE BASICA";"0002212714";"EAP - NOVA CASA VERDE";"eAP";"0";"0";"0";"0";"0";"0";"0";"0";"0,00"
"2612062";"ESF IRMAN RIBEIRO";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443573";"ESF - IRMAN RIBEIRO";"eSF";"191";"164";"207";"184";"152";"3";"15505";"250";"62,00"
"2600374";"ESF MORADA DO SOL";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443530";"ESF - MORADA DO SOL";"eSF";"178";"153";"144";"139";"131";"91";"14150";"216";"65,50"
"4388178";"EAP CEM";"CENTRO DE SAUDE/UNIDADE BASICA";"0002313715";"EAP - CEM";"eAP";"0";"0";"0";"0";"0";"0";"0";"0";"0,00"
"2612070";"ESF VILA OPERARIA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443581";"ESF - VILA OPERARIA";"eSF";"158";"139";"188";"142";"106";"22";"13055";"206";"63,40"
"2600374";"ESF MORADA DO SOL";"CENTRO DE SAUDE/UNIDADE BASICA";"0002439220";"ESF - MORADA DO SOL - EQUIPE 2";"eSF";"126";"122";"109";"106";"129";"35";"10580";"154";"68,70"

Fonte: Sistema de Informação para a Atenção Primária à Saúde - SIAPS
Dado preliminar
