Ministério da Saúde MS
Secretaria de Atenção Primária à Saúde SAPS
Sistema de Informação para a Atenção Primária à Saúde – SIAPS
Dado gerado em: 13 de outubro de 2025 - 08:21h
Relatório Qualidade - Visão por Competência

Dados Sócio Demográficos:
UF: MS
Município: 500630 / PARANAÍBA

Filtro:
Indicador: Cuidado da pessoa com Diabetes
Competência selecionada: AGO/25
Tipo de Equipe: eAP, eSF

CNES;ESTABELECIMENTO;TIPO DO ESTABELECIMENTO;INE;NOME DA EQUIPE;SIGLA DA EQUIPE;TER REALIZADO PELO MENOS 01 CONSULTA PRESENCIAL OU REMOTA POR PROFISSIONAL MÉDICA(O) OU ENFERMEIRA(O), NOS ÚLTIMOS 6 MESES;TER PELO MENOS 01 REGISTRO DE MEDIÇÃO DA PRESSÃO ARTERIAL, REALIZADO NOS ÚLTIMOS 6 MESES;TER PELO MENOS 02 VISITAS DOMICILIARES POR ACS/TACS, COM INTERVALO MÍNIMO DE 30 DIAS, REALIZADAS NOS ÚLTIMOS 12 MESES ;TER REALIZADO PELO MENOS 01 (UM) REGISTRO DE PESO E ALTURA, NOS ÚLTIMOS 12 MESES;TER PELO MENOS 01 REGISTRO DE HEMOGLOBINA GLICADA, SOLICITADA OU AVALIADA, NOS ÚLTIMOS 12 MESES;TER PELO MENOS 01 REGISTRO DE AVALIAÇÃO DOS PÉS, REALIZADO NOS ÚLTIMOS 15 MESES;SOMATÓRIO DE BOAS PRÁTICAS REALIZADAS PARA PESSOAS COM DIABETES VINCULADAS À EQUIPE;NÚMERO TOTAL DE PESSOAS COM DIABETES VINCULADAS À EQUIPE;PONTUAÇÃO
"3050343";"UNIDADE SAUDE DA FAMILIA DRA ANNA LYGIA M COELHO";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443794";"ESF DRA ANNA LYGIA M. COELHO";"eSF";"274";"98";"266";"293";"6";"0";"16755";"335";"50,00"
"2536412";"UNIDADE SAUDE DA FAMILIA DANIEL MARTINS FERREIRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443719";"ESF DANIEL MARTINS FERREIRA";"eSF";"104";"61";"59";"112";"11";"0";"6020";"124";"48,50"
"5927056";"UNIDADE SAUDE DA FAMILIA HILDA DA SILVA OLIVEIRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443808";"ESF HILDA DA SILVA OLIVEIRA";"eSF";"123";"93";"153";"153";"58";"0";"10080";"175";"57,60"
"3050238";"UNIDADE SAUDE DA FAMILIA SANTANA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443727";"ESF SANTANA";"eSF";"124";"87";"137";"138";"38";"1";"9180";"157";"58,50"
"3050270";"UNIDADE SAUDE DA FAMILIA SANTA LUCIA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443735";"ESF SANTA LUCIA";"eSF";"212";"121";"230";"244";"20";"1";"14630";"290";"50,40"
"2536404";"UNIDADE SAUDE DA FAMILIA NOSSA SENHORA DE LOURDES";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443689";"ESF NOSSA SENHORA DE LOURDES";"eSF";"144";"105";"150";"156";"17";"1";"10065";"171";"58,90"
"2536412";"UNIDADE SAUDE DA FAMILIA DANIEL MARTINS FERREIRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443700";"ESF DANIEL MARTINS FERREIRA";"eSF";"132";"88";"82";"146";"57";"1";"8660";"158";"54,80"
"3050319";"UNIDADE SAUDE DA FAMILIA SANTO ANTONIO";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443778";"ESF SANTO ANTONIO";"eSF";"65";"40";"72";"67";"33";"0";"4840";"88";"55,00"
"3050319";"UNIDADE SAUDE DA FAMILIA SANTO ANTONIO";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443786";"ESF SANTO ANTONIO";"eSF";"129";"73";"117";"136";"58";"0";"8925";"151";"59,10"
"3050270";"UNIDADE SAUDE DA FAMILIA SANTA LUCIA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443743";"ESF SANTA LUCIA";"eSF";"14";"17";"20";"28";"6";"1";"1460";"34";"42,90"
"3050270";"UNIDADE SAUDE DA FAMILIA SANTA LUCIA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443751";"ESF SANTA LUCIA";"eSF";"112";"91";"148";"163";"19";"0";"9295";"188";"49,40"
"2536404";"UNIDADE SAUDE DA FAMILIA NOSSA SENHORA DE LOURDES";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443697";"ESF NOSSA SENHORA DE LOURDES";"eSF";"143";"106";"118";"149";"10";"1";"9210";"164";"56,20"

Fonte: Sistema de Informação para a Atenção Primária à Saúde - SIAPS
Dado preliminar
