Ministério da Saúde MS
Secretaria de Atenção Primária à Saúde SAPS
Sistema de Informação para a Atenção Primária à Saúde – SIAPS
Dado gerado em: 13 de outubro de 2025 - 08:42h
Relatório Qualidade - Visão por Competência

Dados Sócio Demográficos:
UF: MS
Município: 500720 / RIO BRILHANTE

Filtro:
Indicador: Cuidado da pessoa com Diabetes
Competência selecionada: AGO/25
Tipo de Equipe: eAP, eSF

CNES;ESTABELECIMENTO;TIPO DO ESTABELECIMENTO;INE;NOME DA EQUIPE;SIGLA DA EQUIPE;TER REALIZADO PELO MENOS 01 CONSULTA PRESENCIAL OU REMOTA POR PROFISSIONAL MÉDICA(O) OU ENFERMEIRA(O), NOS ÚLTIMOS 6 MESES;TER PELO MENOS 01 REGISTRO DE MEDIÇÃO DA PRESSÃO ARTERIAL, REALIZADO NOS ÚLTIMOS 6 MESES;TER PELO MENOS 02 VISITAS DOMICILIARES POR ACS/TACS, COM INTERVALO MÍNIMO DE 30 DIAS, REALIZADAS NOS ÚLTIMOS 12 MESES ;TER REALIZADO PELO MENOS 01 (UM) REGISTRO DE PESO E ALTURA, NOS ÚLTIMOS 12 MESES;TER PELO MENOS 01 REGISTRO DE HEMOGLOBINA GLICADA, SOLICITADA OU AVALIADA, NOS ÚLTIMOS 12 MESES;TER PELO MENOS 01 REGISTRO DE AVALIAÇÃO DOS PÉS, REALIZADO NOS ÚLTIMOS 15 MESES;SOMATÓRIO DE BOAS PRÁTICAS REALIZADAS PARA PESSOAS COM DIABETES VINCULADAS À EQUIPE;NÚMERO TOTAL DE PESSOAS COM DIABETES VINCULADAS À EQUIPE;PONTUAÇÃO
"7613687";"ESTRATEGIA SAUDE DA FAMILIA VILA FATIMA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000444200";"USF - VILA FATIMA";"eSF";"151";"139";"170";"148";"112";"0";"12405";"182";"68,20"
"7323093";"ESTRATEGIA SAUDE DA FAMILIA BRILHANTE";"CENTRO DE SAUDE/UNIDADE BASICA";"0001484737";"ESF BRILHANTE";"eSF";"203";"188";"236";"208";"121";"1";"16550";"255";"64,90"
"2804492";"CENTRO DE SAUDE RIO BRILHANTE";"UNIDADE MISTA";"0002310503";"CENTRO DE SAUDE 01";"eAP";"15";"16";"37";"31";"15";"0";"2130";"45";"47,30"
"3085287";"ESTRATEGIA SAUDE DA FAMILIA FAUZER SALIBA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000444243";"USF - BENEDITO RONDON";"eSF";"205";"181";"235";"196";"167";"2";"16990";"239";"71,10"
"3865657";"ESTRATEGIA SAUDE DA FAMILIA CARLOS VOLPE";"CENTRO DE SAUDE/UNIDADE BASICA";"0000444251";"USF - CENTRAL";"eSF";"129";"124";"151";"131";"98";"0";"10895";"167";"65,20"
"2804506";"ESTRATEGIA SAUDE DA FAMILIA FRANCISCO AUGUSTO G DE MELLO";"CENTRO DE SAUDE/UNIDADE BASICA";"0000444197";"USF-DR.FRANCISCO A G DE MELLO";"eSF";"149";"144";"164";"147";"124";"0";"12485";"170";"73,40"
"6727042";"ESTRATEGIA SAUDE DA FAMILIA CELINA MARTINS JALAD XIV";"CENTRO DE SAUDE/UNIDADE BASICA";"0000444294";"PRO MORADIA XIV";"eSF";"139";"131";"162";"141";"127";"0";"12005";"167";"71,90"
"2804514";"ESTRATEGIA SAUDE DA FAMILIA JAIME MEDEIROS";"CENTRO DE SAUDE/UNIDADE BASICA";"0000444219";"USF - JAIME MEDEIROS";"eSF";"168";"160";"196";"174";"135";"0";"14315";"196";"73,00"
"2804492";"CENTRO DE SAUDE RIO BRILHANTE";"UNIDADE MISTA";"0002326930";"CENTRO DE SAUDE 02";"eAP";"22";"23";"0";"27";"6";"0";"1860";"29";"64,10"
"2804522";"ESTRATEGIA SAUDE DA FAMILIA RURAL";"CENTRO DE SAUDE/UNIDADE BASICA";"0000444227";"USF - RURAL";"eSF";"132";"119";"140";"98";"19";"2";"9010";"145";"62,10"
"2804530";"ESTRATEGIA SAUDE DA FAMILIA ANTONIO APARECIDO BITENCOURT";"CENTRO DE SAUDE/UNIDADE BASICA";"0000444235";"USF - PRUDENCIO THOMAZ";"eSF";"225";"224";"246";"230";"221";"0";"19545";"255";"76,60"
"4394542";"ESTRATEGIA SAUDE DA FAMILIA NOVA RIO BRILHANTE";"CENTRO DE SAUDE/UNIDADE BASICA";"0002406543";"NOVA RIO BRILHANTE";"eSF";"137";"129";"160";"144";"128";"0";"11955";"160";"74,70"

Fonte: Sistema de Informação para a Atenção Primária à Saúde - SIAPS
Dado preliminar
