Ministério da Saúde MS
Secretaria de Atenção Primária à Saúde SAPS
Sistema de Informação para a Atenção Primária à Saúde – SIAPS
Dado gerado em: 13 de outubro de 2025 - 08:46h
Relatório Qualidade - Visão por Competência

Dados Sócio Demográficos:
UF: MS
Município: 500790 / SIDROLÂNDIA

Filtro:
Indicador: Cuidado da pessoa com Diabetes
Competência selecionada: AGO/25
Tipo de Equipe: eAP, eSF

CNES;ESTABELECIMENTO;TIPO DO ESTABELECIMENTO;INE;NOME DA EQUIPE;SIGLA DA EQUIPE;TER REALIZADO PELO MENOS 01 CONSULTA PRESENCIAL OU REMOTA POR PROFISSIONAL MÉDICA(O) OU ENFERMEIRA(O), NOS ÚLTIMOS 6 MESES;TER PELO MENOS 01 REGISTRO DE MEDIÇÃO DA PRESSÃO ARTERIAL, REALIZADO NOS ÚLTIMOS 6 MESES;TER PELO MENOS 02 VISITAS DOMICILIARES POR ACS/TACS, COM INTERVALO MÍNIMO DE 30 DIAS, REALIZADAS NOS ÚLTIMOS 12 MESES ;TER REALIZADO PELO MENOS 01 (UM) REGISTRO DE PESO E ALTURA, NOS ÚLTIMOS 12 MESES;TER PELO MENOS 01 REGISTRO DE HEMOGLOBINA GLICADA, SOLICITADA OU AVALIADA, NOS ÚLTIMOS 12 MESES;TER PELO MENOS 01 REGISTRO DE AVALIAÇÃO DOS PÉS, REALIZADO NOS ÚLTIMOS 15 MESES;SOMATÓRIO DE BOAS PRÁTICAS REALIZADAS PARA PESSOAS COM DIABETES VINCULADAS À EQUIPE;NÚMERO TOTAL DE PESSOAS COM DIABETES VINCULADAS À EQUIPE;PONTUAÇÃO
"2370840";"SAUDE LAR DO DISTRITO DE QUEBRA COCO";"CENTRO DE SAUDE/UNIDADE BASICA";"0000444685";"SAUDE LAR DIST. QUEBRA COCO";"eSF";"125";"124";"141";"121";"63";"0";"9940";"142";"70,00"
"2370875";"UNIDADE DE SAUDE DA FAMILIA DA VILA SAO BENTO";"CENTRO DE SAUDE/UNIDADE BASICA";"0000444693";"UNID. SAUDE FAMILIA V.S. BENT";"eSF";"206";"171";"235";"44";"135";"14";"14280";"250";"57,10"
"5767776";"ESF OSCALINA NANTES";"CENTRO DE SAUDE/UNIDADE BASICA";"0001687670";"EQUIPE ESF MOVEL";"eSF";"200";"185";"255";"102";"98";"5";"14950";"259";"57,70"
"5121728";"ESF CAPAO BONITO II";"CENTRO DE SAUDE/UNIDADE BASICA";"0000444782";"PSF DO ASSENT. C. BONITO II";"eSF";"143";"129";"136";"146";"129";"2";"11670";"164";"71,20"
"5134609";"ESF CLEIDE PIRAN";"CENTRO DE SAUDE/UNIDADE BASICA";"0000444790";"PSF CLEIDE PIRAN";"eSF";"177";"153";"197";"136";"141";"15";"14155";"217";"65,20"
"2370883";"CENTRO DE SAUDE CENTRAL DE SIDROLANDIA";"CENTRO DE SAUDE/UNIDADE BASICA";"0002323494";"ESF RURAL";"eSF";"101";"83";"140";"30";"49";"4";"7310";"150";"48,70"
"7717725";"UNIDADE DE SAUDE DIVA NANTES";"CENTRO DE SAUDE/UNIDADE BASICA";"0000444758";"ESF DIVA NANTES";"eSF";"193";"176";"223";"151";"166";"48";"16435";"234";"70,20"
"2370883";"CENTRO DE SAUDE CENTRAL DE SIDROLANDIA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000444715";"ESF CENTRAL";"eSF";"95";"70";"108";"30";"28";"6";"6070";"132";"46,00"
"5767776";"ESF OSCALINA NANTES";"CENTRO DE SAUDE/UNIDADE BASICA";"0000444812";"ESF DO ASSENT. ELDORADO II";"eSF";"177";"162";"222";"116";"87";"4";"13515";"228";"59,30"
"2370832";"UNIDADE SAUDE FAMILIA LAR DA VILA JANDAIA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000444677";"UNIDADE LAR DA VILA JANDAIA";"eSF";"181";"150";"209";"132";"37";"3";"12630";"217";"58,20"
"2676532";"ESF MALVINAS";"CENTRO DE SAUDE/UNIDADE BASICA";"0000444766";"UNID DE PSF DA VILA MALVINAS";"eSF";"214";"177";"267";"147";"58";"4";"15410";"277";"55,60"
"3959198";"ESF CASCATINHA II";"CENTRO DE SAUDE/UNIDADE BASICA";"0000444774";"PSF DO JARDIM CASCATINHA II";"eSF";"150";"136";"167";"143";"102";"9";"12190";"180";"67,70"
"2591421";"SAUDE LAR CAPAO BONITO I";"CENTRO DE SAUDE/UNIDADE BASICA";"0000444731";"SAUDE LAR DO CAPAO BONITO I";"eSF";"92";"73";"100";"76";"63";"0";"7020";"101";"69,50"

Fonte: Sistema de Informação para a Atenção Primária à Saúde - SIAPS
Dado preliminar
