Ministério da Saúde MS
Secretaria de Atenção Primária à Saúde SAPS
Sistema de Informação para a Atenção Primária à Saúde – SIAPS
Dado gerado em: 13 de outubro de 2025 - 08:48h
Relatório Qualidade - Visão por Competência

Dados Sócio Demográficos:
UF: MS
Município: 500830 / TRÊS LAGOAS

Filtro:
Indicador: Cuidado da pessoa com Diabetes
Competência selecionada: AGO/25
Tipo de Equipe: eAP, eSF

CNES;ESTABELECIMENTO;TIPO DO ESTABELECIMENTO;INE;NOME DA EQUIPE;SIGLA DA EQUIPE;TER REALIZADO PELO MENOS 01 CONSULTA PRESENCIAL OU REMOTA POR PROFISSIONAL MÉDICA(O) OU ENFERMEIRA(O), NOS ÚLTIMOS 6 MESES;TER PELO MENOS 01 REGISTRO DE MEDIÇÃO DA PRESSÃO ARTERIAL, REALIZADO NOS ÚLTIMOS 6 MESES;TER PELO MENOS 02 VISITAS DOMICILIARES POR ACS/TACS, COM INTERVALO MÍNIMO DE 30 DIAS, REALIZADAS NOS ÚLTIMOS 12 MESES ;TER REALIZADO PELO MENOS 01 (UM) REGISTRO DE PESO E ALTURA, NOS ÚLTIMOS 12 MESES;TER PELO MENOS 01 REGISTRO DE HEMOGLOBINA GLICADA, SOLICITADA OU AVALIADA, NOS ÚLTIMOS 12 MESES;TER PELO MENOS 01 REGISTRO DE AVALIAÇÃO DOS PÉS, REALIZADO NOS ÚLTIMOS 15 MESES;SOMATÓRIO DE BOAS PRÁTICAS REALIZADAS PARA PESSOAS COM DIABETES VINCULADAS À EQUIPE;NÚMERO TOTAL DE PESSOAS COM DIABETES VINCULADAS À EQUIPE;PONTUAÇÃO
"2757079";"UNIDADE DE SAUDE DA FAMILIA JOEL NEVES SILVA";"CENTRO DE SAUDE/UNIDADE BASICA";"0002371138";"ESF JOEL NEVES 3";"eSF";"171";"156";"169";"142";"111";"0";"12935";"214";"60,40"
"2757095";"UNIDADE DE SAUDE DA FAMILIA MIGUEL NUNES";"CENTRO DE SAUDE/UNIDADE BASICA";"0001637231";"ESF MIGUEL NUNES II";"eSF";"197";"177";"251";"138";"178";"0";"16355";"268";"61,00"
"2757168";"UNIDADE DE SAUDE DA FAMILIA VILA PILOTO ADRIANA CRISTINA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001691694";"ESF VILA PILOTO III";"eSF";"89";"87";"108";"92";"68";"0";"7645";"124";"61,70"
"2757079";"UNIDADE DE SAUDE DA FAMILIA JOEL NEVES SILVA";"CENTRO DE SAUDE/UNIDADE BASICA";"0002172194";"EAP JOEL NEVES I";"eAP";"0";"0";"0";"0";"0";"0";"0";"0";"0,00"
"2757079";"UNIDADE DE SAUDE DA FAMILIA JOEL NEVES SILVA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001691414";"ESF JOEL NEVES I";"eSF";"154";"143";"205";"128";"122";"0";"13075";"221";"59,20"
"2757168";"UNIDADE DE SAUDE DA FAMILIA VILA PILOTO ADRIANA CRISTINA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000445207";"PSF VILA PILOTO 1";"eSF";"120";"99";"140";"97";"74";"1";"9265";"145";"63,90"
"2757044";"UNIDADE BASICA DE SAUDE ALTAIR CABRAL TRANIM";"CENTRO DE SAUDE/UNIDADE BASICA";"0002172216";"EAP ALTAIR CABRAL TRANIM I";"eAP";"90";"83";"95";"12";"56";"0";"6085";"101";"60,20"
"2757117";"UNIDADE DE SAUDE DA FAMILIA SANTA RITA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001691716";"ESF SANTA RITA III";"eSF";"184";"161";"206";"149";"177";"2";"15135";"216";"70,10"
"2757060";"UNIDADE DE SAUDE DA FAMILIA INTERLAGOS GABRIEL MARQUES FERNA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000445029";"ESF INTERLAGOS II";"eSF";"126";"108";"178";"119";"113";"1";"11195";"192";"58,30"
"2757117";"UNIDADE DE SAUDE DA FAMILIA SANTA RITA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000445126";"PSF SANTA RITA I";"eSF";"143";"131";"174";"136";"130";"0";"12295";"197";"62,40"
"2757060";"UNIDADE DE SAUDE DA FAMILIA INTERLAGOS GABRIEL MARQUES FERNA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000445037";"ESF INTERLAGOS I";"eSF";"137";"129";"162";"144";"114";"0";"11785";"190";"62,00"
"2757133";"UNIDADE DE SAUDE DA FAMILIA VILA ALEGRE";"CENTRO DE SAUDE/UNIDADE BASICA";"0001629573";"USF VILA ALEGRE II";"eSF";"195";"175";"237";"187";"172";"0";"16650";"263";"63,30"
"2757125";"UNIDADE DE SAUDE DA FAMILIA SANTO ANDRE";"CENTRO DE SAUDE/UNIDADE BASICA";"0000445134";"ESF SANTO ANDRE I";"eSF";"162";"156";"206";"166";"131";"0";"14155";"231";"61,30"
