Ministério da Saúde MS
Secretaria de Atenção Primária à Saúde SAPS
Sistema de Informação para a Atenção Primária à Saúde – SIAPS
Dado gerado em: 10 de outubro de 2025 - 15:26h
Relatório Qualidade - Visão por Competência

Dados Sócio Demográficos:
UF: MS
Município: 500110 / AQUIDAUANA

Filtro:
Indicador: Cuidado com a Gestante e Puérpera
Competência selecionada: AGO/25
Tipo de Equipe: eAP, eSF

CNES;ESTABELECIMENTO;TIPO DO ESTABELECIMENTO;INE;NOME DA EQUIPE;SIGLA DA EQUIPE;TER REALIZADO A PRIMEIRA CONSULTA DE PRÉ-NATAL ATÉ 12 SEMANAS DE GESTAÇÃO;TER REALIZADO PELO MENOS 07 CONSULTAS DURANTE O PERÍODO DE GESTAÇÃO PARA VALORIZAR O DIAGNÓSTICO E ACOLHIMENTO OPORTUNO;TER REALIZADO PELO MENOS 07 REGISTROS DE PRESSÃO ARTERIAL DURANTE O PERÍODO DA GESTAÇÃO;TER REALIZADO PELO MENOS 07 REGISTROS SIMULTÂNEOS DE PESO E ALTURA DURANTE O PERÍODO DA GESTAÇÃO;TER REGISTRO DE PELO MENOS 03 VISITAS DOMICILIARES DO ACS/TACS, APÓS A PRIMEIRA CONSULTA DO PRÉ-NATAL;TER REGISTRO DE UMA DOSE DE DTPA A PARTIR DA 20ª SEMANA DE CADA GESTAÇÃO;TER REGISTRO DOS TESTES RÁPIDOS OU DOS EXAMES AVALIADOS PARA SÍFILIS, HIV E HEPATITES B E C REALIZADOS NO PRIMEIRO TRIMESTRE DE CADA GESTAÇÃO;TER REGISTRO DOS TESTES RÁPIDOS OU DOS EXAMES AVALIADOS PARA SÍFILIS E HIV REALIZADOS NO TERCEIRO TRIMESTRE DE CADA GESTAÇÃO;TER REGISTRO DE PELO MENOS 01 CONSULTA PRESENCIAL OU REMOTA POR PROFISSIONAL MÉDICA(O) OU ENFERMEIRA(O) REALIZADA DURANTE O PUERPÉRIO;TER REGISTRO DE PELO MENOS 01 VISITA DOMICILIAR POR ACS/TACS REALIZADA DURANTE O PUERPÉRIO;TER REGISTRO DE PELO MENOS 01 AVALIAÇÃO ODONTOLÓGICA REALIZADA DURANTE O PERÍODO DA GESTAÇÃO POR PROFISSIONAL CIRURGIÃ(ÃO) DENTISTA OU TÉCNICA(O) EM SAÚDE BUCAL OU AUXILIAR DE SAÚDE BUCA;SOMATÓRIO DE BOAS PRÁTICAS REALIZADAS PARA GESTANTES E PUÉRPERAS VINCULADAS À EQUIPE;NÚMERO TOTAL DE GESTANTES E PUÉRPERAS VINCULADAS À EQUIPE;PONTUAÇÃO
"6315356";"ESTRATEGIA DE SAUDE DA FAMILIA SAO PEDRO";"CENTRO DE SAUDE/UNIDADE BASICA";"0000438308";"VILA SAO PEDRO/OVIDIO COSTA 3";"eSF";"24";"11";"14";"14";"21";"17";"24";"14";"7";"6";"23";"1599";"30";"53,30"
"0467499";"UNIDADE DE SAUDE DA FAMILIA DRA CELIA VAZ DE CAMPOS TRINDADE";"CENTRO DE SAUDE/UNIDADE BASICA";"0002150212";"DRA CELIA VAZ TRINDADE";"eSF";"18";"10";"12";"11";"11";"12";"17";"8";"7";"9";"22";"1251";"24";"52,13"
"2659670";"UNIDADE DE SAUDE DA FAMILIA CIDADE NOVA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000438219";"TIAGO BOGADO FIGUEIREDO";"eSF";"15";"4";"6";"6";"11";"7";"11";"4";"2";"3";"14";"762";"20";"38,10"
"2360225";"ESTRATEGIA DE SAUDE DA FAMILIA CAMISAO";"CENTRO DE SAUDE/UNIDADE BASICA";"0000438170";"CAMISAO/PIRAPUTANGA/QUILOMBOLA";"eSF";"11";"5";"8";"6";"9";"3";"6";"3";"2";"2";"11";"605";"13";"46,54"
"2659662";"UNIDADE DE SAUDE DA FAMILIA SANTA TEREZINHA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000438197";"JOSE VORIA";"eSF";"26";"10";"12";"11";"22";"13";"22";"10";"8";"10";"27";"1565";"31";"50,48"
"2360209";"UNIDADE DE SAUDE DA FAMILIA ELCIRIA RITA BRANDES GARCIA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000438154";"V.40-S.FRANCISCO-S.CRISTOVAO";"eSF";"22";"13";"12";"10";"19";"15";"18";"12";"7";"8";"21";"1435";"25";"57,40"
"5601010";"UNIDADE DE SAUDE DA FAMILIA BAIRRO ALTO";"CENTRO DE SAUDE/UNIDADE BASICA";"0000438286";"PROF JOAO JORGE CARNEIRO";"eSF";"8";"3";"5";"5";"5";"2";"5";"2";"2";"1";"6";"404";"8";"50,50"
"2360217";"UNIDADE DE SAUDE DA FAMILIA VILA PINHEIRO";"CENTRO DE SAUDE/UNIDADE BASICA";"0000438162";"VILA PINHEIRO - VILA ELIANE";"eSF";"17";"5";"12";"13";"15";"11";"11";"6";"1";"8";"15";"1043";"21";"49,67"
"6310834";"ESTRATEGIA DE SAUDE DA FAMILIA CIPOLANDIA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000438294";"CIPOLANDIA/INDAIA";"eSF";"9";"4";"6";"6";"6";"2";"6";"5";"4";"4";"7";"540";"10";"54,00"
"5601010";"UNIDADE DE SAUDE DA FAMILIA BAIRRO ALTO";"CENTRO DE SAUDE/UNIDADE BASICA";"0000438251";"DR. CANDIDO PINHEIRO FILHO";"eSF";"11";"6";"6";"5";"6";"7";"11";"6";"3";"3";"9";"668";"13";"51,38"
