Ministério da Saúde MS
Secretaria de Atenção Primária à Saúde SAPS
Sistema de Informação para a Atenção Primária à Saúde – SIAPS
Dado gerado em: 10 de outubro de 2025 - 15:34h
Relatório Qualidade - Visão por Competência

Dados Sócio Demográficos:
UF: MS
Município: 500320 / CORUMBÁ

Filtro:
Indicador: Cuidado com a Gestante e Puérpera
Competência selecionada: AGO/25
Tipo de Equipe: eAP, eSF

CNES;ESTABELECIMENTO;TIPO DO ESTABELECIMENTO;INE;NOME DA EQUIPE;SIGLA DA EQUIPE;TER REALIZADO A PRIMEIRA CONSULTA DE PRÉ-NATAL ATÉ 12 SEMANAS DE GESTAÇÃO;TER REALIZADO PELO MENOS 07 CONSULTAS DURANTE O PERÍODO DE GESTAÇÃO PARA VALORIZAR O DIAGNÓSTICO E ACOLHIMENTO OPORTUNO;TER REALIZADO PELO MENOS 07 REGISTROS DE PRESSÃO ARTERIAL DURANTE O PERÍODO DA GESTAÇÃO;TER REALIZADO PELO MENOS 07 REGISTROS SIMULTÂNEOS DE PESO E ALTURA DURANTE O PERÍODO DA GESTAÇÃO;TER REGISTRO DE PELO MENOS 03 VISITAS DOMICILIARES DO ACS/TACS, APÓS A PRIMEIRA CONSULTA DO PRÉ-NATAL;TER REGISTRO DE UMA DOSE DE DTPA A PARTIR DA 20ª SEMANA DE CADA GESTAÇÃO;TER REGISTRO DOS TESTES RÁPIDOS OU DOS EXAMES AVALIADOS PARA SÍFILIS, HIV E HEPATITES B E C REALIZADOS NO PRIMEIRO TRIMESTRE DE CADA GESTAÇÃO;TER REGISTRO DOS TESTES RÁPIDOS OU DOS EXAMES AVALIADOS PARA SÍFILIS E HIV REALIZADOS NO TERCEIRO TRIMESTRE DE CADA GESTAÇÃO;TER REGISTRO DE PELO MENOS 01 CONSULTA PRESENCIAL OU REMOTA POR PROFISSIONAL MÉDICA(O) OU ENFERMEIRA(O) REALIZADA DURANTE O PUERPÉRIO;TER REGISTRO DE PELO MENOS 01 VISITA DOMICILIAR POR ACS/TACS REALIZADA DURANTE O PUERPÉRIO;TER REGISTRO DE PELO MENOS 01 AVALIAÇÃO ODONTOLÓGICA REALIZADA DURANTE O PERÍODO DA GESTAÇÃO POR PROFISSIONAL CIRURGIÃ(ÃO) DENTISTA OU TÉCNICA(O) EM SAÚDE BUCAL OU AUXILIAR DE SAÚDE BUCA;SOMATÓRIO DE BOAS PRÁTICAS REALIZADAS PARA GESTANTES E PUÉRPERAS VINCULADAS À EQUIPE;NÚMERO TOTAL DE GESTANTES E PUÉRPERAS VINCULADAS À EQUIPE;PONTUAÇÃO
"7573170";"UNIDADE BASICA DE SAUDE DR ENIO CUNHA II";"CENTRO DE SAUDE/UNIDADE BASICA";"0001547909";"EQUIPE ENIO CUNHA II";"eSF";"17";"2";"4";"3";"9";"6";"5";"0";"2";"2";"11";"566";"19";"29,79"
"6585426";"UNIDADE BASICA DE SAUDE LUIS FRAGELLI";"CENTRO DE SAUDE/UNIDADE BASICA";"0000441309";"EQUIPE LUIZ FRAGELLI";"eSF";"17";"7";"7";"7";"14";"8";"10";"3";"2";"4";"14";"854";"20";"42,70"
"2376148";"UNIDADE BASICA DE SAUDE FERNANDO MOUTINHO";"CENTRO DE SAUDE/UNIDADE BASICA";"0000441104";"EQUIPE FERNANDO MOUTINHO II";"eSF";"19";"8";"11";"7";"24";"13";"18";"9";"2";"12";"23";"1333";"33";"40,39"
"2591405";"UNIDADE BASICA DE SAUDE DRA LUCIA MARIA PEREIRA DE CARVALHO";"CENTRO DE SAUDE/UNIDADE BASICA";"0000441228";"EQ. LUCIA M. P. DE CARVALHO";"eSF";"24";"4";"5";"4";"16";"12";"12";"2";"12";"7";"13";"1023";"29";"35,28"
"2591553";"UNIDADE BASICA DE SAUDE RURAL MATO GRANDE";"CENTRO DE SAUDE/UNIDADE BASICA";"0000441244";"EQUIPE MATO GRANDE";"eSF";"7";"5";"5";"5";"7";"2";"3";"2";"3";"5";"6";"457";"13";"35,15"
"6091458";"UNIDADE BASICA DE SAUDE DR HUMBERTO PEREIRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000441287";"EQUIPE DR.HUMBERTO PEREIRA";"eSF";"22";"7";"9";"3";"17";"9";"10";"6";"5";"11";"17";"1066";"29";"36,76"
"2559498";"UNIDADE BASICA DE SAUDE GASTAO DE OLIVEIRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000441201";"EQUIPE GASTAO DE OLIVEIRA I";"eSF";"13";"1";"2";"1";"8";"3";"13";"3";"3";"3";"12";"571";"14";"40,79"
"6564070";"UNIDADE BASICA DE SAUDE ANGELICA ANACHE";"CENTRO DE SAUDE/UNIDADE BASICA";"0000441295";"EQUIPE ANGELICA ANACHE";"eSF";"15";"4";"9";"0";"14";"11";"9";"0";"0";"6";"12";"735";"21";"35,00"
"7836546";"UNIDADE BASICA DE SAUDE RANULFO DE JESUS VASCONCELLOS";"CENTRO DE SAUDE/UNIDADE BASICA";"0001556916";"EQUIPE RANULFO VASCONCELLOS";"eSF";"17";"2";"4";"2";"12";"6";"13";"1";"2";"2";"15";"701";"21";"33,38"
"2376105";"UNIDADE BASICA DE SAUDE BRENO DE MEDEIROS";"CENTRO DE SAUDE/UNIDADE BASICA";"0000441074";"EQUIPE BRENO II";"eSF";"28";"6";"10";"5";"26";"13";"6";"3";"1";"12";"17";"1171";"34";"34,44"
