Ministério da Saúde MS
Secretaria de Atenção Primária à Saúde SAPS
Sistema de Informação para a Atenção Primária à Saúde – SIAPS
Dado gerado em: 10 de outubro de 2025 - 15:49h
Relatório Qualidade - Visão por Competência

Dados Sócio Demográficos:
UF: MS
Município: 500620 / NOVA ANDRADINA

Filtro:
Indicador: Cuidado com a Gestante e Puérpera
Competência selecionada: AGO/25
Tipo de Equipe: eAP, eSF

CNES;ESTABELECIMENTO;TIPO DO ESTABELECIMENTO;INE;NOME DA EQUIPE;SIGLA DA EQUIPE;TER REALIZADO A PRIMEIRA CONSULTA DE PRÉ-NATAL ATÉ 12 SEMANAS DE GESTAÇÃO;TER REALIZADO PELO MENOS 07 CONSULTAS DURANTE O PERÍODO DE GESTAÇÃO PARA VALORIZAR O DIAGNÓSTICO E ACOLHIMENTO OPORTUNO;TER REALIZADO PELO MENOS 07 REGISTROS DE PRESSÃO ARTERIAL DURANTE O PERÍODO DA GESTAÇÃO;TER REALIZADO PELO MENOS 07 REGISTROS SIMULTÂNEOS DE PESO E ALTURA DURANTE O PERÍODO DA GESTAÇÃO;TER REGISTRO DE PELO MENOS 03 VISITAS DOMICILIARES DO ACS/TACS, APÓS A PRIMEIRA CONSULTA DO PRÉ-NATAL;TER REGISTRO DE UMA DOSE DE DTPA A PARTIR DA 20ª SEMANA DE CADA GESTAÇÃO;TER REGISTRO DOS TESTES RÁPIDOS OU DOS EXAMES AVALIADOS PARA SÍFILIS, HIV E HEPATITES B E C REALIZADOS NO PRIMEIRO TRIMESTRE DE CADA GESTAÇÃO;TER REGISTRO DOS TESTES RÁPIDOS OU DOS EXAMES AVALIADOS PARA SÍFILIS E HIV REALIZADOS NO TERCEIRO TRIMESTRE DE CADA GESTAÇÃO;TER REGISTRO DE PELO MENOS 01 CONSULTA PRESENCIAL OU REMOTA POR PROFISSIONAL MÉDICA(O) OU ENFERMEIRA(O) REALIZADA DURANTE O PUERPÉRIO;TER REGISTRO DE PELO MENOS 01 VISITA DOMICILIAR POR ACS/TACS REALIZADA DURANTE O PUERPÉRIO;TER REGISTRO DE PELO MENOS 01 AVALIAÇÃO ODONTOLÓGICA REALIZADA DURANTE O PERÍODO DA GESTAÇÃO POR PROFISSIONAL CIRURGIÃ(ÃO) DENTISTA OU TÉCNICA(O) EM SAÚDE BUCAL OU AUXILIAR DE SAÚDE BUCA;SOMATÓRIO DE BOAS PRÁTICAS REALIZADAS PARA GESTANTES E PUÉRPERAS VINCULADAS À EQUIPE;NÚMERO TOTAL DE GESTANTES E PUÉRPERAS VINCULADAS À EQUIPE;PONTUAÇÃO
"3881032";"ESF CENTRO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001711717";"SAUDE NA HORA II";"eSF";"20";"8";"8";"4";"10";"11";"17";"7";"1";"5";"14";"965";"20";"48,25"
"3881032";"ESF CENTRO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001711725";"SAUDE NA HORA III";"eSF";"9";"4";"5";"4";"4";"6";"9";"5";"1";"3";"6";"513";"10";"51,30"
"6669239";"ESF VILA BEATRIZ";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443638";"ESF - VILA BEATRIZ";"eSF";"21";"6";"7";"5";"15";"9";"10";"5";"12";"3";"12";"966";"27";"35,78"
"3188957";"ESF HORTO FLORESTAL";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443603";"ESF - HORTO FLORESTAL";"eSF";"25";"11";"12";"10";"21";"17";"23";"13";"10";"9";"14";"1510";"29";"52,07"
"2612038";"ESF CENTRO EDUCACIONAL";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443549";"ESF - CENTRO EDUCACIONAL";"eSF";"28";"8";"9";"1";"14";"9";"26";"9";"7";"4";"14";"1189";"30";"39,63"
"2612046";"ESF SAO VICENTE";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443557";"ESF - SAO VICENTE";"eSF";"27";"9";"16";"13";"22";"12";"19";"6";"4";"10";"10";"1359";"30";"45,30"
"0187941";"ESF UNIVERSITARIO";"CENTRO DE SAUDE/UNIDADE BASICA";"0002022532";"ESF - UNIVERSITARIO";"eSF";"28";"5";"9";"2";"18";"14";"21";"6";"6";"6";"10";"1153";"30";"38,43"
"3881032";"ESF CENTRO";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443611";"SAUDE NA HORA I";"eSF";"10";"1";"2";"1";"5";"2";"8";"0";"1";"1";"2";"307";"10";"30,70"
"2612054";"ESF NOVA CASA VERDE";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443565";"ESF - NOVA CASA VERDE";"eSF";"24";"9";"17";"16";"20";"10";"7";"4";"0";"6";"15";"1176";"26";"45,23"
"2612054";"ESF NOVA CASA VERDE";"CENTRO DE SAUDE/UNIDADE BASICA";"0002212714";"EAP - NOVA CASA VERDE";"eAP";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,00"
"2612062";"ESF IRMAN RIBEIRO";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443573";"ESF - IRMAN RIBEIRO";"eSF";"22";"13";"17";"16";"14";"14";"21";"12";"1";"8";"19";"1435";"23";"62,39"
