Ministério da Saúde MS
Secretaria de Atenção Primária à Saúde SAPS
Sistema de Informação para a Atenção Primária à Saúde – SIAPS
Dado gerado em: 10 de outubro de 2025 - 15:52h
Relatório Qualidade - Visão por Competência

Dados Sócio Demográficos:
UF: MS
Município: 500660 / PONTA PORÃ

Filtro:
Indicador: Cuidado com a Gestante e Puérpera
Competência selecionada: AGO/25
Tipo de Equipe: eAP, eSF

CNES;ESTABELECIMENTO;TIPO DO ESTABELECIMENTO;INE;NOME DA EQUIPE;SIGLA DA EQUIPE;TER REALIZADO A PRIMEIRA CONSULTA DE PRÉ-NATAL ATÉ 12 SEMANAS DE GESTAÇÃO;TER REALIZADO PELO MENOS 07 CONSULTAS DURANTE O PERÍODO DE GESTAÇÃO PARA VALORIZAR O DIAGNÓSTICO E ACOLHIMENTO OPORTUNO;TER REALIZADO PELO MENOS 07 REGISTROS DE PRESSÃO ARTERIAL DURANTE O PERÍODO DA GESTAÇÃO;TER REALIZADO PELO MENOS 07 REGISTROS SIMULTÂNEOS DE PESO E ALTURA DURANTE O PERÍODO DA GESTAÇÃO;TER REGISTRO DE PELO MENOS 03 VISITAS DOMICILIARES DO ACS/TACS, APÓS A PRIMEIRA CONSULTA DO PRÉ-NATAL;TER REGISTRO DE UMA DOSE DE DTPA A PARTIR DA 20ª SEMANA DE CADA GESTAÇÃO;TER REGISTRO DOS TESTES RÁPIDOS OU DOS EXAMES AVALIADOS PARA SÍFILIS, HIV E HEPATITES B E C REALIZADOS NO PRIMEIRO TRIMESTRE DE CADA GESTAÇÃO;TER REGISTRO DOS TESTES RÁPIDOS OU DOS EXAMES AVALIADOS PARA SÍFILIS E HIV REALIZADOS NO TERCEIRO TRIMESTRE DE CADA GESTAÇÃO;TER REGISTRO DE PELO MENOS 01 CONSULTA PRESENCIAL OU REMOTA POR PROFISSIONAL MÉDICA(O) OU ENFERMEIRA(O) REALIZADA DURANTE O PUERPÉRIO;TER REGISTRO DE PELO MENOS 01 VISITA DOMICILIAR POR ACS/TACS REALIZADA DURANTE O PUERPÉRIO;TER REGISTRO DE PELO MENOS 01 AVALIAÇÃO ODONTOLÓGICA REALIZADA DURANTE O PERÍODO DA GESTAÇÃO POR PROFISSIONAL CIRURGIÃ(ÃO) DENTISTA OU TÉCNICA(O) EM SAÚDE BUCAL OU AUXILIAR DE SAÚDE BUCA;SOMATÓRIO DE BOAS PRÁTICAS REALIZADAS PARA GESTANTES E PUÉRPERAS VINCULADAS À EQUIPE;NÚMERO TOTAL DE GESTANTES E PUÉRPERAS VINCULADAS À EQUIPE;PONTUAÇÃO
"9003479";"UNIDADE BASICA DE SAUDE ZENEIDA TERRA DE SIQUEIRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443948";"ESF - JARDIM IVONE";"eSF";"56";"21";"25";"21";"37";"32";"50";"12";"8";"11";"54";"2999";"68";"44,10"
"2361000";"UNIDADE BASICA DE SAUDE JOSE BATAGLIN";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443905";"ESF -POSTO SANGA PUITA";"eSF";"28";"16";"25";"21";"26";"24";"2";"18";"13";"12";"31";"1972";"39";"50,56"
"2599465";"UNIDADE BASICA DE SAUDE LEONOR COELHO BATISTA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443913";"ESF - LEONOR COELHO BATISTA";"eSF";"49";"14";"15";"5";"41";"30";"21";"16";"17";"14";"41";"2416";"62";"38,97"
"0998400";"UNIDADE BASICA DE SAUDE DR RODRIGO LIMA VILHANUEVA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001635360";"ESF - KAMEL SAAD";"eSF";"58";"27";"34";"3";"33";"32";"47";"4";"16";"18";"45";"2911";"64";"45,48"
"3830497";"UNIDADE BASICA DE SAUDE JOSE ALBERTO FERREIRA NEVES";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443999";"ESF - JARDIM ALEGRETE";"eSF";"36";"14";"19";"17";"22";"22";"29";"9";"5";"8";"26";"1899";"46";"41,28"
"2651556";"UNIDADE BASICA DE SAUDE LAR GERALDO GARCIA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443956";"ESF-GERALDO GARCIA I";"eSF";"57";"25";"34";"5";"42";"29";"57";"9";"17";"17";"43";"3072";"63";"48,76"
"5683238";"UNIDADE BASICA DE SAUDE ROSANGELA PEREIRA SILVA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443964";"ESF-ITINERANTE";"eSF";"16";"9";"10";"7";"11";"8";"13";"6";"5";"7";"14";"970";"17";"57,06"
"9387919";"UNIDADE BASICA DE SAUDE DRA NISLAINE COLMAN BENITES";"CENTRO DE SAUDE/UNIDADE BASICA";"0001638343";"ESF - VILA RENO";"eSF";"19";"8";"9";"2";"11";"14";"17";"10";"2";"4";"22";"1081";"27";"40,04"
"2651521";"UNIDADE BASICA DE SAUDE NELSON MACHADO DIAS";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443921";"ESF-IPE II";"eSF";"46";"16";"16";"13";"41";"30";"42";"10";"6";"9";"34";"2413";"59";"40,90"
"7281986";"UNIDADE BASICA DE SAUDE JOSE ALBERTO VIEIRA BOCH";"CENTRO DE SAUDE/UNIDADE BASICA";"0001512390";"ESF - JARDIM ESTORIL";"eSF";"42";"14";"18";"12";"29";"24";"37";"3";"8";"8";"38";"2139";"51";"41,94"
