Ministério da Saúde MS
Secretaria de Atenção Primária à Saúde SAPS
Sistema de Informação para a Atenção Primária à Saúde – SIAPS
Dado gerado em: 10 de outubro de 2025 - 15:53h
Relatório Qualidade - Visão por Competência

Dados Sócio Demográficos:
UF: MS
Município: 500720 / RIO BRILHANTE

Filtro:
Indicador: Cuidado com a Gestante e Puérpera
Competência selecionada: AGO/25
Tipo de Equipe: eAP, eSF

CNES;ESTABELECIMENTO;TIPO DO ESTABELECIMENTO;INE;NOME DA EQUIPE;SIGLA DA EQUIPE;TER REALIZADO A PRIMEIRA CONSULTA DE PRÉ-NATAL ATÉ 12 SEMANAS DE GESTAÇÃO;TER REALIZADO PELO MENOS 07 CONSULTAS DURANTE O PERÍODO DE GESTAÇÃO PARA VALORIZAR O DIAGNÓSTICO E ACOLHIMENTO OPORTUNO;TER REALIZADO PELO MENOS 07 REGISTROS DE PRESSÃO ARTERIAL DURANTE O PERÍODO DA GESTAÇÃO;TER REALIZADO PELO MENOS 07 REGISTROS SIMULTÂNEOS DE PESO E ALTURA DURANTE O PERÍODO DA GESTAÇÃO;TER REGISTRO DE PELO MENOS 03 VISITAS DOMICILIARES DO ACS/TACS, APÓS A PRIMEIRA CONSULTA DO PRÉ-NATAL;TER REGISTRO DE UMA DOSE DE DTPA A PARTIR DA 20ª SEMANA DE CADA GESTAÇÃO;TER REGISTRO DOS TESTES RÁPIDOS OU DOS EXAMES AVALIADOS PARA SÍFILIS, HIV E HEPATITES B E C REALIZADOS NO PRIMEIRO TRIMESTRE DE CADA GESTAÇÃO;TER REGISTRO DOS TESTES RÁPIDOS OU DOS EXAMES AVALIADOS PARA SÍFILIS E HIV REALIZADOS NO TERCEIRO TRIMESTRE DE CADA GESTAÇÃO;TER REGISTRO DE PELO MENOS 01 CONSULTA PRESENCIAL OU REMOTA POR PROFISSIONAL MÉDICA(O) OU ENFERMEIRA(O) REALIZADA DURANTE O PUERPÉRIO;TER REGISTRO DE PELO MENOS 01 VISITA DOMICILIAR POR ACS/TACS REALIZADA DURANTE O PUERPÉRIO;TER REGISTRO DE PELO MENOS 01 AVALIAÇÃO ODONTOLÓGICA REALIZADA DURANTE O PERÍODO DA GESTAÇÃO POR PROFISSIONAL CIRURGIÃ(ÃO) DENTISTA OU TÉCNICA(O) EM SAÚDE BUCAL OU AUXILIAR DE SAÚDE BUCA;SOMATÓRIO DE BOAS PRÁTICAS REALIZADAS PARA GESTANTES E PUÉRPERAS VINCULADAS À EQUIPE;NÚMERO TOTAL DE GESTANTES E PUÉRPERAS VINCULADAS À EQUIPE;PONTUAÇÃO
"7613687";"ESTRATEGIA SAUDE DA FAMILIA VILA FATIMA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000444200";"USF - VILA FATIMA";"eSF";"38";"19";"23";"23";"30";"20";"25";"1";"12";"13";"28";"2126";"42";"50,62"
"7323093";"ESTRATEGIA SAUDE DA FAMILIA BRILHANTE";"CENTRO DE SAUDE/UNIDADE BASICA";"0001484737";"ESF BRILHANTE";"eSF";"26";"12";"13";"13";"18";"15";"21";"6";"1";"10";"20";"1421";"33";"43,06"
"2804492";"CENTRO DE SAUDE RIO BRILHANTE";"UNIDADE MISTA";"0002310503";"CENTRO DE SAUDE 01";"eAP";"1";"0";"1";"1";"1";"2";"0";"1";"0";"0";"1";"100";"2";"50,00"
"3085287";"ESTRATEGIA SAUDE DA FAMILIA FAUZER SALIBA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000444243";"USF - BENEDITO RONDON";"eSF";"41";"11";"14";"10";"33";"23";"18";"8";"15";"13";"17";"1868";"49";"38,12"
"3865657";"ESTRATEGIA SAUDE DA FAMILIA CARLOS VOLPE";"CENTRO DE SAUDE/UNIDADE BASICA";"0000444251";"USF - CENTRAL";"eSF";"11";"3";"4";"5";"7";"4";"7";"3";"2";"2";"6";"497";"12";"41,42"
"2804506";"ESTRATEGIA SAUDE DA FAMILIA FRANCISCO AUGUSTO G DE MELLO";"CENTRO DE SAUDE/UNIDADE BASICA";"0000444197";"USF-DR.FRANCISCO A G DE MELLO";"eSF";"31";"14";"15";"10";"22";"14";"11";"9";"7";"10";"25";"1543";"34";"45,38"
"6727042";"ESTRATEGIA SAUDE DA FAMILIA CELINA MARTINS JALAD XIV";"CENTRO DE SAUDE/UNIDADE BASICA";"0000444294";"PRO MORADIA XIV";"eSF";"40";"17";"25";"23";"31";"16";"37";"15";"9";"9";"28";"2290";"40";"57,25"
"2804514";"ESTRATEGIA SAUDE DA FAMILIA JAIME MEDEIROS";"CENTRO DE SAUDE/UNIDADE BASICA";"0000444219";"USF - JAIME MEDEIROS";"eSF";"27";"6";"8";"8";"17";"10";"21";"7";"5";"5";"23";"1260";"30";"42,00"
"2804492";"CENTRO DE SAUDE RIO BRILHANTE";"UNIDADE MISTA";"0002326930";"CENTRO DE SAUDE 02";"eAP";"1";"1";"1";"1";"0";"1";"1";"1";"1";"0";"0";"91";"1";"91,00"
"2804522";"ESTRATEGIA SAUDE DA FAMILIA RURAL";"CENTRO DE SAUDE/UNIDADE BASICA";"0000444227";"USF - RURAL";"eSF";"2";"1";"1";"3";"4";"2";"1";"0";"0";"4";"2";"182";"4";"45,50"
"2804530";"ESTRATEGIA SAUDE DA FAMILIA ANTONIO APARECIDO BITENCOURT";"CENTRO DE SAUDE/UNIDADE BASICA";"0000444235";"USF - PRUDENCIO THOMAZ";"eSF";"16";"12";"9";"8";"13";"13";"6";"5";"4";"6";"6";"898";"25";"35,92"
"4394542";"ESTRATEGIA SAUDE DA FAMILIA NOVA RIO BRILHANTE";"CENTRO DE SAUDE/UNIDADE BASICA";"0002406543";"NOVA RIO BRILHANTE";"eSF";"37";"15";"16";"16";"25";"12";"31";"12";"11";"10";"20";"1882";"41";"45,90"

Fonte: Sistema de Informação para a Atenção Primária à Saúde - SIAPS
Dado preliminar
