Ministério da Saúde MS
Secretaria de Atenção Primária à Saúde SAPS
Sistema de Informação para a Atenção Primária à Saúde – SIAPS
Dado gerado em: 10 de outubro de 2025 - 15:57h
Relatório Qualidade - Visão por Competência

Dados Sócio Demográficos:
UF: MS
Município: 500790 / SIDROLÂNDIA

Filtro:
Indicador: Cuidado com a Gestante e Puérpera
Competência selecionada: AGO/25
Tipo de Equipe: eAP, eSF

CNES;ESTABELECIMENTO;TIPO DO ESTABELECIMENTO;INE;NOME DA EQUIPE;SIGLA DA EQUIPE;TER REALIZADO A PRIMEIRA CONSULTA DE PRÉ-NATAL ATÉ 12 SEMANAS DE GESTAÇÃO;TER REALIZADO PELO MENOS 07 CONSULTAS DURANTE O PERÍODO DE GESTAÇÃO PARA VALORIZAR O DIAGNÓSTICO E ACOLHIMENTO OPORTUNO;TER REALIZADO PELO MENOS 07 REGISTROS DE PRESSÃO ARTERIAL DURANTE O PERÍODO DA GESTAÇÃO;TER REALIZADO PELO MENOS 07 REGISTROS SIMULTÂNEOS DE PESO E ALTURA DURANTE O PERÍODO DA GESTAÇÃO;TER REGISTRO DE PELO MENOS 03 VISITAS DOMICILIARES DO ACS/TACS, APÓS A PRIMEIRA CONSULTA DO PRÉ-NATAL;TER REGISTRO DE UMA DOSE DE DTPA A PARTIR DA 20ª SEMANA DE CADA GESTAÇÃO;TER REGISTRO DOS TESTES RÁPIDOS OU DOS EXAMES AVALIADOS PARA SÍFILIS, HIV E HEPATITES B E C REALIZADOS NO PRIMEIRO TRIMESTRE DE CADA GESTAÇÃO;TER REGISTRO DOS TESTES RÁPIDOS OU DOS EXAMES AVALIADOS PARA SÍFILIS E HIV REALIZADOS NO TERCEIRO TRIMESTRE DE CADA GESTAÇÃO;TER REGISTRO DE PELO MENOS 01 CONSULTA PRESENCIAL OU REMOTA POR PROFISSIONAL MÉDICA(O) OU ENFERMEIRA(O) REALIZADA DURANTE O PUERPÉRIO;TER REGISTRO DE PELO MENOS 01 VISITA DOMICILIAR POR ACS/TACS REALIZADA DURANTE O PUERPÉRIO;TER REGISTRO DE PELO MENOS 01 AVALIAÇÃO ODONTOLÓGICA REALIZADA DURANTE O PERÍODO DA GESTAÇÃO POR PROFISSIONAL CIRURGIÃ(ÃO) DENTISTA OU TÉCNICA(O) EM SAÚDE BUCAL OU AUXILIAR DE SAÚDE BUCA;SOMATÓRIO DE BOAS PRÁTICAS REALIZADAS PARA GESTANTES E PUÉRPERAS VINCULADAS À EQUIPE;NÚMERO TOTAL DE GESTANTES E PUÉRPERAS VINCULADAS À EQUIPE;PONTUAÇÃO
"2370840";"SAUDE LAR DO DISTRITO DE QUEBRA COCO";"CENTRO DE SAUDE/UNIDADE BASICA";"0000444685";"SAUDE LAR DIST. QUEBRA COCO";"eSF";"13";"7";"8";"8";"8";"6";"11";"6";"6";"5";"10";"805";"14";"57,50"
"2370875";"UNIDADE DE SAUDE DA FAMILIA DA VILA SAO BENTO";"CENTRO DE SAUDE/UNIDADE BASICA";"0000444693";"UNID. SAUDE FAMILIA V.S. BENT";"eSF";"40";"13";"19";"3";"22";"20";"34";"11";"9";"6";"33";"1930";"46";"41,96"
"5767776";"ESF OSCALINA NANTES";"CENTRO DE SAUDE/UNIDADE BASICA";"0001687670";"EQUIPE ESF MOVEL";"eSF";"18";"4";"5";"0";"12";"8";"9";"5";"2";"4";"7";"684";"23";"29,74"
"5121728";"ESF CAPAO BONITO II";"CENTRO DE SAUDE/UNIDADE BASICA";"0000444782";"PSF DO ASSENT. C. BONITO II";"eSF";"7";"2";"2";"2";"3";"5";"4";"2";"3";"2";"9";"376";"11";"34,18"
"5134609";"ESF CLEIDE PIRAN";"CENTRO DE SAUDE/UNIDADE BASICA";"0000444790";"PSF CLEIDE PIRAN";"eSF";"34";"15";"18";"6";"14";"18";"28";"6";"6";"5";"26";"1618";"36";"44,94"
"2370883";"CENTRO DE SAUDE CENTRAL DE SIDROLANDIA";"CENTRO DE SAUDE/UNIDADE BASICA";"0002323494";"ESF RURAL";"eSF";"17";"7";"12";"5";"7";"17";"11";"1";"7";"2";"19";"962";"26";"37,00"
"7717725";"UNIDADE DE SAUDE DIVA NANTES";"CENTRO DE SAUDE/UNIDADE BASICA";"0000444758";"ESF DIVA NANTES";"eSF";"59";"20";"23";"6";"34";"27";"53";"5";"13";"16";"52";"2831";"64";"44,23"
"2370883";"CENTRO DE SAUDE CENTRAL DE SIDROLANDIA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000444715";"ESF CENTRAL";"eSF";"26";"9";"14";"3";"12";"13";"22";"8";"2";"5";"18";"1214";"28";"43,36"
"5767776";"ESF OSCALINA NANTES";"CENTRO DE SAUDE/UNIDADE BASICA";"0000444812";"ESF DO ASSENT. ELDORADO II";"eSF";"23";"7";"13";"5";"16";"13";"18";"10";"5";"7";"22";"1274";"28";"45,50"
"2370832";"UNIDADE SAUDE FAMILIA LAR DA VILA JANDAIA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000444677";"UNIDADE LAR DA VILA JANDAIA";"eSF";"27";"8";"17";"9";"18";"11";"21";"6";"9";"10";"16";"1395";"30";"46,50"
"2676532";"ESF MALVINAS";"CENTRO DE SAUDE/UNIDADE BASICA";"0000444766";"UNID DE PSF DA VILA MALVINAS";"eSF";"41";"22";"27";"9";"22";"25";"35";"19";"14";"15";"30";"2372";"49";"48,41"
"3959198";"ESF CASCATINHA II";"CENTRO DE SAUDE/UNIDADE BASICA";"0000444774";"PSF DO JARDIM CASCATINHA II";"eSF";"36";"18";"25";"20";"20";"19";"29";"3";"7";"8";"31";"1980";"40";"49,50"
