Ministério da Saúde MS
Secretaria de Atenção Primária à Saúde SAPS
Sistema de Informação para a Atenção Primária à Saúde – SIAPS
Dado gerado em: 13 de outubro de 2025 - 09:18h
Relatório Qualidade - Visão por Competência

Dados Sócio Demográficos:
UF: MS
Município: 500320 / CORUMBÁ

Filtro:
Indicador: Cuidado da pessoa com Hipertensão
Competência selecionada: AGO/25
Tipo de Equipe: eAP, eSF

CNES;ESTABELECIMENTO;TIPO DO ESTABELECIMENTO;INE;NOME DA EQUIPE;SIGLA DA EQUIPE;TER REALIZADO PELO MENOS 01 CONSULTA PRESENCIAL OU REMOTA POR PROFISSIONAL MÉDICA(O) OU ENFERMEIRA(O), NOS ÚLTIMOS 6 MESES;TER PELO MENOS 01 REGISTRO DE MEDIÇÃO DA PRESSÃO ARTERIAL, REALIZADO NOS ÚLTIMOS 6 MESES;TER PELO MENOS 02 VISITAS DOMICILIARES POR ACS/TACS, COM INTERVALO MÍNIMO DE 30 DIAS, REALIZADAS NOS ÚLTIMOS 12 MESES ;TER REALIZADO PELO MENOS 01 (UM) REGISTRO DE PESO E ALTURA, NOS ÚLTIMOS 12 MESES;SOMATÓRIO DE BOAS PRÁTICAS REALIZADAS PARA PESSOAS COM HIPERTENSÃO VINCULADAS À EQUIPE;NÚMERO TOTAL DE PESSOAS COM HIPERTENSÃO VINCULADAS À EQUIPE;PONTUAÇÃO
"7573170";"UNIDADE BASICA DE SAUDE DR ENIO CUNHA II";"CENTRO DE SAUDE/UNIDADE BASICA";"0001547909";"EQUIPE ENIO CUNHA II";"eSF";"0";"0";"0";"0";"0";"0";"0,00"
"6585426";"UNIDADE BASICA DE SAUDE LUIS FRAGELLI";"CENTRO DE SAUDE/UNIDADE BASICA";"0000441309";"EQUIPE LUIZ FRAGELLI";"eSF";"0";"0";"0";"0";"0";"0";"0,00"
"2376148";"UNIDADE BASICA DE SAUDE FERNANDO MOUTINHO";"CENTRO DE SAUDE/UNIDADE BASICA";"0000441104";"EQUIPE FERNANDO MOUTINHO II";"eSF";"0";"0";"0";"0";"0";"0";"0,00"
"2591405";"UNIDADE BASICA DE SAUDE DRA LUCIA MARIA PEREIRA DE CARVALHO";"CENTRO DE SAUDE/UNIDADE BASICA";"0000441228";"EQ. LUCIA M. P. DE CARVALHO";"eSF";"0";"0";"0";"0";"0";"0";"0,00"
"2591553";"UNIDADE BASICA DE SAUDE RURAL MATO GRANDE";"CENTRO DE SAUDE/UNIDADE BASICA";"0000441244";"EQUIPE MATO GRANDE";"eSF";"0";"0";"0";"0";"0";"0";"0,00"
"6091458";"UNIDADE BASICA DE SAUDE DR HUMBERTO PEREIRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000441287";"EQUIPE DR.HUMBERTO PEREIRA";"eSF";"0";"0";"0";"0";"0";"0";"0,00"
"2559498";"UNIDADE BASICA DE SAUDE GASTAO DE OLIVEIRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000441201";"EQUIPE GASTAO DE OLIVEIRA I";"eSF";"0";"0";"0";"0";"0";"0";"0,00"
"6564070";"UNIDADE BASICA DE SAUDE ANGELICA ANACHE";"CENTRO DE SAUDE/UNIDADE BASICA";"0000441295";"EQUIPE ANGELICA ANACHE";"eSF";"0";"0";"0";"0";"0";"0";"0,00"
"7836546";"UNIDADE BASICA DE SAUDE RANULFO DE JESUS VASCONCELLOS";"CENTRO DE SAUDE/UNIDADE BASICA";"0001556916";"EQUIPE RANULFO VASCONCELLOS";"eSF";"0";"0";"0";"0";"0";"0";"0,00"
"2376105";"UNIDADE BASICA DE SAUDE BRENO DE MEDEIROS";"CENTRO DE SAUDE/UNIDADE BASICA";"0000441074";"EQUIPE BRENO II";"eSF";"0";"0";"0";"0";"0";"0";"0,00"
"2559498";"UNIDADE BASICA DE SAUDE GASTAO DE OLIVEIRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000441198";"EQUIPE GASTAO DE OLIVEIRA II";"eSF";"0";"0";"0";"0";"0";"0";"0,00"
"2603470";"UNIDADE BASICA DE SAUDE RURAL TAQUARAL";"CENTRO DE SAUDE/UNIDADE BASICA";"0000441252";"EQUIPE TAQUARAL";"eSF";"0";"0";"0";"0";"0";"0";"0,00"
"9191801";"UNIDADE BASICA DE SAUDE JARDIM DOS ESTADOS";"CENTRO DE SAUDE/UNIDADE BASICA";"0001547852";"EQUIPE JARDIM DOS ESTADOS";"eSF";"0";"0";"0";"0";"0";"0";"0,00"
"2558726";"UNIDADE BASICA DE SAUDE POPULAR VELHA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000441171";"EQUIPE POPULAR VELHA";"eSF";"0";"0";"0";"0";"0";"0";"0,00"
"2376121";"UNIDADE BASICA DE SAUDE PADRE ERNESTO SASSIDA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000441090";"EQUIPE ERNESTO SASSIDA";"eSF";"0";"0";"0";"0";"0";"0";"0,00"
"2591405";"UNIDADE BASICA DE SAUDE DRA LUCIA MARIA PEREIRA DE CARVALHO";"CENTRO DE SAUDE/UNIDADE BASICA";"0002452758";"ESF SIMONE PONTES MAIA FLORES";"eSF";"0";"0";"0";"0";"0";"0";"0,00"
"6590209";"UNIDADE BASICA DE SAUDE DR PEDRO PAULO DE BARROS";"CENTRO DE SAUDE/UNIDADE BASICA";"0000441317";"EQUIPE PEDRO PAULO DE BARROS I";"eSF";"0";"0";"0";"0";"0";"0";"0,00"
