Ministério da Saúde MS
Secretaria de Atenção Primária à Saúde SAPS
Sistema de Informação para a Atenção Primária à Saúde – SIAPS
Dado gerado em: 13 de outubro de 2025 - 09:33h
Relatório Qualidade - Visão por Competência

Dados Sócio Demográficos:
UF: MS
Município: 500570 / NAVIRAÍ

Filtro:
Indicador: Cuidado da pessoa com Hipertensão
Competência selecionada: AGO/25
Tipo de Equipe: eAP, eSF

CNES;ESTABELECIMENTO;TIPO DO ESTABELECIMENTO;INE;NOME DA EQUIPE;SIGLA DA EQUIPE;TER REALIZADO PELO MENOS 01 CONSULTA PRESENCIAL OU REMOTA POR PROFISSIONAL MÉDICA(O) OU ENFERMEIRA(O), NOS ÚLTIMOS 6 MESES;TER PELO MENOS 01 REGISTRO DE MEDIÇÃO DA PRESSÃO ARTERIAL, REALIZADO NOS ÚLTIMOS 6 MESES;TER PELO MENOS 02 VISITAS DOMICILIARES POR ACS/TACS, COM INTERVALO MÍNIMO DE 30 DIAS, REALIZADAS NOS ÚLTIMOS 12 MESES ;TER REALIZADO PELO MENOS 01 (UM) REGISTRO DE PESO E ALTURA, NOS ÚLTIMOS 12 MESES;SOMATÓRIO DE BOAS PRÁTICAS REALIZADAS PARA PESSOAS COM HIPERTENSÃO VINCULADAS À EQUIPE;NÚMERO TOTAL DE PESSOAS COM HIPERTENSÃO VINCULADAS À EQUIPE;PONTUAÇÃO
"2374285";"EAP PORTO CAIUA";"CENTRO DE SAUDE/UNIDADE BASICA";"0002255111";"EAP PORTO CAIUA";"eAP";"0";"0";"0";"0";"0";"0";"0,00"
"2892871";"EAP JUNCAL";"CENTRO DE SAUDE/UNIDADE BASICA";"0002255235";"EAP JUNCAL";"eAP";"0";"0";"0";"0";"0";"0";"0,00"
"5657512";"ESF SAO PEDRO";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443328";"ESF SAO PEDRO";"eSF";"0";"0";"0";"0";"0";"0";"0,00"
"2374250";"CENTRO DE SAUDE DR ANTONITO PIRES DE SOUZA";"CENTRO DE SAUDE/UNIDADE BASICA";"0002287595";"EAP ANTONITO PIRES 2";"eAP";"0";"0";"0";"0";"0";"0";"0,00"
"7018428";"ESF SOL NASCENTE";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443379";"ESF SOL NASCENTE";"eSF";"0";"0";"0";"0";"0";"0";"0,00"
"5966523";"ESF MARIA DE LOURDES DOS SANTOS";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443336";"ESF MARIA DE LOURDES";"eSF";"0";"0";"0";"0";"0";"0";"0,00"
"2374250";"CENTRO DE SAUDE DR ANTONITO PIRES DE SOUZA";"CENTRO DE SAUDE/UNIDADE BASICA";"0002246570";"EAP ANTONITO PIRES 1";"eAP";"0";"0";"0";"0";"0";"0";"0,00"
"5322804";"ESF RONAN MARQUES";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443301";"ESF RONAN MARQUES";"eSF";"0";"0";"0";"0";"0";"0";"0,00"
"3126013";"ESF BOA VISTA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443298";"ESF BOA VISTA";"eSF";"0";"0";"0";"0";"0";"0";"0,00"
"8005567";"ESF PARAISO I";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443387";"ESF PARAISO I";"eSF";"0";"0";"0";"0";"0";"0";"0,00"
"7545789";"ESF PARAISO II";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443395";"ESF PARAISO II";"eSF";"0";"0";"0";"0";"0";"0";"0,00"
"2374269";"ESF DR CARLOS VIDOTO";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443263";"ESF CARLOS VIDOTO";"eSF";"0";"0";"0";"0";"0";"0";"0,00"
"7001878";"ESF VILA NOVA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443360";"ESF VILA NOVA";"eSF";"0";"0";"0";"0";"0";"0";"0,00"
"2558688";"ESF PE ANTONIO KOREMAN";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443271";"ESF PADRE KOREMAN";"eSF";"0";"0";"0";"0";"0";"0";"0,00"
"9912835";"ESF IPE";"CENTRO DE SAUDE/UNIDADE BASICA";"0001687301";"ESF IPE";"eSF";"0";"0";"0";"0";"0";"0";"0,00"

Fonte: Sistema de Informação para a Atenção Primária à Saúde - SIAPS
Dado preliminar
