Ministério da Saúde MS
Secretaria de Atenção Primária à Saúde SAPS
Sistema de Informação para a Atenção Primária à Saúde – SIAPS
Dado gerado em: 13 de outubro de 2025 - 09:36h
Relatório Qualidade - Visão por Competência

Dados Sócio Demográficos:
UF: MS
Município: 500630 / PARANAÍBA

Filtro:
Indicador: Cuidado da pessoa com Hipertensão
Competência selecionada: AGO/25
Tipo de Equipe: eAP, eSF

CNES;ESTABELECIMENTO;TIPO DO ESTABELECIMENTO;INE;NOME DA EQUIPE;SIGLA DA EQUIPE;TER REALIZADO PELO MENOS 01 CONSULTA PRESENCIAL OU REMOTA POR PROFISSIONAL MÉDICA(O) OU ENFERMEIRA(O), NOS ÚLTIMOS 6 MESES;TER PELO MENOS 01 REGISTRO DE MEDIÇÃO DA PRESSÃO ARTERIAL, REALIZADO NOS ÚLTIMOS 6 MESES;TER PELO MENOS 02 VISITAS DOMICILIARES POR ACS/TACS, COM INTERVALO MÍNIMO DE 30 DIAS, REALIZADAS NOS ÚLTIMOS 12 MESES ;TER REALIZADO PELO MENOS 01 (UM) REGISTRO DE PESO E ALTURA, NOS ÚLTIMOS 12 MESES;SOMATÓRIO DE BOAS PRÁTICAS REALIZADAS PARA PESSOAS COM HIPERTENSÃO VINCULADAS À EQUIPE;NÚMERO TOTAL DE PESSOAS COM HIPERTENSÃO VINCULADAS À EQUIPE;PONTUAÇÃO
"3050343";"UNIDADE SAUDE DA FAMILIA DRA ANNA LYGIA M COELHO";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443794";"ESF DRA ANNA LYGIA M. COELHO";"eSF";"0";"0";"0";"0";"0";"0";"0,00"
"2536412";"UNIDADE SAUDE DA FAMILIA DANIEL MARTINS FERREIRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443719";"ESF DANIEL MARTINS FERREIRA";"eSF";"0";"0";"0";"0";"0";"0";"0,00"
"5927056";"UNIDADE SAUDE DA FAMILIA HILDA DA SILVA OLIVEIRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443808";"ESF HILDA DA SILVA OLIVEIRA";"eSF";"0";"0";"0";"0";"0";"0";"0,00"
"3050238";"UNIDADE SAUDE DA FAMILIA SANTANA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443727";"ESF SANTANA";"eSF";"0";"0";"0";"0";"0";"0";"0,00"
"3050270";"UNIDADE SAUDE DA FAMILIA SANTA LUCIA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443735";"ESF SANTA LUCIA";"eSF";"0";"0";"0";"0";"0";"0";"0,00"
"2536404";"UNIDADE SAUDE DA FAMILIA NOSSA SENHORA DE LOURDES";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443689";"ESF NOSSA SENHORA DE LOURDES";"eSF";"0";"0";"0";"0";"0";"0";"0,00"
"2536412";"UNIDADE SAUDE DA FAMILIA DANIEL MARTINS FERREIRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443700";"ESF DANIEL MARTINS FERREIRA";"eSF";"0";"0";"0";"0";"0";"0";"0,00"
"3050319";"UNIDADE SAUDE DA FAMILIA SANTO ANTONIO";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443778";"ESF SANTO ANTONIO";"eSF";"0";"0";"0";"0";"0";"0";"0,00"
"3050319";"UNIDADE SAUDE DA FAMILIA SANTO ANTONIO";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443786";"ESF SANTO ANTONIO";"eSF";"0";"0";"0";"0";"0";"0";"0,00"
"3050270";"UNIDADE SAUDE DA FAMILIA SANTA LUCIA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443743";"ESF SANTA LUCIA";"eSF";"0";"0";"0";"0";"0";"0";"0,00"
"3050270";"UNIDADE SAUDE DA FAMILIA SANTA LUCIA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443751";"ESF SANTA LUCIA";"eSF";"0";"0";"0";"0";"0";"0";"0,00"
"2536404";"UNIDADE SAUDE DA FAMILIA NOSSA SENHORA DE LOURDES";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443697";"ESF NOSSA SENHORA DE LOURDES";"eSF";"0";"0";"0";"0";"0";"0";"0,00"

Fonte: Sistema de Informação para a Atenção Primária à Saúde - SIAPS
Dado preliminar
