Ministério da Saúde MS
Secretaria de Atenção Primária à Saúde SAPS
Sistema de Informação para a Atenção Primária à Saúde – SIAPS
Dado gerado em: 13 de outubro de 2025 - 09:40h
Relatório Qualidade - Visão por Competência

Dados Sócio Demográficos:
UF: MS
Município: 500720 / RIO BRILHANTE

Filtro:
Indicador: Cuidado da pessoa com Hipertensão
Competência selecionada: AGO/25
Tipo de Equipe: eAP, eSF

CNES;ESTABELECIMENTO;TIPO DO ESTABELECIMENTO;INE;NOME DA EQUIPE;SIGLA DA EQUIPE;TER REALIZADO PELO MENOS 01 CONSULTA PRESENCIAL OU REMOTA POR PROFISSIONAL MÉDICA(O) OU ENFERMEIRA(O), NOS ÚLTIMOS 6 MESES;TER PELO MENOS 01 REGISTRO DE MEDIÇÃO DA PRESSÃO ARTERIAL, REALIZADO NOS ÚLTIMOS 6 MESES;TER PELO MENOS 02 VISITAS DOMICILIARES POR ACS/TACS, COM INTERVALO MÍNIMO DE 30 DIAS, REALIZADAS NOS ÚLTIMOS 12 MESES ;TER REALIZADO PELO MENOS 01 (UM) REGISTRO DE PESO E ALTURA, NOS ÚLTIMOS 12 MESES;SOMATÓRIO DE BOAS PRÁTICAS REALIZADAS PARA PESSOAS COM HIPERTENSÃO VINCULADAS À EQUIPE;NÚMERO TOTAL DE PESSOAS COM HIPERTENSÃO VINCULADAS À EQUIPE;PONTUAÇÃO
"7613687";"ESTRATEGIA SAUDE DA FAMILIA VILA FATIMA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000444200";"USF - VILA FATIMA";"eSF";"0";"0";"0";"0";"0";"0";"0,00"
"7323093";"ESTRATEGIA SAUDE DA FAMILIA BRILHANTE";"CENTRO DE SAUDE/UNIDADE BASICA";"0001484737";"ESF BRILHANTE";"eSF";"0";"0";"0";"0";"0";"0";"0,00"
"2804492";"CENTRO DE SAUDE RIO BRILHANTE";"UNIDADE MISTA";"0002310503";"CENTRO DE SAUDE 01";"eAP";"0";"0";"0";"0";"0";"0";"0,00"
"3085287";"ESTRATEGIA SAUDE DA FAMILIA FAUZER SALIBA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000444243";"USF - BENEDITO RONDON";"eSF";"0";"0";"0";"0";"0";"0";"0,00"
"3865657";"ESTRATEGIA SAUDE DA FAMILIA CARLOS VOLPE";"CENTRO DE SAUDE/UNIDADE BASICA";"0000444251";"USF - CENTRAL";"eSF";"0";"0";"0";"0";"0";"0";"0,00"
"2804506";"ESTRATEGIA SAUDE DA FAMILIA FRANCISCO AUGUSTO G DE MELLO";"CENTRO DE SAUDE/UNIDADE BASICA";"0000444197";"USF-DR.FRANCISCO A G DE MELLO";"eSF";"0";"0";"0";"0";"0";"0";"0,00"
"6727042";"ESTRATEGIA SAUDE DA FAMILIA CELINA MARTINS JALAD XIV";"CENTRO DE SAUDE/UNIDADE BASICA";"0000444294";"PRO MORADIA XIV";"eSF";"0";"0";"0";"0";"0";"0";"0,00"
"2804514";"ESTRATEGIA SAUDE DA FAMILIA JAIME MEDEIROS";"CENTRO DE SAUDE/UNIDADE BASICA";"0000444219";"USF - JAIME MEDEIROS";"eSF";"0";"0";"0";"0";"0";"0";"0,00"
"2804492";"CENTRO DE SAUDE RIO BRILHANTE";"UNIDADE MISTA";"0002326930";"CENTRO DE SAUDE 02";"eAP";"0";"0";"0";"0";"0";"0";"0,00"
"2804522";"ESTRATEGIA SAUDE DA FAMILIA RURAL";"CENTRO DE SAUDE/UNIDADE BASICA";"0000444227";"USF - RURAL";"eSF";"0";"0";"0";"0";"0";"0";"0,00"
"2804530";"ESTRATEGIA SAUDE DA FAMILIA ANTONIO APARECIDO BITENCOURT";"CENTRO DE SAUDE/UNIDADE BASICA";"0000444235";"USF - PRUDENCIO THOMAZ";"eSF";"0";"0";"0";"0";"0";"0";"0,00"
"4394542";"ESTRATEGIA SAUDE DA FAMILIA NOVA RIO BRILHANTE";"CENTRO DE SAUDE/UNIDADE BASICA";"0002406543";"NOVA RIO BRILHANTE";"eSF";"0";"0";"0";"0";"0";"0";"0,00"

Fonte: Sistema de Informação para a Atenção Primária à Saúde - SIAPS
Dado preliminar
