Ministério da Saúde MS
Secretaria de Atenção Primária à Saúde SAPS
Sistema de Informação para a Atenção Primária à Saúde – SIAPS
Dado gerado em: 13 de outubro de 2025 - 09:44h
Relatório Qualidade - Visão por Competência

Dados Sócio Demográficos:
UF: MS
Município: 500790 / SIDROLÂNDIA

Filtro:
Indicador: Cuidado da pessoa com Hipertensão
Competência selecionada: AGO/25
Tipo de Equipe: eAP, eSF

CNES;ESTABELECIMENTO;TIPO DO ESTABELECIMENTO;INE;NOME DA EQUIPE;SIGLA DA EQUIPE;TER REALIZADO PELO MENOS 01 CONSULTA PRESENCIAL OU REMOTA POR PROFISSIONAL MÉDICA(O) OU ENFERMEIRA(O), NOS ÚLTIMOS 6 MESES;TER PELO MENOS 01 REGISTRO DE MEDIÇÃO DA PRESSÃO ARTERIAL, REALIZADO NOS ÚLTIMOS 6 MESES;TER PELO MENOS 02 VISITAS DOMICILIARES POR ACS/TACS, COM INTERVALO MÍNIMO DE 30 DIAS, REALIZADAS NOS ÚLTIMOS 12 MESES ;TER REALIZADO PELO MENOS 01 (UM) REGISTRO DE PESO E ALTURA, NOS ÚLTIMOS 12 MESES;SOMATÓRIO DE BOAS PRÁTICAS REALIZADAS PARA PESSOAS COM HIPERTENSÃO VINCULADAS À EQUIPE;NÚMERO TOTAL DE PESSOAS COM HIPERTENSÃO VINCULADAS À EQUIPE;PONTUAÇÃO
"2370840";"SAUDE LAR DO DISTRITO DE QUEBRA COCO";"CENTRO DE SAUDE/UNIDADE BASICA";"0000444685";"SAUDE LAR DIST. QUEBRA COCO";"eSF";"0";"0";"0";"0";"0";"0";"0,00"
"2370875";"UNIDADE DE SAUDE DA FAMILIA DA VILA SAO BENTO";"CENTRO DE SAUDE/UNIDADE BASICA";"0000444693";"UNID. SAUDE FAMILIA V.S. BENT";"eSF";"0";"0";"0";"0";"0";"0";"0,00"
"5767776";"ESF OSCALINA NANTES";"CENTRO DE SAUDE/UNIDADE BASICA";"0001687670";"EQUIPE ESF MOVEL";"eSF";"0";"0";"0";"0";"0";"0";"0,00"
"5121728";"ESF CAPAO BONITO II";"CENTRO DE SAUDE/UNIDADE BASICA";"0000444782";"PSF DO ASSENT. C. BONITO II";"eSF";"0";"0";"0";"0";"0";"0";"0,00"
"5134609";"ESF CLEIDE PIRAN";"CENTRO DE SAUDE/UNIDADE BASICA";"0000444790";"PSF CLEIDE PIRAN";"eSF";"0";"0";"0";"0";"0";"0";"0,00"
"2370883";"CENTRO DE SAUDE CENTRAL DE SIDROLANDIA";"CENTRO DE SAUDE/UNIDADE BASICA";"0002323494";"ESF RURAL";"eSF";"0";"0";"0";"0";"0";"0";"0,00"
"7717725";"UNIDADE DE SAUDE DIVA NANTES";"CENTRO DE SAUDE/UNIDADE BASICA";"0000444758";"ESF DIVA NANTES";"eSF";"0";"0";"0";"0";"0";"0";"0,00"
"2370883";"CENTRO DE SAUDE CENTRAL DE SIDROLANDIA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000444715";"ESF CENTRAL";"eSF";"0";"0";"0";"0";"0";"0";"0,00"
"5767776";"ESF OSCALINA NANTES";"CENTRO DE SAUDE/UNIDADE BASICA";"0000444812";"ESF DO ASSENT. ELDORADO II";"eSF";"0";"0";"0";"0";"0";"0";"0,00"
"2370832";"UNIDADE SAUDE FAMILIA LAR DA VILA JANDAIA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000444677";"UNIDADE LAR DA VILA JANDAIA";"eSF";"0";"0";"0";"0";"0";"0";"0,00"
"2676532";"ESF MALVINAS";"CENTRO DE SAUDE/UNIDADE BASICA";"0000444766";"UNID DE PSF DA VILA MALVINAS";"eSF";"0";"0";"0";"0";"0";"0";"0,00"
"3959198";"ESF CASCATINHA II";"CENTRO DE SAUDE/UNIDADE BASICA";"0000444774";"PSF DO JARDIM CASCATINHA II";"eSF";"0";"0";"0";"0";"0";"0";"0,00"
"2591421";"SAUDE LAR CAPAO BONITO I";"CENTRO DE SAUDE/UNIDADE BASICA";"0000444731";"SAUDE LAR DO CAPAO BONITO I";"eSF";"0";"0";"0";"0";"0";"0";"0,00"

Fonte: Sistema de Informação para a Atenção Primária à Saúde - SIAPS
Dado preliminar
