Ministério da Saúde MS
Secretaria de Atenção Primária à Saúde SAPS
Sistema de Informação para a Atenção Primária à Saúde – SIAPS
Dado gerado em: 13 de outubro de 2025 - 09:46h
Relatório Qualidade - Visão por Competência

Dados Sócio Demográficos:
UF: MS
Município: 500830 / TRÊS LAGOAS

Filtro:
Indicador: Cuidado da pessoa com Hipertensão
Competência selecionada: AGO/25
Tipo de Equipe: eAP, eSF

CNES;ESTABELECIMENTO;TIPO DO ESTABELECIMENTO;INE;NOME DA EQUIPE;SIGLA DA EQUIPE;TER REALIZADO PELO MENOS 01 CONSULTA PRESENCIAL OU REMOTA POR PROFISSIONAL MÉDICA(O) OU ENFERMEIRA(O), NOS ÚLTIMOS 6 MESES;TER PELO MENOS 01 REGISTRO DE MEDIÇÃO DA PRESSÃO ARTERIAL, REALIZADO NOS ÚLTIMOS 6 MESES;TER PELO MENOS 02 VISITAS DOMICILIARES POR ACS/TACS, COM INTERVALO MÍNIMO DE 30 DIAS, REALIZADAS NOS ÚLTIMOS 12 MESES ;TER REALIZADO PELO MENOS 01 (UM) REGISTRO DE PESO E ALTURA, NOS ÚLTIMOS 12 MESES;SOMATÓRIO DE BOAS PRÁTICAS REALIZADAS PARA PESSOAS COM HIPERTENSÃO VINCULADAS À EQUIPE;NÚMERO TOTAL DE PESSOAS COM HIPERTENSÃO VINCULADAS À EQUIPE;PONTUAÇÃO
"2757079";"UNIDADE DE SAUDE DA FAMILIA JOEL NEVES SILVA";"CENTRO DE SAUDE/UNIDADE BASICA";"0002371138";"ESF JOEL NEVES 3";"eSF";"0";"0";"0";"0";"0";"0";"0,00"
"2757095";"UNIDADE DE SAUDE DA FAMILIA MIGUEL NUNES";"CENTRO DE SAUDE/UNIDADE BASICA";"0001637231";"ESF MIGUEL NUNES II";"eSF";"0";"0";"0";"0";"0";"0";"0,00"
"2757168";"UNIDADE DE SAUDE DA FAMILIA VILA PILOTO ADRIANA CRISTINA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001691694";"ESF VILA PILOTO III";"eSF";"0";"0";"0";"0";"0";"0";"0,00"
"2757079";"UNIDADE DE SAUDE DA FAMILIA JOEL NEVES SILVA";"CENTRO DE SAUDE/UNIDADE BASICA";"0002172194";"EAP JOEL NEVES I";"eAP";"0";"0";"0";"0";"0";"0";"0,00"
"2757079";"UNIDADE DE SAUDE DA FAMILIA JOEL NEVES SILVA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001691414";"ESF JOEL NEVES I";"eSF";"0";"0";"0";"0";"0";"0";"0,00"
"2757168";"UNIDADE DE SAUDE DA FAMILIA VILA PILOTO ADRIANA CRISTINA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000445207";"PSF VILA PILOTO 1";"eSF";"0";"0";"0";"0";"0";"0";"0,00"
"2757044";"UNIDADE BASICA DE SAUDE ALTAIR CABRAL TRANIM";"CENTRO DE SAUDE/UNIDADE BASICA";"0002172216";"EAP ALTAIR CABRAL TRANIM I";"eAP";"0";"0";"0";"0";"0";"0";"0,00"
"2757117";"UNIDADE DE SAUDE DA FAMILIA SANTA RITA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001691716";"ESF SANTA RITA III";"eSF";"0";"0";"0";"0";"0";"0";"0,00"
"2757060";"UNIDADE DE SAUDE DA FAMILIA INTERLAGOS GABRIEL MARQUES FERNA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000445029";"ESF INTERLAGOS II";"eSF";"0";"0";"0";"0";"0";"0";"0,00"
"2757117";"UNIDADE DE SAUDE DA FAMILIA SANTA RITA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000445126";"PSF SANTA RITA I";"eSF";"0";"0";"0";"0";"0";"0";"0,00"
"2757060";"UNIDADE DE SAUDE DA FAMILIA INTERLAGOS GABRIEL MARQUES FERNA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000445037";"ESF INTERLAGOS I";"eSF";"0";"0";"0";"0";"0";"0";"0,00"
"2757133";"UNIDADE DE SAUDE DA FAMILIA VILA ALEGRE";"CENTRO DE SAUDE/UNIDADE BASICA";"0001629573";"USF VILA ALEGRE II";"eSF";"0";"0";"0";"0";"0";"0";"0,00"
"2757125";"UNIDADE DE SAUDE DA FAMILIA SANTO ANDRE";"CENTRO DE SAUDE/UNIDADE BASICA";"0000445134";"ESF SANTO ANDRE I";"eSF";"0";"0";"0";"0";"0";"0";"0,00"
"9615946";"UNIDADE DE SAUDE DA FAMILIA NOVO OESTE PASTOR MARCOS ROGERIO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001684434";"ESF NOVO OESTE II";"eSF";"0";"0";"0";"0";"0";"0";"0,00"
"6343864";"UNIDADE DE SAUDE DA FAMILIA JARDIM MARISTELA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000445231";"ESF JARDIM MARISTELA II";"eSF";"0";"0";"0";"0";"0";"0";"0,00"
"2757052";"UNIDADE DE SAUDE DA FAMILIA EURIDICE CHAGAS CRUZ";"CENTRO DE SAUDE/UNIDADE BASICA";"0000445010";"ESF EURIDICE CHAGAS CRUZ I";"eSF";"0";"0";"0";"0";"0";"0";"0,00"
"2757087";"UNIDADE DE SAUDE DA FAMILIA JUPIA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000445053";"ESF RURAL JUPIA";"eSF";"0";"0";"0";"0";"0";"0";"0,00"
"9390693";"UNIDADE DE SAUDE DA FAMILIA JARDIM ATENAS BISPO DOM MOREIRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001685465";"ESF JARDIM ATENAS II";"eSF";"0";"0";"0";"0";"0";"0";"0,00"
"2757109";"UNIDADE DE SAUDE DA FAMILIA PARANAPUNGA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000445096";"ESF PARANAPUNGA I";"eSF";"0";"0";"0";"0";"0";"0";"0,00"
"2757133";"UNIDADE DE SAUDE DA FAMILIA VILA ALEGRE";"CENTRO DE SAUDE/UNIDADE BASICA";"0000445150";"USF VILA ALEGRE I";"eSF";"0";"0";"0";"0";"0";"0";"0,00"
"2757168";"UNIDADE DE SAUDE DA FAMILIA VILA PILOTO ADRIANA CRISTINA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000445193";"VILA PILOTO 2";"eSF";"0";"0";"0";"0";"0";"0";"0,00"
"9543333";"UNIDADE DE SAUDE DA FAMILIA NOVA TRES LAGOAS";"CENTRO DE SAUDE/UNIDADE BASICA";"0002302969";"ESF NOVA TRES LAGOAS 2";"eSF";"0";"0";"0";"0";"0";"0";"0,00"
"2757079";"UNIDADE DE SAUDE DA FAMILIA JOEL NEVES SILVA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001691422";"ESF JOEL NEVES II";"eSF";"0";"0";"0";"0";"0";"0";"0,00"
"9390693";"UNIDADE DE SAUDE DA FAMILIA JARDIM ATENAS BISPO DOM MOREIRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001639587";"ESF JARDIM ATENAS I";"eSF";"0";"0";"0";"0";"0";"0";"0,00"
"2757133";"UNIDADE DE SAUDE DA FAMILIA VILA ALEGRE";"CENTRO DE SAUDE/UNIDADE BASICA";"0002172224";"EAP VILA ALEGRE I";"eAP";"0";"0";"0";"0";"0";"0";"0,00"
"2757117";"UNIDADE DE SAUDE DA FAMILIA SANTA RITA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000445118";"PSF SANTA RITA II";"eSF";"0";"0";"0";"0";"0";"0";"0,00"
"9615946";"UNIDADE DE SAUDE DA FAMILIA NOVO OESTE PASTOR MARCOS ROGERIO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001655841";"ESF NOVO OESTE I";"eSF";"0";"0";"0";"0";"0";"0";"0,00"
"2757141";"UNIDADE DE SAUDE DA FAMILIA VILA HARO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001691406";"ESF VILA HARO III";"eSF";"0";"0";"0";"0";"0";"0";"0,00"
"2757125";"UNIDADE DE SAUDE DA FAMILIA SANTO ANDRE";"CENTRO DE SAUDE/UNIDADE BASICA";"0002452995";"ESF SANTO ANDRE III";"eSF";"0";"0";"0";"0";"0";"0";"0,00"
"6343864";"UNIDADE DE SAUDE DA FAMILIA JARDIM MARISTELA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000445258";"ESF JARDIM MARISTELA I";"eSF";"0";"0";"0";"0";"0";"0";"0,00"
"3453766";"USF CHACARA ELDORADO";"CENTRO DE SAUDE/UNIDADE BASICA";"0002308118";"ESF CHACARA ELDORADO II";"eSF";"0";"0";"0";"0";"0";"0";"0,00"
"2757141";"UNIDADE DE SAUDE DA FAMILIA VILA HARO";"CENTRO DE SAUDE/UNIDADE BASICA";"0000445169";"ESF VILA HARO I";"eSF";"0";"0";"0";"0";"0";"0";"0,00"
"2757109";"UNIDADE DE SAUDE DA FAMILIA PARANAPUNGA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001691708";"ESF PARANAPUNGA III";"eSF";"0";"0";"0";"0";"0";"0";"0,00"
"9543333";"UNIDADE DE SAUDE DA FAMILIA NOVA TRES LAGOAS";"CENTRO DE SAUDE/UNIDADE BASICA";"0000445045";"ESF NOVA TRES LAGOAS I";"eSF";"0";"0";"0";"0";"0";"0";"0,00"
"2757109";"UNIDADE DE SAUDE DA FAMILIA PARANAPUNGA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000445088";"ESF PARANAPUNGA II";"eSF";"0";"0";"0";"0";"0";"0";"0,00"
"2757125";"UNIDADE DE SAUDE DA FAMILIA SANTO ANDRE";"CENTRO DE SAUDE/UNIDADE BASICA";"0000445142";"ESF SANTO ANDRE II";"eSF";"0";"0";"0";"0";"0";"0";"0,00"
"3453766";"USF CHACARA ELDORADO";"CENTRO DE SAUDE/UNIDADE BASICA";"0002283093";"ESF CHACARA ELDORADO I";"eSF";"0";"0";"0";"0";"0";"0";"0,00"
"2757141";"UNIDADE DE SAUDE DA FAMILIA VILA HARO";"CENTRO DE SAUDE/UNIDADE BASICA";"0000445185";"ESF VILA HARO II";"eSF";"0";"0";"0";"0";"0";"0";"0,00"
"2757060";"UNIDADE DE SAUDE DA FAMILIA INTERLAGOS GABRIEL MARQUES FERNA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001685597";"ESF INTERLAGOS III";"eSF";"0";"0";"0";"0";"0";"0";"0,00"
"2757052";"UNIDADE DE SAUDE DA FAMILIA EURIDICE CHAGAS CRUZ";"CENTRO DE SAUDE/UNIDADE BASICA";"0001629581";"ESF EURIDICE CHAGAS CRUZ II";"eSF";"0";"0";"0";"0";"0";"0";"0,00"
"2757095";"UNIDADE DE SAUDE DA FAMILIA MIGUEL NUNES";"CENTRO DE SAUDE/UNIDADE BASICA";"0000445061";"ESF MIGUEL NUNES I";"eSF";"0";"0";"0";"0";"0";"0";"0,00"
"2757095";"UNIDADE DE SAUDE DA FAMILIA MIGUEL NUNES";"CENTRO DE SAUDE/UNIDADE BASICA";"0002374978";"ESF MIGUEL NUNES III";"eSF";"0";"0";"0";"0";"0";"0";"0,00"

Fonte: Sistema de Informação para a Atenção Primária à Saúde - SIAPS
Dado preliminar
