Ministério da Saúde MS
Secretaria de Atenção Primária à Saúde SAPS
Sistema de Informação para a Atenção Primária à Saúde – SIAPS
Dado gerado em: 10 de outubro de 2025 - 11:20h
Relatório Qualidade - Visão por Competência

Dados Sócio Demográficos:
UF: MS
Município: 500110 / AQUIDAUANA

Filtro:
Indicador: Mais Acesso à Atenção Primária à Saúde
Competência selecionada: AGO/25
Tipo de Equipe: eAP, eSF

CNES;ESTABELECIMENTO;TIPO DO ESTABELECIMENTO;INE;NOME DA EQUIPE;SIGLA DA EQUIPE;NÚMERO TOTAL DE ATENDIMENTOS POR DEMANDA PROGRAMADA;NÚMERO TOTAL DE ATENDIMENTOS POR TODOS OS TIPOS DE DEMANDAS (ESPONTÂNEAS E PROGRAMADAS);PONTUAÇÃO
"6315356";"ESTRATEGIA DE SAUDE DA FAMILIA SAO PEDRO";"CENTRO DE SAUDE/UNIDADE BASICA";"0000438308";"VILA SAO PEDRO/OVIDIO COSTA 3";"eSF";"2056";"4425";"46,46"
"0467499";"UNIDADE DE SAUDE DA FAMILIA DRA CELIA VAZ DE CAMPOS TRINDADE";"CENTRO DE SAUDE/UNIDADE BASICA";"0002150212";"DRA CELIA VAZ TRINDADE";"eSF";"2238";"5005";"44,72"
"2659670";"UNIDADE DE SAUDE DA FAMILIA CIDADE NOVA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000438219";"TIAGO BOGADO FIGUEIREDO";"eSF";"2399";"5941";"40,38"
"2360225";"ESTRATEGIA DE SAUDE DA FAMILIA CAMISAO";"CENTRO DE SAUDE/UNIDADE BASICA";"0000438170";"CAMISAO/PIRAPUTANGA/QUILOMBOLA";"eSF";"3395";"3965";"85,62"
"2659662";"UNIDADE DE SAUDE DA FAMILIA SANTA TEREZINHA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000438197";"JOSE VORIA";"eSF";"2713";"7368";"36,82"
"2360209";"UNIDADE DE SAUDE DA FAMILIA ELCIRIA RITA BRANDES GARCIA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000438154";"V.40-S.FRANCISCO-S.CRISTOVAO";"eSF";"1389";"5024";"27,65"
"5601010";"UNIDADE DE SAUDE DA FAMILIA BAIRRO ALTO";"CENTRO DE SAUDE/UNIDADE BASICA";"0000438286";"PROF JOAO JORGE CARNEIRO";"eSF";"2187";"4506";"48,54"
"2360217";"UNIDADE DE SAUDE DA FAMILIA VILA PINHEIRO";"CENTRO DE SAUDE/UNIDADE BASICA";"0000438162";"VILA PINHEIRO - VILA ELIANE";"eSF";"1525";"3240";"47,07"
"6310834";"ESTRATEGIA DE SAUDE DA FAMILIA CIPOLANDIA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000438294";"CIPOLANDIA/INDAIA";"eSF";"2275";"3756";"60,57"
"5601010";"UNIDADE DE SAUDE DA FAMILIA BAIRRO ALTO";"CENTRO DE SAUDE/UNIDADE BASICA";"0000438251";"DR. CANDIDO PINHEIRO FILHO";"eSF";"1924";"4695";"40,98"
"7525877";"UNIDADE DE SAUDE DA FAMILIA MODESTO PEREIRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001536605";"TAUNAY/MORRINHO";"eSF";"1146";"2860";"40,07"
"3240053";"ESTRATEGIA DE SAUDE DA FAMILIA VILA TRINDADE";"CENTRO DE SAUDE/UNIDADE BASICA";"0000438235";"V.TRINDADE- PARAISO-COL.BURITI";"eSF";"1254";"4676";"26,82"
"3240061";"ESTRATEGIA DE SAUDE DA FAMILIA GUANANDY";"CENTRO DE SAUDE/UNIDADE BASICA";"0000438243";"GUANANDY E RIBEIRINHA";"eSF";"1467";"5576";"26,31"
"2659662";"UNIDADE DE SAUDE DA FAMILIA SANTA TEREZINHA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000438189";"DR. CLAUDIO FERNANDO STELLA";"eSF";"2903";"6839";"42,45"
"2659670";"UNIDADE DE SAUDE DA FAMILIA CIDADE NOVA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000438200";"JOAO ANDRE MADSEN";"eSF";"2091";"6269";"33,35"
"2659689";"ESTRATEGIA DE SAUDE DA FAMILIA NOVA AQUIDAUANA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000438227";"NOVA AQUIDAUANA";"eSF";"1785";"5087";"35,09"
"7065817";"ESTRATEGIA DE SAUDE DA FAMILIA IZAURA BAES";"CENTRO DE SAUDE/UNIDADE BASICA";"0000438324";"NOVA AQUIDAUANA II";"eSF";"1693";"4920";"34,41"

Fonte: Sistema de Informação para a Atenção Primária à Saúde - SIAPS
Dado preliminar
