Ministério da Saúde MS
Secretaria de Atenção Primária à Saúde SAPS
Sistema de Informação para a Atenção Primária à Saúde – SIAPS
Dado gerado em: 10 de outubro de 2025 - 11:25h
Relatório Qualidade - Visão por Competência

Dados Sócio Demográficos:
UF: MS
Município: 500320 / CORUMBÁ

Filtro:
Indicador: Mais Acesso à Atenção Primária à Saúde
Competência selecionada: AGO/25
Tipo de Equipe: eAP, eSF

CNES;ESTABELECIMENTO;TIPO DO ESTABELECIMENTO;INE;NOME DA EQUIPE;SIGLA DA EQUIPE;NÚMERO TOTAL DE ATENDIMENTOS POR DEMANDA PROGRAMADA;NÚMERO TOTAL DE ATENDIMENTOS POR TODOS OS TIPOS DE DEMANDAS (ESPONTÂNEAS E PROGRAMADAS);PONTUAÇÃO
"7573170";"UNIDADE BASICA DE SAUDE DR ENIO CUNHA II";"CENTRO DE SAUDE/UNIDADE BASICA";"0001547909";"EQUIPE ENIO CUNHA II";"eSF";"1822";"3273";"55,67"
"6585426";"UNIDADE BASICA DE SAUDE LUIS FRAGELLI";"CENTRO DE SAUDE/UNIDADE BASICA";"0000441309";"EQUIPE LUIZ FRAGELLI";"eSF";"2640";"4584";"57,59"
"2376148";"UNIDADE BASICA DE SAUDE FERNANDO MOUTINHO";"CENTRO DE SAUDE/UNIDADE BASICA";"0000441104";"EQUIPE FERNANDO MOUTINHO II";"eSF";"431";"4793";"8,99"
"2591405";"UNIDADE BASICA DE SAUDE DRA LUCIA MARIA PEREIRA DE CARVALHO";"CENTRO DE SAUDE/UNIDADE BASICA";"0000441228";"EQ. LUCIA M. P. DE CARVALHO";"eSF";"752";"1777";"42,32"
"2591553";"UNIDADE BASICA DE SAUDE RURAL MATO GRANDE";"CENTRO DE SAUDE/UNIDADE BASICA";"0000441244";"EQUIPE MATO GRANDE";"eSF";"5";"2336";"0,21"
"6091458";"UNIDADE BASICA DE SAUDE DR HUMBERTO PEREIRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000441287";"EQUIPE DR.HUMBERTO PEREIRA";"eSF";"222";"3655";"6,07"
"2559498";"UNIDADE BASICA DE SAUDE GASTAO DE OLIVEIRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000441201";"EQUIPE GASTAO DE OLIVEIRA I";"eSF";"153";"1289";"11,87"
"6564070";"UNIDADE BASICA DE SAUDE ANGELICA ANACHE";"CENTRO DE SAUDE/UNIDADE BASICA";"0000441295";"EQUIPE ANGELICA ANACHE";"eSF";"1408";"4122";"34,16"
"7836546";"UNIDADE BASICA DE SAUDE RANULFO DE JESUS VASCONCELLOS";"CENTRO DE SAUDE/UNIDADE BASICA";"0001556916";"EQUIPE RANULFO VASCONCELLOS";"eSF";"2105";"3609";"58,33"
"2376105";"UNIDADE BASICA DE SAUDE BRENO DE MEDEIROS";"CENTRO DE SAUDE/UNIDADE BASICA";"0000441074";"EQUIPE BRENO II";"eSF";"1713";"4277";"40,05"
"2559498";"UNIDADE BASICA DE SAUDE GASTAO DE OLIVEIRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000441198";"EQUIPE GASTAO DE OLIVEIRA II";"eSF";"1710";"3845";"44,47"
"2603470";"UNIDADE BASICA DE SAUDE RURAL TAQUARAL";"CENTRO DE SAUDE/UNIDADE BASICA";"0000441252";"EQUIPE TAQUARAL";"eSF";"0";"795";"0,00"
