Ministério da Saúde MS
Secretaria de Atenção Primária à Saúde SAPS
Sistema de Informação para a Atenção Primária à Saúde – SIAPS
Dado gerado em: 10 de outubro de 2025 - 11:36h
Relatório Qualidade - Visão por Competência

Dados Sócio Demográficos:
UF: MS
Município: 500620 / NOVA ANDRADINA

Filtro:
Indicador: Mais Acesso à Atenção Primária à Saúde
Competência selecionada: AGO/25
Tipo de Equipe: eAP, eSF

CNES;ESTABELECIMENTO;TIPO DO ESTABELECIMENTO;INE;NOME DA EQUIPE;SIGLA DA EQUIPE;NÚMERO TOTAL DE ATENDIMENTOS POR DEMANDA PROGRAMADA;NÚMERO TOTAL DE ATENDIMENTOS POR TODOS OS TIPOS DE DEMANDAS (ESPONTÂNEAS E PROGRAMADAS);PONTUAÇÃO
"3881032";"ESF CENTRO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001711717";"SAUDE NA HORA II";"eSF";"3909";"8484";"46,07"
"3881032";"ESF CENTRO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001711725";"SAUDE NA HORA III";"eSF";"2970";"7282";"40,79"
"6669239";"ESF VILA BEATRIZ";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443638";"ESF - VILA BEATRIZ";"eSF";"2108";"7685";"27,43"
"3188957";"ESF HORTO FLORESTAL";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443603";"ESF - HORTO FLORESTAL";"eSF";"2494";"7629";"32,69"
"2612038";"ESF CENTRO EDUCACIONAL";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443549";"ESF - CENTRO EDUCACIONAL";"eSF";"3231";"7416";"43,57"
"2612046";"ESF SAO VICENTE";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443557";"ESF - SAO VICENTE";"eSF";"1999";"7554";"26,46"
"0187941";"ESF UNIVERSITARIO";"CENTRO DE SAUDE/UNIDADE BASICA";"0002022532";"ESF - UNIVERSITARIO";"eSF";"2197";"7829";"28,06"
"3881032";"ESF CENTRO";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443611";"SAUDE NA HORA I";"eSF";"3596";"8117";"44,30"
"2612054";"ESF NOVA CASA VERDE";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443565";"ESF - NOVA CASA VERDE";"eSF";"513";"6422";"7,99"
"2612054";"ESF NOVA CASA VERDE";"CENTRO DE SAUDE/UNIDADE BASICA";"0002212714";"EAP - NOVA CASA VERDE";"eAP";"555";"10122";"5,48"
"2612062";"ESF IRMAN RIBEIRO";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443573";"ESF - IRMAN RIBEIRO";"eSF";"2797";"8549";"32,72"
"2600374";"ESF MORADA DO SOL";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443530";"ESF - MORADA DO SOL";"eSF";"2680";"10363";"25,86"
"4388178";"EAP CEM";"CENTRO DE SAUDE/UNIDADE BASICA";"0002313715";"EAP - CEM";"eAP";"35";"2241";"1,56"
"2612070";"ESF VILA OPERARIA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443581";"ESF - VILA OPERARIA";"eSF";"1531";"8441";"18,14"
"2600374";"ESF MORADA DO SOL";"CENTRO DE SAUDE/UNIDADE BASICA";"0002439220";"ESF - MORADA DO SOL - EQUIPE 2";"eSF";"2701";"9180";"29,42"

Fonte: Sistema de Informação para a Atenção Primária à Saúde - SIAPS
Dado preliminar
