Ministério da Saúde MS
Secretaria de Atenção Primária à Saúde SAPS
Sistema de Informação para a Atenção Primária à Saúde – SIAPS
Dado gerado em: 10 de outubro de 2025 - 11:38h
Relatório Qualidade - Visão por Competência

Dados Sócio Demográficos:
UF: MS
Município: 500660 / PONTA PORÃ

Filtro:
Indicador: Mais Acesso à Atenção Primária à Saúde
Competência selecionada: AGO/25
Tipo de Equipe: eAP, eSF

CNES;ESTABELECIMENTO;TIPO DO ESTABELECIMENTO;INE;NOME DA EQUIPE;SIGLA DA EQUIPE;NÚMERO TOTAL DE ATENDIMENTOS POR DEMANDA PROGRAMADA;NÚMERO TOTAL DE ATENDIMENTOS POR TODOS OS TIPOS DE DEMANDAS (ESPONTÂNEAS E PROGRAMADAS);PONTUAÇÃO
"9003479";"UNIDADE BASICA DE SAUDE ZENEIDA TERRA DE SIQUEIRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443948";"ESF - JARDIM IVONE";"eSF";"1521";"10033";"15,16"
"2361000";"UNIDADE BASICA DE SAUDE JOSE BATAGLIN";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443905";"ESF -POSTO SANGA PUITA";"eSF";"666";"26920";"2,47"
"2599465";"UNIDADE BASICA DE SAUDE LEONOR COELHO BATISTA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443913";"ESF - LEONOR COELHO BATISTA";"eSF";"569";"13847";"4,11"
"0998400";"UNIDADE BASICA DE SAUDE DR RODRIGO LIMA VILHANUEVA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001635360";"ESF - KAMEL SAAD";"eSF";"1730";"13807";"12,53"
"3830497";"UNIDADE BASICA DE SAUDE JOSE ALBERTO FERREIRA NEVES";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443999";"ESF - JARDIM ALEGRETE";"eSF";"1601";"16211";"9,88"
"2651556";"UNIDADE BASICA DE SAUDE LAR GERALDO GARCIA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443956";"ESF-GERALDO GARCIA I";"eSF";"162";"8393";"1,93"
"5683238";"UNIDADE BASICA DE SAUDE ROSANGELA PEREIRA SILVA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443964";"ESF-ITINERANTE";"eSF";"296";"5501";"5,38"
"9387919";"UNIDADE BASICA DE SAUDE DRA NISLAINE COLMAN BENITES";"CENTRO DE SAUDE/UNIDADE BASICA";"0001638343";"ESF - VILA RENO";"eSF";"170";"9451";"1,80"
"2651521";"UNIDADE BASICA DE SAUDE NELSON MACHADO DIAS";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443921";"ESF-IPE II";"eSF";"2286";"13505";"16,93"
"7281986";"UNIDADE BASICA DE SAUDE JOSE ALBERTO VIEIRA BOCH";"CENTRO DE SAUDE/UNIDADE BASICA";"0001512390";"ESF - JARDIM ESTORIL";"eSF";"218";"11767";"1,85"
"9075062";"UNIDADE BASICA DE SAUDE ENFERMEIRA ELIZA MEDINA BARRETO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001635379";"EQUIPE SAO RAFAEL";"eSF";"2498";"10517";"23,75"
"9042849";"UNIDADE BASICA DE SAUDE DR JOSE ISSA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443972";"ESF- JOSE ISSA";"eSF";"654";"9215";"7,10"
"2651572";"UNIDADE BASICA DE SAUDE NEUSA MARIA PEREIRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443980";"ESF-JARDIM VITORIA";"eSF";"2019";"10313";"19,58"
"5971918";"UNIDADE BASICA DE SAUDE ANDERSON LUIZ MONTEIRO GODOY";"CENTRO DE SAUDE/UNIDADE BASICA";"0000444057";"ESF - VILA AUREA";"eSF";"1476";"17089";"8,64"
"2651564";"CENTRO INTEGRADO DE SAUDE CIS TERTULIANA DE FREITAS";"CENTRO DE SAUDE/UNIDADE BASICA";"0002225921";"ESF - CIS I";"eSF";"284";"18474";"1,54"
"5683238";"UNIDADE BASICA DE SAUDE ROSANGELA PEREIRA SILVA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000444014";"ESF- ITAMARATI";"eSF";"1274";"20257";"6,29"
"5870178";"UNIDADE BASICA DE SAUDE DR NERY ALVES DE AZAMBUJA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000444022";"ESF - MARAMBAIA";"eSF";"1245";"7876";"15,81"
"5911192";"UNIDADE BASICA DE SAUDE DR PEDRO MONTEIRO DE ALMEIDA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000444030";"ESF- JARDIM AEROPORTO";"eSF";"1112";"10888";"10,21"
"2361019";"UNIDADE BASICA DE SAUDE AUDELINA DE CAMPOS";"CENTRO DE SAUDE/UNIDADE BASICA";"0001534106";"EQUIPE CABECEIRA DO APA";"eSF";"107";"9347";"1,14"
"6384587";"UNIDADE BASICA DE SAUDE DR CARLOS AUGUSTO PISSINI SOBREIRO";"CENTRO DE SAUDE/UNIDADE BASICA";"0000444081";"CARLOS AUGUSTO PISSINI";"eSF";"162";"8324";"1,95"
"2651564";"CENTRO INTEGRADO DE SAUDE CIS TERTULIANA DE FREITAS";"CENTRO DE SAUDE/UNIDADE BASICA";"0002225948";"ESF - CIS II";"eSF";"184";"11543";"1,59"

Fonte: Sistema de Informação para a Atenção Primária à Saúde - SIAPS
Dado preliminar
