Ministério da Saúde MS
Secretaria de Atenção Primária à Saúde SAPS
Sistema de Informação para a Atenção Primária à Saúde – SIAPS
Dado gerado em: 13 de outubro de 2025 - 10:21h
Relatório Qualidade - Visão por Competência

Dados Sócio Demográficos:
UF: MS
Município: 500270 / CAMPO GRANDE

Filtro:
Indicador: Cuidado integral da Pessoa Idosa
Competência selecionada: AGO/25
Tipo de Equipe: eAP, eSF

CNES;ESTABELECIMENTO;TIPO DO ESTABELECIMENTO;INE;NOME DA EQUIPE;SIGLA DA EQUIPE;TER REGISTRO DE PELO MENOS 01 CONSULTA PRESENCIAL OU REMOTA POR PROFISSIONAL MÉDICA(O) OU ENFERMEIRA(O) REALIZADA NOS ÚLTIMOS 12 MESES;TER PELO MENOS 02 REGISTROS SIMULTÂNEOS DE PESO E ALTURA PARA AVALIAÇÃO ANTROPOMÉTRICA NOS ÚLTIMOS 12 MESES;TER REGISTRO DE PELO MENOS 02 VISITAS DOMICILIARES POR ACS/TACS, COM INTERVALO MÍNIMO DE 30 DIAS, REALIZADAS NOS ÚLTIMOS 12 MESES AÇÃO;TER REGISTRO DE 1 DOSE DA VACINA CONTRA INFLUENZA REALIZADA NOS ÚLTIMOS 12 MESES;SOMATÓRIO DE BOAS PRÁTICAS REALIZADAS PARA PESSOAS IDOSAS VINCULADAS À EQUIPE;NÚMERO TOTAL DE PESSOAS IDOSAS VINCULADAS À EQUIPE;PONTUAÇÃO
"0010324";"SESAU USF ESTRELA DO SUL DR WILLIAN MACKSOUD";"CENTRO DE SAUDE/UNIDADE BASICA";"0000439428";"EQUIPE LIRIO";"eSF";"375";"192";"539";"377";"37075";"712";"52,10"
"7108052";"SESAU USF JARDIM ANTARTICA DR NELSON ASSEF BUAINAIN";"CENTRO DE SAUDE/UNIDADE BASICA";"0000440779";"EQUIPE AMARELA";"eSF";"73";"4";"106";"70";"6325";"140";"45,20"
"9013415";"SESAU USF JARDIM PARADISO PEDRO FELIX DE SOUZA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001606727";"EQUIPE PARADISO";"eSF";"202";"72";"208";"133";"15375";"376";"40,90"
"3598209";"SESAU USF AERO ITALIA HERBERTO CALADO REBELO";"CENTRO DE SAUDE/UNIDADE BASICA";"0000440418";"EQUIPE POR DO SOL";"eSF";"195";"105";"203";"148";"16275";"259";"62,80"
"0010162";"SESAU USF BURITI DR IVAN HIDELBRAND DA COSTA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001482386";"EQUIPE LIMOEIRO";"eSF";"331";"45";"392";"287";"26375";"489";"53,90"
"7096895";"SESAU USF JARDIM BATISTAO DR HELIO MARTINS COELHO";"CENTRO DE SAUDE/UNIDADE BASICA";"0000440655";"EQUIPE EGITO";"eSF";"310";"73";"335";"246";"24100";"462";"52,20"
"6585612";"SESAU USF VIDA NOVA III AQUINO DIAS BEZERRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000440531";"EQUIPE VIDA NOVA";"eSF";"247";"92";"272";"165";"19400";"324";"59,90"
"9983449";"SESAU USF CRISTO REDENTOR DR CARLOS A JURGIELEWCZ";"CENTRO DE SAUDE/UNIDADE BASICA";"0001717359";"EQUIPE VITORIA REGIA";"eSF";"166";"47";"145";"109";"11675";"241";"48,40"
"0010278";"SESAU USF MARIA APARECIDA PEDROSSIAN";"CENTRO DE SAUDE/UNIDADE BASICA";"0000439312";"EQUIPE ASPIRANTE";"eSF";"126";"47";"114";"88";"9375";"169";"55,50"
"0024457";"SESAU USF TIRADENTES DR ANTONIO PEREIRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000439797";"EQUIPE ROUXINOIS";"eSF";"165";"28";"79";"106";"9450";"264";"35,80"
"0024422";"SESAU USF SANTA CARMELIA DR ALBINO COIMBRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000439673";"EQUIPE TAQUARI";"eSF";"309";"177";"330";"275";"27275";"526";"51,90"
"3198278";"SESAU USF PAULO COELHO MACHADO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001572628";"EQUIPE PRATA";"eSF";"113";"14";"95";"71";"7325";"139";"52,70"
"0010324";"SESAU USF ESTRELA DO SUL DR WILLIAN MACKSOUD";"CENTRO DE SAUDE/UNIDADE BASICA";"0000439436";"EQUIPE GIRASSOL";"eSF";"292";"177";"427";"269";"29125";"501";"58,10"
"9983449";"SESAU USF CRISTO REDENTOR DR CARLOS A JURGIELEWCZ";"CENTRO DE SAUDE/UNIDADE BASICA";"0001697544";"EQUIPE HORTENSIA";"eSF";"136";"66";"146";"101";"11225";"176";"63,80"
"7096895";"SESAU USF JARDIM BATISTAO DR HELIO MARTINS COELHO";"CENTRO DE SAUDE/UNIDADE BASICA";"0000440647";"EQUIPE GUNTER HANS";"eSF";"384";"119";"452";"315";"31750";"528";"60,10"
"9443525";"SESAU USF OLIVEIRA II BENEDITO MARTINS GONCALVES";"CENTRO DE SAUDE/UNIDADE BASICA";"0001707892";"EQUIPE MARIA JOSE DE FREITAS";"eSF";"262";"24";"275";"196";"18925";"467";"40,50"
"9983449";"SESAU USF CRISTO REDENTOR DR CARLOS A JURGIELEWCZ";"CENTRO DE SAUDE/UNIDADE BASICA";"0001717367";"EQUIPE GIRASSOL";"eSF";"67";"30";"59";"52";"5200";"97";"53,60"
"3051358";"SESAU USF MARIO COVAS DR WAGNER JORGE BORTOTTO GARCIA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000440094";"EQUIPE VERMELHA";"eSF";"201";"58";"193";"145";"14925";"260";"57,40"
"0024422";"SESAU USF SANTA CARMELIA DR ALBINO COIMBRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000439665";"EQUIPE FORMOSO";"eSF";"405";"195";"537";"388";"38125";"705";"54,10"
"0010413";"SESAU USF JARDIM MACAUBAS DR SONI LYDIA SOUZA WOLF";"CENTRO DE SAUDE/UNIDADE BASICA";"0000439541";"EQUIPE GIRASSOL";"eSF";"123";"12";"135";"84";"8850";"162";"54,60"
"0024457";"SESAU USF TIRADENTES DR ANTONIO PEREIRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000439789";"EQUIPE FLAMBOYANT";"eSF";"253";"27";"280";"245";"20125";"538";"37,40"
"0301825";"SESAU USF AERO RANCHO GRANJA DRA REGIA JUSSARA F DE BARROS";"CENTRO DE SAUDE/UNIDADE BASICA";"0002127342";"EQUIPE ALPHA";"eSF";"343";"96";"420";"298";"28925";"534";"54,20"
"0010278";"SESAU USF MARIA APARECIDA PEDROSSIAN";"CENTRO DE SAUDE/UNIDADE BASICA";"0000439304";"EQUIPE JOAO DE BARRO";"eSF";"277";"116";"355";"265";"25325";"457";"55,40"
"6585612";"SESAU USF VIDA NOVA III AQUINO DIAS BEZERRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000440558";"EQUIPE ANACHE";"eSF";"221";"77";"240";"171";"17725";"295";"60,10"
"5506158";"SESAU CF DR MAURO R BARROS WANDERLEY IRACY COELHO NETTO";"CENTRO DE SAUDE/UNIDADE BASICA";"0000440434";"EQUIPE IPE BRANCO";"eSF";"280";"118";"271";"197";"21650";"363";"59,60"
"3311260";"SESAU USF SAO CONRADO PASTOR ELISEU FEITOSA DE ALENCAR";"CENTRO DE SAUDE/UNIDADE BASICA";"0000440310";"EQUIPE AZUL";"eSF";"145";"66";"134";"101";"11150";"204";"54,70"
"0010227";"SESAU USF 26 DE AGOSTO JAIR GARCIA DE FREITAS";"CENTRO DE SAUDE/UNIDADE BASICA";"0001482483";"EQUIPE VERDE";"eSF";"177";"54";"347";"230";"20200";"530";"38,10"
"0010332";"SESAU USF SAO FRANCISCO";"CENTRO DE SAUDE/UNIDADE BASICA";"0000439452";"EQUIPE FENIX";"eSF";"285";"166";"260";"233";"23600";"395";"59,70"
"0010421";"SESAU USF JARDIM MARABA DRA MARLY ANNA TATTON BERG G PEREIRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000439576";"EQUIPE LARANJA";"eSF";"326";"102";"567";"417";"35300";"822";"42,90"
"3005690";"SESAU USF JARDIM NOROESTE";"CENTRO DE SAUDE/UNIDADE BASICA";"0001572601";"EQUIPE ARARA VERMELHA";"eSF";"189";"61";"134";"106";"12250";"242";"50,60"
