Ministério da Saúde MS
Secretaria de Atenção Primária à Saúde SAPS
Sistema de Informação para a Atenção Primária à Saúde – SIAPS
Dado gerado em: 13 de outubro de 2025 - 10:29h
Relatório Qualidade - Visão por Competência

Dados Sócio Demográficos:
UF: MS
Município: 500370 / DOURADOS

Filtro:
Indicador: Cuidado integral da Pessoa Idosa
Competência selecionada: AGO/25
Tipo de Equipe: eAP, eSF

CNES;ESTABELECIMENTO;TIPO DO ESTABELECIMENTO;INE;NOME DA EQUIPE;SIGLA DA EQUIPE;TER REGISTRO DE PELO MENOS 01 CONSULTA PRESENCIAL OU REMOTA POR PROFISSIONAL MÉDICA(O) OU ENFERMEIRA(O) REALIZADA NOS ÚLTIMOS 12 MESES;TER PELO MENOS 02 REGISTROS SIMULTÂNEOS DE PESO E ALTURA PARA AVALIAÇÃO ANTROPOMÉTRICA NOS ÚLTIMOS 12 MESES;TER REGISTRO DE PELO MENOS 02 VISITAS DOMICILIARES POR ACS/TACS, COM INTERVALO MÍNIMO DE 30 DIAS, REALIZADAS NOS ÚLTIMOS 12 MESES AÇÃO;TER REGISTRO DE 1 DOSE DA VACINA CONTRA INFLUENZA REALIZADA NOS ÚLTIMOS 12 MESES;SOMATÓRIO DE BOAS PRÁTICAS REALIZADAS PARA PESSOAS IDOSAS VINCULADAS À EQUIPE;NÚMERO TOTAL DE PESSOAS IDOSAS VINCULADAS À EQUIPE;PONTUAÇÃO
"2710854";"UBS IV PLANO DR JULVIS ARRUDA MATOS";"CENTRO DE SAUDE/UNIDADE BASICA";"0000441708";"ESF 46 - 4º PLANO";"eSF";"416";"277";"645";"385";"43075";"680";"63,30"
"2711117";"UBS MARACANA MOTOHIDE HIRAISHI";"CENTRO DE SAUDE/UNIDADE BASICA";"0000441945";"ESF 22 - ALECRIM";"eSF";"378";"196";"499";"305";"34450";"523";"65,90"
"2711125";"UBS PARQUE DAS NACOES II DR LUIZ ANTONIO ALVES";"CENTRO DE SAUDE/UNIDADE BASICA";"0000441988";"ESF 19 - PARQUE NACOES II";"eSF";"305";"223";"391";"216";"28375";"424";"66,90"
"5592593";"UBS ALTOS DO INDAIA DRA HELENA YOSHIE MORIBE";"CENTRO DE SAUDE/UNIDADE BASICA";"0001623109";"ESF - 50 ALTOS DO INDAIA";"eSF";"141";"87";"177";"120";"13125";"228";"57,60"
"3239837";"UBS JOQUEI CLUBE ANTONIO DA COSTA CARVALHO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001713701";"ESF 62 - CARANDA";"eSF";"240";"56";"301";"146";"18575";"326";"57,00"
"2711052";"UBS CUIABAZINHO FREI HUGOLINO BECKER";"CENTRO DE SAUDE/UNIDADE BASICA";"0000441864";"ESF 40 - CUIABAZINHO";"eSF";"342";"116";"462";"292";"30300";"500";"60,60"
"2711109";"UBS SELETA BIANOR ALVES DA SILVA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000442119";"ESF 39 - SELETA";"eSF";"369";"237";"488";"321";"35375";"520";"68,00"
"2711001";"UBS VILA FORMOSA MACAUBA ARINO PEREIRA DE MATTOS";"CENTRO DE SAUDE/UNIDADE BASICA";"0000441821";"ESF 205 VILA MACAUBA / FORMOSA";"eSF";"251";"156";"299";"162";"21700";"362";"59,90"
"2710889";"UBS CSU DR LEON TOLSTOI RODRIGUES DE LIMA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000441783";"ESF 47- CSU";"eSF";"423";"65";"459";"395";"33550";"685";"49,00"
"2711141";"UBS VILA HILDA DR ARCHIDUQUE FERNANDES";"CENTRO DE SAUDE/UNIDADE BASICA";"0000442038";"ESF 14 - VILA HILDA";"eSF";"337";"242";"302";"252";"28325";"475";"59,60"
"2710870";"UBS SANTO ANDRE MARLUCIA ARAUJO LUPINETTI";"CENTRO DE SAUDE/UNIDADE BASICA";"0000441740";"ESF 51 - SANTO ANDRE";"eSF";"520";"369";"947";"526";"59050";"1018";"58,00"
"3768074";"UBS VILA VIEIRA AUX ENF ELIS RENY DOS SANTOS";"CENTRO DE SAUDE/UNIDADE BASICA";"0000442089";"ESF 33 - VILA VIEIRA";"eSF";"390";"19";"553";"299";"31525";"580";"54,40"
"2711117";"UBS MARACANA MOTOHIDE HIRAISHI";"CENTRO DE SAUDE/UNIDADE BASICA";"0000441937";"ESF 23 - HORTELA";"eSF";"430";"139";"550";"302";"35525";"557";"63,80"
"7489102";"UBS GUAICURUS ERISVALDO MENDONCA DOS SANTOS";"CENTRO DE SAUDE/UNIDADE BASICA";"0001624822";"ESF 56 - GUAICURUS";"eSF";"98";"45";"98";"72";"7825";"148";"52,90"
"2711052";"UBS CUIABAZINHO FREI HUGOLINO BECKER";"CENTRO DE SAUDE/UNIDADE BASICA";"0000441856";"ESF 15 - CUIABAZINHO";"eSF";"240";"77";"334";"204";"21375";"347";"61,60"
"2710862";"UBS IZIDRO PEDROSO DR MOACIR STEIN ARRUDA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000441732";"ESF 32 - IZIDRO PEDROSO";"eSF";"368";"42";"525";"253";"29700";"533";"55,70"
"9837663";"UBS ILDEFONSO PEDROSO DR LUIZ CARLOS SIEBERT";"CENTRO DE SAUDE/UNIDADE BASICA";"0001686232";"ESF 61 - IPE BRANCO";"eSF";"169";"23";"204";"97";"12325";"218";"56,50"
"2710889";"UBS CSU DR LEON TOLSTOI RODRIGUES DE LIMA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000441775";"ESF 48 - CSU";"eSF";"404";"130";"597";"369";"37500";"647";"58,00"
"2711095";"UBS OURO VERDE TAKEO TAKIMOTO";"CENTRO DE SAUDE/UNIDADE BASICA";"0000441899";"ESF 36 - OURO VERDE";"eSF";"337";"168";"589";"303";"34925";"622";"56,10"
"2710854";"UBS IV PLANO DR JULVIS ARRUDA MATOS";"CENTRO DE SAUDE/UNIDADE BASICA";"0000441694";"ESF 45 - 4º PLANO";"eSF";"280";"210";"456";"259";"30125";"467";"64,50"
"6943551";"UBS CAMPO DOURADO ACS MARTA SIQUEIRA RODRIGUES";"CENTRO DE SAUDE/UNIDADE BASICA";"0000442224";"ESF 44 - CAMPO DOURADO";"eSF";"175";"71";"260";"176";"17050";"292";"58,40"
"9837663";"UBS ILDEFONSO PEDROSO DR LUIZ CARLOS SIEBERT";"CENTRO DE SAUDE/UNIDADE BASICA";"0001686224";"ESF 60 - IPE AMARELO";"eSF";"114";"19";"106";"57";"7400";"130";"56,90"
"3489159";"UBS BEM TE VI VEREADOR AMERICO MONTEIRO SALGADO";"CENTRO DE SAUDE/UNIDADE BASICA";"0000442070";"ESF 29 - BEM-TE-VI";"eSF";"251";"180";"291";"176";"22450";"325";"69,10"
"2710986";"UBS PANAMBI E SAO PEDRO";"CENTRO DE SAUDE/UNIDADE BASICA";"0000441805";"ESF 202 PANAMBI/VILA SAO PEDRO";"eSF";"247";"30";"251";"187";"17875";"319";"56,00"
"2710862";"UBS IZIDRO PEDROSO DR MOACIR STEIN ARRUDA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000441724";"ESF 31 - IZIDRO PEDROSO";"eSF";"361";"100";"513";"278";"31300";"521";"60,10"
"2711044";"UBS VILA VARGAS ANTONIA MARQUES";"CENTRO DE SAUDE/UNIDADE BASICA";"0000441848";"ESF 204 - VILA VARGAS";"eSF";"324";"211";"405";"237";"29425";"429";"68,60"
"6822924";"UBS VILA INDIO ENF JACI SILVA MARTINS";"CENTRO DE SAUDE/UNIDADE BASICA";"0000442216";"ESF 43 - VILA INDIO";"eSF";"426";"241";"622";"421";"42750";"705";"60,60"
