Ministério da Saúde MS
Secretaria de Atenção Primária à Saúde SAPS
Sistema de Informação para a Atenção Primária à Saúde – SIAPS
Dado gerado em: 13 de outubro de 2025 - 10:40h
Relatório Qualidade - Visão por Competência

Dados Sócio Demográficos:
UF: MS
Município: 500570 / NAVIRAÍ

Filtro:
Indicador: Cuidado integral da Pessoa Idosa
Competência selecionada: AGO/25
Tipo de Equipe: eAP, eSF

CNES;ESTABELECIMENTO;TIPO DO ESTABELECIMENTO;INE;NOME DA EQUIPE;SIGLA DA EQUIPE;TER REGISTRO DE PELO MENOS 01 CONSULTA PRESENCIAL OU REMOTA POR PROFISSIONAL MÉDICA(O) OU ENFERMEIRA(O) REALIZADA NOS ÚLTIMOS 12 MESES;TER PELO MENOS 02 REGISTROS SIMULTÂNEOS DE PESO E ALTURA PARA AVALIAÇÃO ANTROPOMÉTRICA NOS ÚLTIMOS 12 MESES;TER REGISTRO DE PELO MENOS 02 VISITAS DOMICILIARES POR ACS/TACS, COM INTERVALO MÍNIMO DE 30 DIAS, REALIZADAS NOS ÚLTIMOS 12 MESES AÇÃO;TER REGISTRO DE 1 DOSE DA VACINA CONTRA INFLUENZA REALIZADA NOS ÚLTIMOS 12 MESES;SOMATÓRIO DE BOAS PRÁTICAS REALIZADAS PARA PESSOAS IDOSAS VINCULADAS À EQUIPE;NÚMERO TOTAL DE PESSOAS IDOSAS VINCULADAS À EQUIPE;PONTUAÇÃO
"2374285";"EAP PORTO CAIUA";"CENTRO DE SAUDE/UNIDADE BASICA";"0002255111";"EAP PORTO CAIUA";"eAP";"15";"10";"17";"8";"1300";"19";"68,40"
"2892871";"EAP JUNCAL";"CENTRO DE SAUDE/UNIDADE BASICA";"0002255235";"EAP JUNCAL";"eAP";"71";"56";"84";"53";"6650";"86";"77,30"
"5657512";"ESF SAO PEDRO";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443328";"ESF SAO PEDRO";"eSF";"369";"236";"394";"285";"32100";"473";"67,90"
"2374250";"CENTRO DE SAUDE DR ANTONITO PIRES DE SOUZA";"CENTRO DE SAUDE/UNIDADE BASICA";"0002287595";"EAP ANTONITO PIRES 2";"eAP";"16";"12";"0";"10";"1550";"24";"64,60"
"7018428";"ESF SOL NASCENTE";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443379";"ESF SOL NASCENTE";"eSF";"356";"208";"249";"266";"26975";"475";"56,80"
"5966523";"ESF MARIA DE LOURDES DOS SANTOS";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443336";"ESF MARIA DE LOURDES";"eSF";"460";"112";"566";"332";"36750";"602";"61,00"
"2374250";"CENTRO DE SAUDE DR ANTONITO PIRES DE SOUZA";"CENTRO DE SAUDE/UNIDADE BASICA";"0002246570";"EAP ANTONITO PIRES 1";"eAP";"184";"145";"9";"116";"16875";"230";"73,40"
"5322804";"ESF RONAN MARQUES";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443301";"ESF RONAN MARQUES";"eSF";"418";"252";"519";"365";"38850";"636";"61,10"
"3126013";"ESF BOA VISTA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443298";"ESF BOA VISTA";"eSF";"421";"289";"503";"331";"38600";"524";"73,70"
"8005567";"ESF PARAISO I";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443387";"ESF PARAISO I";"eSF";"231";"94";"263";"130";"17950";"274";"65,50"
"7545789";"ESF PARAISO II";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443395";"ESF PARAISO II";"eSF";"147";"107";"158";"90";"12550";"188";"66,80"
"2374269";"ESF DR CARLOS VIDOTO";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443263";"ESF CARLOS VIDOTO";"eSF";"391";"258";"459";"254";"34050";"508";"67,00"
"7001878";"ESF VILA NOVA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443360";"ESF VILA NOVA";"eSF";"342";"235";"387";"223";"29675";"408";"72,70"
"2558688";"ESF PE ANTONIO KOREMAN";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443271";"ESF PADRE KOREMAN";"eSF";"480";"87";"615";"355";"38425";"635";"60,50"
"9912835";"ESF IPE";"CENTRO DE SAUDE/UNIDADE BASICA";"0001687301";"ESF IPE";"eSF";"191";"121";"232";"139";"17075";"247";"69,10"

Fonte: Sistema de Informação para a Atenção Primária à Saúde - SIAPS
Dado preliminar
