Ministério da Saúde MS
Secretaria de Atenção Primária à Saúde SAPS
Sistema de Informação para a Atenção Primária à Saúde – SIAPS
Dado gerado em: 13 de outubro de 2025 - 10:42h
Relatório Qualidade - Visão por Competência

Dados Sócio Demográficos:
UF: MS
Município: 500620 / NOVA ANDRADINA

Filtro:
Indicador: Cuidado integral da Pessoa Idosa
Competência selecionada: AGO/25
Tipo de Equipe: eAP, eSF

CNES;ESTABELECIMENTO;TIPO DO ESTABELECIMENTO;INE;NOME DA EQUIPE;SIGLA DA EQUIPE;TER REGISTRO DE PELO MENOS 01 CONSULTA PRESENCIAL OU REMOTA POR PROFISSIONAL MÉDICA(O) OU ENFERMEIRA(O) REALIZADA NOS ÚLTIMOS 12 MESES;TER PELO MENOS 02 REGISTROS SIMULTÂNEOS DE PESO E ALTURA PARA AVALIAÇÃO ANTROPOMÉTRICA NOS ÚLTIMOS 12 MESES;TER REGISTRO DE PELO MENOS 02 VISITAS DOMICILIARES POR ACS/TACS, COM INTERVALO MÍNIMO DE 30 DIAS, REALIZADAS NOS ÚLTIMOS 12 MESES AÇÃO;TER REGISTRO DE 1 DOSE DA VACINA CONTRA INFLUENZA REALIZADA NOS ÚLTIMOS 12 MESES;SOMATÓRIO DE BOAS PRÁTICAS REALIZADAS PARA PESSOAS IDOSAS VINCULADAS À EQUIPE;NÚMERO TOTAL DE PESSOAS IDOSAS VINCULADAS À EQUIPE;PONTUAÇÃO
"3881032";"ESF CENTRO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001711717";"SAUDE NA HORA II";"eSF";"233";"132";"254";"172";"19775";"325";"60,80"
"3881032";"ESF CENTRO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001711725";"SAUDE NA HORA III";"eSF";"127";"56";"118";"110";"10275";"255";"40,30"
"6669239";"ESF VILA BEATRIZ";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443638";"ESF - VILA BEATRIZ";"eSF";"321";"182";"417";"249";"29225";"478";"61,10"
"3188957";"ESF HORTO FLORESTAL";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443603";"ESF - HORTO FLORESTAL";"eSF";"343";"215";"307";"190";"26375";"394";"66,90"
"2612038";"ESF CENTRO EDUCACIONAL";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443549";"ESF - CENTRO EDUCACIONAL";"eSF";"350";"69";"361";"243";"25575";"473";"54,10"
"2612046";"ESF SAO VICENTE";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443557";"ESF - SAO VICENTE";"eSF";"436";"235";"589";"329";"39725";"613";"64,80"
"0187941";"ESF UNIVERSITARIO";"CENTRO DE SAUDE/UNIDADE BASICA";"0002022532";"ESF - UNIVERSITARIO";"eSF";"130";"65";"133";"71";"9975";"161";"62,00"
"3881032";"ESF CENTRO";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443611";"SAUDE NA HORA I";"eSF";"270";"145";"347";"197";"23975";"395";"60,70"
"2612054";"ESF NOVA CASA VERDE";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443565";"ESF - NOVA CASA VERDE";"eSF";"360";"233";"377";"198";"29200";"485";"60,20"
"2612054";"ESF NOVA CASA VERDE";"CENTRO DE SAUDE/UNIDADE BASICA";"0002212714";"EAP - NOVA CASA VERDE";"eAP";"0";"0";"0";"0";"0";"0";"0,00"
"2612062";"ESF IRMAN RIBEIRO";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443573";"ESF - IRMAN RIBEIRO";"eSF";"398";"212";"438";"301";"33725";"564";"59,80"
"2600374";"ESF MORADA DO SOL";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443530";"ESF - MORADA DO SOL";"eSF";"319";"143";"262";"177";"22525";"408";"55,20"
"4388178";"EAP CEM";"CENTRO DE SAUDE/UNIDADE BASICA";"0002313715";"EAP - CEM";"eAP";"0";"0";"0";"0";"0";"0";"0,00"
"2612070";"ESF VILA OPERARIA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443581";"ESF - VILA OPERARIA";"eSF";"297";"176";"359";"216";"26200";"425";"61,60"
"2600374";"ESF MORADA DO SOL";"CENTRO DE SAUDE/UNIDADE BASICA";"0002439220";"ESF - MORADA DO SOL - EQUIPE 2";"eSF";"179";"55";"157";"109";"12500";"213";"58,70"

Fonte: Sistema de Informação para a Atenção Primária à Saúde - SIAPS
Dado preliminar
