Ministério da Saúde MS
Secretaria de Atenção Primária à Saúde SAPS
Sistema de Informação para a Atenção Primária à Saúde – SIAPS
Dado gerado em: 13 de outubro de 2025 - 10:43h
Relatório Qualidade - Visão por Competência

Dados Sócio Demográficos:
UF: MS
Município: 500630 / PARANAÍBA

Filtro:
Indicador: Cuidado integral da Pessoa Idosa
Competência selecionada: AGO/25
Tipo de Equipe: eAP, eSF

CNES;ESTABELECIMENTO;TIPO DO ESTABELECIMENTO;INE;NOME DA EQUIPE;SIGLA DA EQUIPE;TER REGISTRO DE PELO MENOS 01 CONSULTA PRESENCIAL OU REMOTA POR PROFISSIONAL MÉDICA(O) OU ENFERMEIRA(O) REALIZADA NOS ÚLTIMOS 12 MESES;TER PELO MENOS 02 REGISTROS SIMULTÂNEOS DE PESO E ALTURA PARA AVALIAÇÃO ANTROPOMÉTRICA NOS ÚLTIMOS 12 MESES;TER REGISTRO DE PELO MENOS 02 VISITAS DOMICILIARES POR ACS/TACS, COM INTERVALO MÍNIMO DE 30 DIAS, REALIZADAS NOS ÚLTIMOS 12 MESES AÇÃO;TER REGISTRO DE 1 DOSE DA VACINA CONTRA INFLUENZA REALIZADA NOS ÚLTIMOS 12 MESES;SOMATÓRIO DE BOAS PRÁTICAS REALIZADAS PARA PESSOAS IDOSAS VINCULADAS À EQUIPE;NÚMERO TOTAL DE PESSOAS IDOSAS VINCULADAS À EQUIPE;PONTUAÇÃO
"3050343";"UNIDADE SAUDE DA FAMILIA DRA ANNA LYGIA M COELHO";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443794";"ESF DRA ANNA LYGIA M. COELHO";"eSF";"426";"313";"484";"300";"38075";"604";"63,00"
"2536412";"UNIDADE SAUDE DA FAMILIA DANIEL MARTINS FERREIRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443719";"ESF DANIEL MARTINS FERREIRA";"eSF";"453";"394";"258";"292";"34925";"607";"57,50"
"5927056";"UNIDADE SAUDE DA FAMILIA HILDA DA SILVA OLIVEIRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443808";"ESF HILDA DA SILVA OLIVEIRA";"eSF";"489";"417";"493";"314";"42825";"623";"68,70"
"3050238";"UNIDADE SAUDE DA FAMILIA SANTANA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443727";"ESF SANTANA";"eSF";"560";"477";"789";"448";"56850";"910";"62,50"
"3050270";"UNIDADE SAUDE DA FAMILIA SANTA LUCIA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443735";"ESF SANTA LUCIA";"eSF";"494";"383";"689";"420";"49650";"880";"56,40"
"2536404";"UNIDADE SAUDE DA FAMILIA NOSSA SENHORA DE LOURDES";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443689";"ESF NOSSA SENHORA DE LOURDES";"eSF";"254";"224";"262";"117";"21425";"328";"65,30"
"2536412";"UNIDADE SAUDE DA FAMILIA DANIEL MARTINS FERREIRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443700";"ESF DANIEL MARTINS FERREIRA";"eSF";"401";"348";"251";"228";"30700";"529";"58,00"
"3050319";"UNIDADE SAUDE DA FAMILIA SANTO ANTONIO";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443778";"ESF SANTO ANTONIO";"eSF";"394";"309";"473";"227";"35075";"606";"57,90"
"3050319";"UNIDADE SAUDE DA FAMILIA SANTO ANTONIO";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443786";"ESF SANTO ANTONIO";"eSF";"384";"341";"354";"178";"31425";"488";"64,40"
"3050270";"UNIDADE SAUDE DA FAMILIA SANTA LUCIA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443743";"ESF SANTA LUCIA";"eSF";"80";"100";"116";"64";"9000";"207";"43,50"
"3050270";"UNIDADE SAUDE DA FAMILIA SANTA LUCIA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443751";"ESF SANTA LUCIA";"eSF";"458";"366";"488";"320";"40800";"676";"60,40"
"2536404";"UNIDADE SAUDE DA FAMILIA NOSSA SENHORA DE LOURDES";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443697";"ESF NOSSA SENHORA DE LOURDES";"eSF";"310";"262";"248";"147";"24175";"393";"61,50"

Fonte: Sistema de Informação para a Atenção Primária à Saúde - SIAPS
Dado preliminar
