Ministério da Saúde MS
Secretaria de Atenção Primária à Saúde SAPS
Sistema de Informação para a Atenção Primária à Saúde – SIAPS
Dado gerado em: 13 de outubro de 2025 - 10:45h
Relatório Qualidade - Visão por Competência

Dados Sócio Demográficos:
UF: MS
Município: 500660 / PONTA PORÃ

Filtro:
Indicador: Cuidado integral da Pessoa Idosa
Competência selecionada: AGO/25
Tipo de Equipe: eAP, eSF

CNES;ESTABELECIMENTO;TIPO DO ESTABELECIMENTO;INE;NOME DA EQUIPE;SIGLA DA EQUIPE;TER REGISTRO DE PELO MENOS 01 CONSULTA PRESENCIAL OU REMOTA POR PROFISSIONAL MÉDICA(O) OU ENFERMEIRA(O) REALIZADA NOS ÚLTIMOS 12 MESES;TER PELO MENOS 02 REGISTROS SIMULTÂNEOS DE PESO E ALTURA PARA AVALIAÇÃO ANTROPOMÉTRICA NOS ÚLTIMOS 12 MESES;TER REGISTRO DE PELO MENOS 02 VISITAS DOMICILIARES POR ACS/TACS, COM INTERVALO MÍNIMO DE 30 DIAS, REALIZADAS NOS ÚLTIMOS 12 MESES AÇÃO;TER REGISTRO DE 1 DOSE DA VACINA CONTRA INFLUENZA REALIZADA NOS ÚLTIMOS 12 MESES;SOMATÓRIO DE BOAS PRÁTICAS REALIZADAS PARA PESSOAS IDOSAS VINCULADAS À EQUIPE;NÚMERO TOTAL DE PESSOAS IDOSAS VINCULADAS À EQUIPE;PONTUAÇÃO
"9003479";"UNIDADE BASICA DE SAUDE ZENEIDA TERRA DE SIQUEIRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443948";"ESF - JARDIM IVONE";"eSF";"356";"255";"435";"263";"32725";"485";"67,50"
"2361000";"UNIDADE BASICA DE SAUDE JOSE BATAGLIN";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443905";"ESF -POSTO SANGA PUITA";"eSF";"416";"294";"499";"308";"37925";"512";"74,10"
"2599465";"UNIDADE BASICA DE SAUDE LEONOR COELHO BATISTA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443913";"ESF - LEONOR COELHO BATISTA";"eSF";"434";"15";"565";"324";"33450";"625";"53,50"
"0998400";"UNIDADE BASICA DE SAUDE DR RODRIGO LIMA VILHANUEVA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001635360";"ESF - KAMEL SAAD";"eSF";"298";"109";"313";"183";"22575";"368";"61,30"
"3830497";"UNIDADE BASICA DE SAUDE JOSE ALBERTO FERREIRA NEVES";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443999";"ESF - JARDIM ALEGRETE";"eSF";"411";"247";"476";"292";"35650";"543";"65,70"
"2651556";"UNIDADE BASICA DE SAUDE LAR GERALDO GARCIA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443956";"ESF-GERALDO GARCIA I";"eSF";"635";"138";"768";"394";"48375";"800";"60,50"
"5683238";"UNIDADE BASICA DE SAUDE ROSANGELA PEREIRA SILVA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443964";"ESF-ITINERANTE";"eSF";"230";"168";"285";"163";"21150";"288";"73,40"
"9387919";"UNIDADE BASICA DE SAUDE DRA NISLAINE COLMAN BENITES";"CENTRO DE SAUDE/UNIDADE BASICA";"0001638343";"ESF - VILA RENO";"eSF";"354";"125";"375";"231";"27125";"533";"50,90"
"2651521";"UNIDADE BASICA DE SAUDE NELSON MACHADO DIAS";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443921";"ESF-IPE II";"eSF";"449";"295";"578";"316";"40950";"602";"68,00"
"7281986";"UNIDADE BASICA DE SAUDE JOSE ALBERTO VIEIRA BOCH";"CENTRO DE SAUDE/UNIDADE BASICA";"0001512390";"ESF - JARDIM ESTORIL";"eSF";"434";"279";"541";"319";"39325";"639";"61,50"
"9075062";"UNIDADE BASICA DE SAUDE ENFERMEIRA ELIZA MEDINA BARRETO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001635379";"EQUIPE SAO RAFAEL";"eSF";"317";"206";"331";"194";"26200";"438";"59,80"
"9042849";"UNIDADE BASICA DE SAUDE DR JOSE ISSA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443972";"ESF- JOSE ISSA";"eSF";"479";"137";"636";"361";"40325";"665";"60,60"
"2651572";"UNIDADE BASICA DE SAUDE NEUSA MARIA PEREIRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443980";"ESF-JARDIM VITORIA";"eSF";"431";"50";"586";"307";"34350";"640";"53,70"
"5971918";"UNIDADE BASICA DE SAUDE ANDERSON LUIZ MONTEIRO GODOY";"CENTRO DE SAUDE/UNIDADE BASICA";"0000444057";"ESF - VILA AUREA";"eSF";"606";"444";"700";"398";"53700";"744";"72,20"
"2651564";"CENTRO INTEGRADO DE SAUDE CIS TERTULIANA DE FREITAS";"CENTRO DE SAUDE/UNIDADE BASICA";"0002225921";"ESF - CIS I";"eSF";"234";"64";"380";"197";"21875";"433";"50,50"
"5683238";"UNIDADE BASICA DE SAUDE ROSANGELA PEREIRA SILVA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000444014";"ESF- ITAMARATI";"eSF";"419";"227";"420";"187";"31325";"508";"61,70"
"5870178";"UNIDADE BASICA DE SAUDE DR NERY ALVES DE AZAMBUJA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000444022";"ESF - MARAMBAIA";"eSF";"307";"208";"353";"229";"27425";"493";"55,60"
"5911192";"UNIDADE BASICA DE SAUDE DR PEDRO MONTEIRO DE ALMEIDA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000444030";"ESF- JARDIM AEROPORTO";"eSF";"498";"41";"659";"375";"39325";"787";"50,00"
"2361019";"UNIDADE BASICA DE SAUDE AUDELINA DE CAMPOS";"CENTRO DE SAUDE/UNIDADE BASICA";"0001534106";"EQUIPE CABECEIRA DO APA";"eSF";"129";"99";"140";"49";"10425";"150";"69,50"
"6384587";"UNIDADE BASICA DE SAUDE DR CARLOS AUGUSTO PISSINI SOBREIRO";"CENTRO DE SAUDE/UNIDADE BASICA";"0000444081";"CARLOS AUGUSTO PISSINI";"eSF";"297";"211";"304";"156";"24200";"358";"67,60"
"2651564";"CENTRO INTEGRADO DE SAUDE CIS TERTULIANA DE FREITAS";"CENTRO DE SAUDE/UNIDADE BASICA";"0002225948";"ESF - CIS II";"eSF";"298";"103";"512";"295";"30200";"626";"48,20"

Fonte: Sistema de Informação para a Atenção Primária à Saúde - SIAPS
Dado preliminar
