Ministério da Saúde MS
Secretaria de Atenção Primária à Saúde SAPS
Sistema de Informação para a Atenção Primária à Saúde – SIAPS
Dado gerado em: 13 de outubro de 2025 - 10:46h
Relatório Qualidade - Visão por Competência

Dados Sócio Demográficos:
UF: MS
Município: 500720 / RIO BRILHANTE

Filtro:
Indicador: Cuidado integral da Pessoa Idosa
Competência selecionada: AGO/25
Tipo de Equipe: eAP, eSF

CNES;ESTABELECIMENTO;TIPO DO ESTABELECIMENTO;INE;NOME DA EQUIPE;SIGLA DA EQUIPE;TER REGISTRO DE PELO MENOS 01 CONSULTA PRESENCIAL OU REMOTA POR PROFISSIONAL MÉDICA(O) OU ENFERMEIRA(O) REALIZADA NOS ÚLTIMOS 12 MESES;TER PELO MENOS 02 REGISTROS SIMULTÂNEOS DE PESO E ALTURA PARA AVALIAÇÃO ANTROPOMÉTRICA NOS ÚLTIMOS 12 MESES;TER REGISTRO DE PELO MENOS 02 VISITAS DOMICILIARES POR ACS/TACS, COM INTERVALO MÍNIMO DE 30 DIAS, REALIZADAS NOS ÚLTIMOS 12 MESES AÇÃO;TER REGISTRO DE 1 DOSE DA VACINA CONTRA INFLUENZA REALIZADA NOS ÚLTIMOS 12 MESES;SOMATÓRIO DE BOAS PRÁTICAS REALIZADAS PARA PESSOAS IDOSAS VINCULADAS À EQUIPE;NÚMERO TOTAL DE PESSOAS IDOSAS VINCULADAS À EQUIPE;PONTUAÇÃO
"7613687";"ESTRATEGIA SAUDE DA FAMILIA VILA FATIMA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000444200";"USF - VILA FATIMA";"eSF";"326";"250";"407";"233";"30400";"428";"71,00"
"7323093";"ESTRATEGIA SAUDE DA FAMILIA BRILHANTE";"CENTRO DE SAUDE/UNIDADE BASICA";"0001484737";"ESF BRILHANTE";"eSF";"346";"261";"455";"235";"32425";"516";"62,80"
"2804492";"CENTRO DE SAUDE RIO BRILHANTE";"UNIDADE MISTA";"0002310503";"CENTRO DE SAUDE 01";"eAP";"88";"50";"73";"50";"8400";"148";"56,80"
"3085287";"ESTRATEGIA SAUDE DA FAMILIA FAUZER SALIBA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000444243";"USF - BENEDITO RONDON";"eSF";"358";"261";"431";"248";"32450";"442";"73,40"
"3865657";"ESTRATEGIA SAUDE DA FAMILIA CARLOS VOLPE";"CENTRO DE SAUDE/UNIDADE BASICA";"0000444251";"USF - CENTRAL";"eSF";"273";"203";"416";"225";"27925";"468";"59,70"
"2804506";"ESTRATEGIA SAUDE DA FAMILIA FRANCISCO AUGUSTO G DE MELLO";"CENTRO DE SAUDE/UNIDADE BASICA";"0000444197";"USF-DR.FRANCISCO A G DE MELLO";"eSF";"327";"229";"427";"221";"30100";"441";"68,30"
"6727042";"ESTRATEGIA SAUDE DA FAMILIA CELINA MARTINS JALAD XIV";"CENTRO DE SAUDE/UNIDADE BASICA";"0000444294";"PRO MORADIA XIV";"eSF";"182";"151";"213";"114";"16500";"215";"76,70"
"2804514";"ESTRATEGIA SAUDE DA FAMILIA JAIME MEDEIROS";"CENTRO DE SAUDE/UNIDADE BASICA";"0000444219";"USF - JAIME MEDEIROS";"eSF";"290";"236";"363";"176";"26625";"369";"72,20"
"2804492";"CENTRO DE SAUDE RIO BRILHANTE";"UNIDADE MISTA";"0002326930";"CENTRO DE SAUDE 02";"eAP";"18";"17";"0";"6";"1525";"20";"76,30"
"2804522";"ESTRATEGIA SAUDE DA FAMILIA RURAL";"CENTRO DE SAUDE/UNIDADE BASICA";"0000444227";"USF - RURAL";"eSF";"300";"141";"356";"173";"24250";"361";"67,20"
"2804530";"ESTRATEGIA SAUDE DA FAMILIA ANTONIO APARECIDO BITENCOURT";"CENTRO DE SAUDE/UNIDADE BASICA";"0000444235";"USF - PRUDENCIO THOMAZ";"eSF";"384";"311";"407";"219";"33025";"438";"75,40"
"4394542";"ESTRATEGIA SAUDE DA FAMILIA NOVA RIO BRILHANTE";"CENTRO DE SAUDE/UNIDADE BASICA";"0002406543";"NOVA RIO BRILHANTE";"eSF";"203";"162";"235";"106";"17650";"238";"74,20"

Fonte: Sistema de Informação para a Atenção Primária à Saúde - SIAPS
Dado preliminar
