Ministério da Saúde MS
Secretaria de Atenção Primária à Saúde SAPS
Sistema de Informação para a Atenção Primária à Saúde – SIAPS
Dado gerado em: 13 de outubro de 2025 - 13:28h
Relatório Qualidade - Visão por Competência

Dados Sócio Demográficos:
UF: MS
Município: 500270 / CAMPO GRANDE

Filtro:
Indicador: Prevenção do câncer na mulher
Competência selecionada: AGO/25
Tipo de Equipe: eAP, eSF

CNES;ESTABELECIMENTO;TIPO DO ESTABELECIMENTO;INE;NOME DA EQUIPE;SIGLA DA EQUIPE;TER REGISTRO DE PELO MENOS 01 EXAME DE RASTREAMENTO PARA CÂNCER DO COLO DE ÚTERO, SOLICITADO OU AVALIADO NOS ÚLTIMOS 36 MESES;MULHERES ENTRE 25 E 64 ANOS;TER REGISTRO DE PELO MENOS UMA DOSE DA VACINA HPV;CRIANÇAS E ADOLESCENTES DO SEXO FEMININO ENTRE 09 E 14 ANOS;TER REGISTRO DE ATENDIMENTOS PRESENCIAIS OU REMOTOS SOBRE ATENÇÃO À SAÚDE SEXUAL E REPRODUTIVA, REALIZADO NOS ÚLTIMOS 12 MESES;ADOLESCENTES DO SEXO FEMININO E MULHERES ENTRE 14 E 69 ANOS;TER REGISTRO DE PELO MENOS 01 EXAME DE RASTREAMENTO PARA CÂNCER DE MAMA EM MULHERES DE 50 A 69 ANOS, SOLICITADO OU AVALIADO NOS ÚLTIMOS 24 MESES;MULHERES ENTRE 50 E 69 ANOS;PONTUAÇÃO
"0010324";"SESAU USF ESTRELA DO SUL DR WILLIAN MACKSOUD";"CENTRO DE SAUDE/UNIDADE BASICA";"0000439428";"EQUIPE LIRIO";"eSF";"30";"745";"73";"98";"14";"1052";"3";"389";"23,70"
"7108052";"SESAU USF JARDIM ANTARTICA DR NELSON ASSEF BUAINAIN";"CENTRO DE SAUDE/UNIDADE BASICA";"0000440779";"EQUIPE AMARELA";"eSF";"4";"256";"28";"38";"13";"339";"0";"92";"23,60"
"9013415";"SESAU USF JARDIM PARADISO PEDRO FELIX DE SOUZA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001606727";"EQUIPE PARADISO";"eSF";"18";"707";"79";"105";"69";"963";"3";"267";"25,40"
"3598209";"SESAU USF AERO ITALIA HERBERTO CALADO REBELO";"CENTRO DE SAUDE/UNIDADE BASICA";"0000440418";"EQUIPE POR DO SOL";"eSF";"20";"510";"73";"97";"9";"719";"1";"189";"23,90"
"0010162";"SESAU USF BURITI DR IVAN HIDELBRAND DA COSTA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001482386";"EQUIPE LIMOEIRO";"eSF";"16";"707";"57";"86";"11";"944";"6";"310";"21,10"
"7096895";"SESAU USF JARDIM BATISTAO DR HELIO MARTINS COELHO";"CENTRO DE SAUDE/UNIDADE BASICA";"0000440655";"EQUIPE EGITO";"eSF";"29";"673";"77";"95";"26";"902";"14";"295";"27,00"
"6585612";"SESAU USF VIDA NOVA III AQUINO DIAS BEZERRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000440531";"EQUIPE VIDA NOVA";"eSF";"46";"796";"123";"145";"43";"1116";"36";"301";"30,20"
"9983449";"SESAU USF CRISTO REDENTOR DR CARLOS A JURGIELEWCZ";"CENTRO DE SAUDE/UNIDADE BASICA";"0001717359";"EQUIPE VITORIA REGIA";"eSF";"27";"619";"94";"112";"26";"829";"4";"189";"27,40"
"0010278";"SESAU USF MARIA APARECIDA PEDROSSIAN";"CENTRO DE SAUDE/UNIDADE BASICA";"0000439312";"EQUIPE ASPIRANTE";"eSF";"12";"401";"72";"83";"6";"524";"2";"127";"27,20"
"0024457";"SESAU USF TIRADENTES DR ANTONIO PEREIRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000439797";"EQUIPE ROUXINOIS";"eSF";"20";"478";"34";"49";"28";"607";"5";"203";"23,50"
"0024422";"SESAU USF SANTA CARMELIA DR ALBINO COIMBRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000439673";"EQUIPE TAQUARI";"eSF";"10";"601";"68";"85";"30";"820";"7";"309";"25,90"
"3198278";"SESAU USF PAULO COELHO MACHADO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001572628";"EQUIPE PRATA";"eSF";"11";"431";"88";"104";"42";"608";"5";"126";"28,80"
"0010324";"SESAU USF ESTRELA DO SUL DR WILLIAN MACKSOUD";"CENTRO DE SAUDE/UNIDADE BASICA";"0000439436";"EQUIPE GIRASSOL";"eSF";"31";"1046";"132";"163";"24";"1311";"9";"386";"25,90"
"9983449";"SESAU USF CRISTO REDENTOR DR CARLOS A JURGIELEWCZ";"CENTRO DE SAUDE/UNIDADE BASICA";"0001697544";"EQUIPE HORTENSIA";"eSF";"164";"526";"80";"96";"50";"673";"42";"156";"38,80"
"7096895";"SESAU USF JARDIM BATISTAO DR HELIO MARTINS COELHO";"CENTRO DE SAUDE/UNIDADE BASICA";"0000440647";"EQUIPE GUNTER HANS";"eSF";"95";"892";"90";"122";"55";"1204";"37";"374";"27,60"
"9443525";"SESAU USF OLIVEIRA II BENEDITO MARTINS GONCALVES";"CENTRO DE SAUDE/UNIDADE BASICA";"0001707892";"EQUIPE MARIA JOSE DE FREITAS";"eSF";"40";"843";"76";"109";"17";"1080";"2";"305";"22,40"
"9983449";"SESAU USF CRISTO REDENTOR DR CARLOS A JURGIELEWCZ";"CENTRO DE SAUDE/UNIDADE BASICA";"0001717367";"EQUIPE GIRASSOL";"eSF";"4";"157";"13";"21";"6";"201";"0";"50";"20,00"
"3051358";"SESAU USF MARIO COVAS DR WAGNER JORGE BORTOTTO GARCIA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000440094";"EQUIPE VERMELHA";"eSF";"22";"639";"75";"104";"37";"865";"14";"253";"24,70"
"0024422";"SESAU USF SANTA CARMELIA DR ALBINO COIMBRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000439665";"EQUIPE FORMOSO";"eSF";"7";"750";"67";"93";"38";"1025";"10";"402";"23,40"
"0010413";"SESAU USF JARDIM MACAUBAS DR SONI LYDIA SOUZA WOLF";"CENTRO DE SAUDE/UNIDADE BASICA";"0000439541";"EQUIPE GIRASSOL";"eSF";"11";"373";"55";"66";"23";"507";"1";"137";"27,10"
"0024457";"SESAU USF TIRADENTES DR ANTONIO PEREIRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000439789";"EQUIPE FLAMBOYANT";"eSF";"9";"672";"34";"47";"14";"864";"4";"349";"22,70"
"0301825";"SESAU USF AERO RANCHO GRANJA DRA REGIA JUSSARA F DE BARROS";"CENTRO DE SAUDE/UNIDADE BASICA";"0002127342";"EQUIPE ALPHA";"eSF";"24";"1049";"113";"143";"60";"1409";"5";"419";"25,70"
"0010278";"SESAU USF MARIA APARECIDA PEDROSSIAN";"CENTRO DE SAUDE/UNIDADE BASICA";"0000439304";"EQUIPE JOAO DE BARRO";"eSF";"9";"896";"99";"127";"7";"1165";"3";"330";"24,00"
"6585612";"SESAU USF VIDA NOVA III AQUINO DIAS BEZERRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000440558";"EQUIPE ANACHE";"eSF";"75";"806";"159";"180";"41";"1088";"9";"240";"30,30"
"5506158";"SESAU CF DR MAURO R BARROS WANDERLEY IRACY COELHO NETTO";"CENTRO DE SAUDE/UNIDADE BASICA";"0000440434";"EQUIPE IPE BRANCO";"eSF";"176";"741";"86";"106";"119";"976";"30";"272";"35,00"
"3311260";"SESAU USF SAO CONRADO PASTOR ELISEU FEITOSA DE ALENCAR";"CENTRO DE SAUDE/UNIDADE BASICA";"0000440310";"EQUIPE AZUL";"eSF";"45";"361";"53";"66";"27";"519";"4";"143";"28,80"
"0010227";"SESAU USF 26 DE AGOSTO JAIR GARCIA DE FREITAS";"CENTRO DE SAUDE/UNIDADE BASICA";"0001482483";"EQUIPE VERDE";"eSF";"11";"407";"12";"22";"4";"529";"6";"236";"17,60"
"0010332";"SESAU USF SAO FRANCISCO";"CENTRO DE SAUDE/UNIDADE BASICA";"0000439452";"EQUIPE FENIX";"eSF";"37";"653";"90";"106";"37";"888";"25";"290";"29,60"
"0010421";"SESAU USF JARDIM MARABA DRA MARLY ANNA TATTON BERG G PEREIRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000439576";"EQUIPE LARANJA";"eSF";"5";"686";"48";"71";"14";"932";"0";"411";"20,90"
"3005690";"SESAU USF JARDIM NOROESTE";"CENTRO DE SAUDE/UNIDADE BASICA";"0001572601";"EQUIPE ARARA VERMELHA";"eSF";"40";"692";"157";"188";"59";"975";"6";"185";"28,70"
"0010286";"SESAU USF COHAB DR OLIMPIO CAVALHEIRO";"CENTRO DE SAUDE/UNIDADE BASICA";"0000439339";"EQUIPE VERMELHA";"eSF";"34";"501";"47";"58";"15";"679";"1";"254";"26,50"
"0010227";"SESAU USF 26 DE AGOSTO JAIR GARCIA DE FREITAS";"CENTRO DE SAUDE/UNIDADE BASICA";"0000439215";"EQUIPE VERMELHA";"eSF";"9";"812";"48";"63";"6";"1056";"4";"432";"23,50"
"9983406";"SESAU USF ARNALDO ESTEVAO DE FIGUEIREDO DR EDGAR PEDRO R S";"CENTRO DE SAUDE/UNIDADE BASICA";"0001717375";"EQUIPE ENIR BEZERRA";"eSF";"2";"369";"22";"32";"6";"484";"0";"165";"21,10"
"3198278";"SESAU USF PAULO COELHO MACHADO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001672924";"EQUIPE RUBI";"eSF";"35";"568";"130";"153";"69";"766";"1";"147";"29,50"
"0028851";"SESAU USF COOPHAVILA II ALFREDO NEDER";"CENTRO DE SAUDE/UNIDADE BASICA";"0001706543";"EQUIPE GIRASSOL";"eSF";"44";"490";"62";"73";"44";"681";"5";"239";"29,60"
"5506158";"SESAU CF DR MAURO R BARROS WANDERLEY IRACY COELHO NETTO";"CENTRO DE SAUDE/UNIDADE BASICA";"0000440426";"EQUIPE IPE ROSA";"eSF";"30";"683";"111";"123";"38";"924";"1";"243";"29,30"
"9013415";"SESAU USF JARDIM PARADISO PEDRO FELIX DE SOUZA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001678469";"EQUIPE SAO FRANCISCO";"eSF";"19";"649";"58";"78";"40";"872";"11";"316";"25,00"
"0024341";"SESAU USF JARDIM ITAMARACA EDSON QUINTINO MENDES";"CENTRO DE SAUDE/UNIDADE BASICA";"0001482378";"EQUIPE SAO TOME";"eSF";"28";"391";"38";"47";"12";"510";"3";"153";"26,80"
"7096895";"SESAU USF JARDIM BATISTAO DR HELIO MARTINS COELHO";"CENTRO DE SAUDE/UNIDADE BASICA";"0000440663";"EQUIPE DINAMARCA";"eSF";"38";"751";"90";"114";"45";"995";"10";"288";"26,80"
"0010286";"SESAU USF COHAB DR OLIMPIO CAVALHEIRO";"CENTRO DE SAUDE/UNIDADE BASICA";"0000439320";"EQUIPE VERDE";"eSF";"41";"754";"91";"104";"55";"993";"1";"326";"29,20"
"0024430";"SESAU USF UNIVERSITARIO DR GERMANO BARROS DE SOUZA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000439681";"EQUIPE FENIX";"eSF";"39";"1205";"108";"138";"76";"1541";"7";"524";"25,90"
