Ministério da Saúde MS
Secretaria de Atenção Primária à Saúde SAPS
Sistema de Informação para a Atenção Primária à Saúde – SIAPS
Dado gerado em: 13 de outubro de 2025 - 13:35h
Relatório Qualidade - Visão por Competência

Dados Sócio Demográficos:
UF: MS
Município: 500370 / DOURADOS

Filtro:
Indicador: Prevenção do câncer na mulher
Competência selecionada: AGO/25
Tipo de Equipe: eAP, eSF

CNES;ESTABELECIMENTO;TIPO DO ESTABELECIMENTO;INE;NOME DA EQUIPE;SIGLA DA EQUIPE;TER REGISTRO DE PELO MENOS 01 EXAME DE RASTREAMENTO PARA CÂNCER DO COLO DE ÚTERO, SOLICITADO OU AVALIADO NOS ÚLTIMOS 36 MESES;MULHERES ENTRE 25 E 64 ANOS;TER REGISTRO DE PELO MENOS UMA DOSE DA VACINA HPV;CRIANÇAS E ADOLESCENTES DO SEXO FEMININO ENTRE 09 E 14 ANOS;TER REGISTRO DE ATENDIMENTOS PRESENCIAIS OU REMOTOS SOBRE ATENÇÃO À SAÚDE SEXUAL E REPRODUTIVA, REALIZADO NOS ÚLTIMOS 12 MESES;ADOLESCENTES DO SEXO FEMININO E MULHERES ENTRE 14 E 69 ANOS;TER REGISTRO DE PELO MENOS 01 EXAME DE RASTREAMENTO PARA CÂNCER DE MAMA EM MULHERES DE 50 A 69 ANOS, SOLICITADO OU AVALIADO NOS ÚLTIMOS 24 MESES;MULHERES ENTRE 50 E 69 ANOS;PONTUAÇÃO
"2710854";"UBS IV PLANO DR JULVIS ARRUDA MATOS";"CENTRO DE SAUDE/UNIDADE BASICA";"0000441708";"ESF 46 - 4º PLANO";"eSF";"64";"798";"70";"100";"29";"1113";"7";"421";"23,70"
"2711117";"UBS MARACANA MOTOHIDE HIRAISHI";"CENTRO DE SAUDE/UNIDADE BASICA";"0000441945";"ESF 22 - ALECRIM";"eSF";"147";"934";"138";"175";"110";"1267";"12";"394";"30,00"
"2711125";"UBS PARQUE DAS NACOES II DR LUIZ ANTONIO ALVES";"CENTRO DE SAUDE/UNIDADE BASICA";"0000441988";"ESF 19 - PARQUE NACOES II";"eSF";"69";"690";"102";"126";"49";"948";"31";"294";"30,00"
"5592593";"UBS ALTOS DO INDAIA DRA HELENA YOSHIE MORIBE";"CENTRO DE SAUDE/UNIDADE BASICA";"0001623109";"ESF - 50 ALTOS DO INDAIA";"eSF";"77";"722";"67";"90";"61";"922";"26";"201";"29,00"
"3239837";"UBS JOQUEI CLUBE ANTONIO DA COSTA CARVALHO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001713701";"ESF 62 - CARANDA";"eSF";"233";"693";"107";"129";"86";"970";"14";"260";"35,40"
"2711052";"UBS CUIABAZINHO FREI HUGOLINO BECKER";"CENTRO DE SAUDE/UNIDADE BASICA";"0000441864";"ESF 40 - CUIABAZINHO";"eSF";"84";"701";"65";"82";"88";"949";"26";"319";"30,60"
"2711109";"UBS SELETA BIANOR ALVES DA SILVA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000442119";"ESF 39 - SELETA";"eSF";"68";"801";"72";"99";"59";"1098";"20";"365";"26,20"
"2711001";"UBS VILA FORMOSA MACAUBA ARINO PEREIRA DE MATTOS";"CENTRO DE SAUDE/UNIDADE BASICA";"0000441821";"ESF 205 VILA MACAUBA / FORMOSA";"eSF";"101";"427";"47";"68";"49";"587";"30";"207";"30,80"
"2710889";"UBS CSU DR LEON TOLSTOI RODRIGUES DE LIMA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000441783";"ESF 47- CSU";"eSF";"101";"919";"96";"136";"65";"1257";"88";"464";"28,80"
"2711141";"UBS VILA HILDA DR ARCHIDUQUE FERNANDES";"CENTRO DE SAUDE/UNIDADE BASICA";"0000442038";"ESF 14 - VILA HILDA";"eSF";"245";"645";"81";"103";"55";"899";"64";"304";"37,20"
"2710870";"UBS SANTO ANDRE MARLUCIA ARAUJO LUPINETTI";"CENTRO DE SAUDE/UNIDADE BASICA";"0000441740";"ESF 51 - SANTO ANDRE";"eSF";"165";"1034";"79";"117";"54";"1412";"24";"561";"25,50"
"3768074";"UBS VILA VIEIRA AUX ENF ELIS RENY DOS SANTOS";"CENTRO DE SAUDE/UNIDADE BASICA";"0000442089";"ESF 33 - VILA VIEIRA";"eSF";"131";"969";"89";"119";"49";"1251";"6";"445";"26,60"
"2711117";"UBS MARACANA MOTOHIDE HIRAISHI";"CENTRO DE SAUDE/UNIDADE BASICA";"0000441937";"ESF 23 - HORTELA";"eSF";"119";"1123";"133";"167";"137";"1534";"16";"465";"29,40"
"7489102";"UBS GUAICURUS ERISVALDO MENDONCA DOS SANTOS";"CENTRO DE SAUDE/UNIDADE BASICA";"0001624822";"ESF 56 - GUAICURUS";"eSF";"25";"473";"53";"66";"58";"612";"5";"119";"28,80"
"2711052";"UBS CUIABAZINHO FREI HUGOLINO BECKER";"CENTRO DE SAUDE/UNIDADE BASICA";"0000441856";"ESF 15 - CUIABAZINHO";"eSF";"167";"620";"79";"97";"34";"822";"20";"254";"32,60"
"2710862";"UBS IZIDRO PEDROSO DR MOACIR STEIN ARRUDA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000441732";"ESF 32 - IZIDRO PEDROSO";"eSF";"64";"817";"77";"104";"26";"1068";"70";"411";"27,90"
"9837663";"UBS ILDEFONSO PEDROSO DR LUIZ CARLOS SIEBERT";"CENTRO DE SAUDE/UNIDADE BASICA";"0001686232";"ESF 61 - IPE BRANCO";"eSF";"148";"691";"91";"126";"101";"940";"24";"218";"31,40"
"2710889";"UBS CSU DR LEON TOLSTOI RODRIGUES DE LIMA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000441775";"ESF 48 - CSU";"eSF";"29";"814";"87";"106";"49";"1102";"45";"376";"29,00"
"2711095";"UBS OURO VERDE TAKEO TAKIMOTO";"CENTRO DE SAUDE/UNIDADE BASICA";"0000441899";"ESF 36 - OURO VERDE";"eSF";"94";"979";"85";"131";"64";"1343";"45";"429";"24,90"
"2710854";"UBS IV PLANO DR JULVIS ARRUDA MATOS";"CENTRO DE SAUDE/UNIDADE BASICA";"0000441694";"ESF 45 - 4º PLANO";"eSF";"97";"698";"70";"91";"26";"923";"30";"316";"28,60"
"6943551";"UBS CAMPO DOURADO ACS MARTA SIQUEIRA RODRIGUES";"CENTRO DE SAUDE/UNIDADE BASICA";"0000442224";"ESF 44 - CAMPO DOURADO";"eSF";"70";"728";"89";"118";"59";"959";"26";"238";"28,50"
"9837663";"UBS ILDEFONSO PEDROSO DR LUIZ CARLOS SIEBERT";"CENTRO DE SAUDE/UNIDADE BASICA";"0001686224";"ESF 60 - IPE AMARELO";"eSF";"132";"459";"84";"108";"57";"646";"8";"117";"33,10"
"3489159";"UBS BEM TE VI VEREADOR AMERICO MONTEIRO SALGADO";"CENTRO DE SAUDE/UNIDADE BASICA";"0000442070";"ESF 29 - BEM-TE-VI";"eSF";"163";"823";"93";"124";"44";"1066";"51";"262";"31,60"
"2710986";"UBS PANAMBI E SAO PEDRO";"CENTRO DE SAUDE/UNIDADE BASICA";"0000441805";"ESF 202 PANAMBI/VILA SAO PEDRO";"eSF";"39";"374";"37";"43";"31";"506";"37";"190";"33,60"
"2710862";"UBS IZIDRO PEDROSO DR MOACIR STEIN ARRUDA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000441724";"ESF 31 - IZIDRO PEDROSO";"eSF";"28";"791";"73";"109";"44";"1073";"23";"386";"23,20"
"2711044";"UBS VILA VARGAS ANTONIA MARQUES";"CENTRO DE SAUDE/UNIDADE BASICA";"0000441848";"ESF 204 - VILA VARGAS";"eSF";"267";"562";"71";"78";"93";"748";"39";"276";"43,30"
"6822924";"UBS VILA INDIO ENF JACI SILVA MARTINS";"CENTRO DE SAUDE/UNIDADE BASICA";"0000442216";"ESF 43 - VILA INDIO";"eSF";"102";"1043";"96";"137";"78";"1382";"65";"478";"27,40"
"2710870";"UBS SANTO ANDRE MARLUCIA ARAUJO LUPINETTI";"CENTRO DE SAUDE/UNIDADE BASICA";"0000441767";"ESF 49 - SANTO ANDRE";"eSF";"217";"841";"66";"88";"59";"1165";"17";"482";"29,90"
"5592615";"UBS NOVO HORIZONTE DR JOAQUIM LOURENCO FILHO";"CENTRO DE SAUDE/UNIDADE BASICA";"0000442135";"ESF 16 - NOVO HORIZONTE";"eSF";"76";"542";"62";"99";"37";"721";"12";"184";"24,40"
"3977927";"UBS PARQUE DO LAGO II DR NELSON RODOLFO KOZOROSKI";"CENTRO DE SAUDE/UNIDADE BASICA";"0001713728";"ESF 63 - DAS PEDRAS";"eSF";"101";"1001";"114";"146";"76";"1298";"28";"216";"29,80"
