Ministério da Saúde MS
Secretaria de Atenção Primária à Saúde SAPS
Sistema de Informação para a Atenção Primária à Saúde – SIAPS
Dado gerado em: 13 de outubro de 2025 - 13:46h
Relatório Qualidade - Visão por Competência

Dados Sócio Demográficos:
UF: MS
Município: 500570 / NAVIRAÍ

Filtro:
Indicador: Prevenção do câncer na mulher
Competência selecionada: AGO/25
Tipo de Equipe: eAP, eSF

CNES;ESTABELECIMENTO;TIPO DO ESTABELECIMENTO;INE;NOME DA EQUIPE;SIGLA DA EQUIPE;TER REGISTRO DE PELO MENOS 01 EXAME DE RASTREAMENTO PARA CÂNCER DO COLO DE ÚTERO, SOLICITADO OU AVALIADO NOS ÚLTIMOS 36 MESES;MULHERES ENTRE 25 E 64 ANOS;TER REGISTRO DE PELO MENOS UMA DOSE DA VACINA HPV;CRIANÇAS E ADOLESCENTES DO SEXO FEMININO ENTRE 09 E 14 ANOS;TER REGISTRO DE ATENDIMENTOS PRESENCIAIS OU REMOTOS SOBRE ATENÇÃO À SAÚDE SEXUAL E REPRODUTIVA, REALIZADO NOS ÚLTIMOS 12 MESES;ADOLESCENTES DO SEXO FEMININO E MULHERES ENTRE 14 E 69 ANOS;TER REGISTRO DE PELO MENOS 01 EXAME DE RASTREAMENTO PARA CÂNCER DE MAMA EM MULHERES DE 50 A 69 ANOS, SOLICITADO OU AVALIADO NOS ÚLTIMOS 24 MESES;MULHERES ENTRE 50 E 69 ANOS;PONTUAÇÃO
"2374285";"EAP PORTO CAIUA";"CENTRO DE SAUDE/UNIDADE BASICA";"0002255111";"EAP PORTO CAIUA";"eAP";"14";"37";"8";"8";"0";"45";"2";"14";"40,50"
"2892871";"EAP JUNCAL";"CENTRO DE SAUDE/UNIDADE BASICA";"0002255235";"EAP JUNCAL";"eAP";"29";"61";"8";"8";"3";"86";"9";"38";"45,20"
"5657512";"ESF SAO PEDRO";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443328";"ESF SAO PEDRO";"eSF";"111";"534";"56";"69";"6";"737";"5";"291";"29,00"
"2374250";"CENTRO DE SAUDE DR ANTONITO PIRES DE SOUZA";"CENTRO DE SAUDE/UNIDADE BASICA";"0002287595";"EAP ANTONITO PIRES 2";"eAP";"12";"42";"2";"2";"1";"57";"2";"15";"38,90"
"7018428";"ESF SOL NASCENTE";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443379";"ESF SOL NASCENTE";"eSF";"158";"1228";"163";"210";"21";"1570";"12";"406";"26,90"
"5966523";"ESF MARIA DE LOURDES DOS SANTOS";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443336";"ESF MARIA DE LOURDES";"eSF";"201";"978";"99";"134";"19";"1317";"21";"448";"27,60"
"2374250";"CENTRO DE SAUDE DR ANTONITO PIRES DE SOUZA";"CENTRO DE SAUDE/UNIDADE BASICA";"0002246570";"EAP ANTONITO PIRES 1";"eAP";"150";"459";"43";"50";"6";"616";"30";"193";"35,70"
"5322804";"ESF RONAN MARQUES";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443301";"ESF RONAN MARQUES";"eSF";"175";"900";"87";"117";"11";"1171";"15";"453";"27,20"
"3126013";"ESF BOA VISTA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443298";"ESF BOA VISTA";"eSF";"267";"746";"95";"117";"21";"984";"41";"371";"34,40"
"8005567";"ESF PARAISO I";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443387";"ESF PARAISO I";"eSF";"143";"528";"64";"78";"9";"728";"55";"235";"35,10"
"7545789";"ESF PARAISO II";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443395";"ESF PARAISO II";"eSF";"47";"419";"67";"75";"19";"597";"3";"172";"30,30"
"2374269";"ESF DR CARLOS VIDOTO";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443263";"ESF CARLOS VIDOTO";"eSF";"173";"825";"94";"111";"20";"1125";"31";"379";"31,70"
"7001878";"ESF VILA NOVA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443360";"ESF VILA NOVA";"eSF";"407";"1102";"187";"221";"32";"1562";"5";"382";"33,70"
"2558688";"ESF PE ANTONIO KOREMAN";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443271";"ESF PADRE KOREMAN";"eSF";"208";"921";"124";"146";"6";"1211";"23";"479";"31,10"
"9912835";"ESF IPE";"CENTRO DE SAUDE/UNIDADE BASICA";"0001687301";"ESF IPE";"eSF";"173";"672";"80";"101";"21";"923";"7";"232";"30,20"

Fonte: Sistema de Informação para a Atenção Primária à Saúde - SIAPS
Dado preliminar
