Ministério da Saúde MS
Secretaria de Atenção Primária à Saúde SAPS
Sistema de Informação para a Atenção Primária à Saúde – SIAPS
Dado gerado em: 13 de outubro de 2025 - 13:47h
Relatório Qualidade - Visão por Competência

Dados Sócio Demográficos:
UF: MS
Município: 500620 / NOVA ANDRADINA

Filtro:
Indicador: Prevenção do câncer na mulher
Competência selecionada: AGO/25
Tipo de Equipe: eAP, eSF

CNES;ESTABELECIMENTO;TIPO DO ESTABELECIMENTO;INE;NOME DA EQUIPE;SIGLA DA EQUIPE;TER REGISTRO DE PELO MENOS 01 EXAME DE RASTREAMENTO PARA CÂNCER DO COLO DE ÚTERO, SOLICITADO OU AVALIADO NOS ÚLTIMOS 36 MESES;MULHERES ENTRE 25 E 64 ANOS;TER REGISTRO DE PELO MENOS UMA DOSE DA VACINA HPV;CRIANÇAS E ADOLESCENTES DO SEXO FEMININO ENTRE 09 E 14 ANOS;TER REGISTRO DE ATENDIMENTOS PRESENCIAIS OU REMOTOS SOBRE ATENÇÃO À SAÚDE SEXUAL E REPRODUTIVA, REALIZADO NOS ÚLTIMOS 12 MESES;ADOLESCENTES DO SEXO FEMININO E MULHERES ENTRE 14 E 69 ANOS;TER REGISTRO DE PELO MENOS 01 EXAME DE RASTREAMENTO PARA CÂNCER DE MAMA EM MULHERES DE 50 A 69 ANOS, SOLICITADO OU AVALIADO NOS ÚLTIMOS 24 MESES;MULHERES ENTRE 50 E 69 ANOS;PONTUAÇÃO
"3881032";"ESF CENTRO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001711717";"SAUDE NA HORA II";"eSF";"26";"498";"57";"63";"31";"644";"1";"225";"29,60"
"3881032";"ESF CENTRO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001711725";"SAUDE NA HORA III";"eSF";"5";"394";"38";"47";"3";"516";"1";"169";"24,90"
"6669239";"ESF VILA BEATRIZ";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443638";"ESF - VILA BEATRIZ";"eSF";"28";"811";"105";"124";"52";"1099";"5";"353";"27,80"
"3188957";"ESF HORTO FLORESTAL";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443603";"ESF - HORTO FLORESTAL";"eSF";"16";"744";"96";"111";"55";"1037";"5";"314";"28,20"
"2612038";"ESF CENTRO EDUCACIONAL";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443549";"ESF - CENTRO EDUCACIONAL";"eSF";"25";"614";"68";"86";"21";"879";"1";"293";"25,30"
"2612046";"ESF SAO VICENTE";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443557";"ESF - SAO VICENTE";"eSF";"22";"850";"91";"111";"21";"1144";"2";"397";"25,80"
"0187941";"ESF UNIVERSITARIO";"CENTRO DE SAUDE/UNIDADE BASICA";"0002022532";"ESF - UNIVERSITARIO";"eSF";"85";"846";"106";"133";"35";"1070";"2";"175";"27,10"
"3881032";"ESF CENTRO";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443611";"SAUDE NA HORA I";"eSF";"10";"422";"42";"48";"15";"573";"4";"220";"28,00"
"2612054";"ESF NOVA CASA VERDE";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443565";"ESF - NOVA CASA VERDE";"eSF";"13";"676";"91";"119";"9";"927";"1";"306";"23,70"
"2612054";"ESF NOVA CASA VERDE";"CENTRO DE SAUDE/UNIDADE BASICA";"0002212714";"EAP - NOVA CASA VERDE";"eAP";"0";"1";"0";"0";"0";"2";"0";"0";"0,00"
"2612062";"ESF IRMAN RIBEIRO";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443573";"ESF - IRMAN RIBEIRO";"eSF";"151";"770";"79";"102";"60";"1064";"19";"358";"29,90"
"2600374";"ESF MORADA DO SOL";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443530";"ESF - MORADA DO SOL";"eSF";"10";"675";"89";"107";"37";"923";"2";"289";"26,60"
"4388178";"EAP CEM";"CENTRO DE SAUDE/UNIDADE BASICA";"0002313715";"EAP - CEM";"eAP";"0";"0";"0";"0";"0";"0";"0";"0";"0,00"
"2612070";"ESF VILA OPERARIA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443581";"ESF - VILA OPERARIA";"eSF";"11";"799";"108";"133";"50";"1085";"1";"324";"26,20"
"2600374";"ESF MORADA DO SOL";"CENTRO DE SAUDE/UNIDADE BASICA";"0002439220";"ESF - MORADA DO SOL - EQUIPE 2";"eSF";"93";"597";"92";"98";"206";"858";"54";"212";"43,60"

Fonte: Sistema de Informação para a Atenção Primária à Saúde - SIAPS
Dado preliminar
