Ministério da Saúde MS
Secretaria de Atenção Primária à Saúde SAPS
Sistema de Informação para a Atenção Primária à Saúde – SIAPS
Dado gerado em: 13 de outubro de 2025 - 13:49h
Relatório Qualidade - Visão por Competência

Dados Sócio Demográficos:
UF: MS
Município: 500630 / PARANAÍBA

Filtro:
Indicador: Prevenção do câncer na mulher
Competência selecionada: AGO/25
Tipo de Equipe: eAP, eSF

CNES;ESTABELECIMENTO;TIPO DO ESTABELECIMENTO;INE;NOME DA EQUIPE;SIGLA DA EQUIPE;TER REGISTRO DE PELO MENOS 01 EXAME DE RASTREAMENTO PARA CÂNCER DO COLO DE ÚTERO, SOLICITADO OU AVALIADO NOS ÚLTIMOS 36 MESES;MULHERES ENTRE 25 E 64 ANOS;TER REGISTRO DE PELO MENOS UMA DOSE DA VACINA HPV;CRIANÇAS E ADOLESCENTES DO SEXO FEMININO ENTRE 09 E 14 ANOS;TER REGISTRO DE ATENDIMENTOS PRESENCIAIS OU REMOTOS SOBRE ATENÇÃO À SAÚDE SEXUAL E REPRODUTIVA, REALIZADO NOS ÚLTIMOS 12 MESES;ADOLESCENTES DO SEXO FEMININO E MULHERES ENTRE 14 E 69 ANOS;TER REGISTRO DE PELO MENOS 01 EXAME DE RASTREAMENTO PARA CÂNCER DE MAMA EM MULHERES DE 50 A 69 ANOS, SOLICITADO OU AVALIADO NOS ÚLTIMOS 24 MESES;MULHERES ENTRE 50 E 69 ANOS;PONTUAÇÃO
"3050343";"UNIDADE SAUDE DA FAMILIA DRA ANNA LYGIA M COELHO";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443794";"ESF DRA ANNA LYGIA M. COELHO";"eSF";"5";"1024";"107";"135";"1";"1350";"6";"465";"24,20"
"2536412";"UNIDADE SAUDE DA FAMILIA DANIEL MARTINS FERREIRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443719";"ESF DANIEL MARTINS FERREIRA";"eSF";"3";"769";"77";"93";"2";"1028";"41";"387";"27,10"
"5927056";"UNIDADE SAUDE DA FAMILIA HILDA DA SILVA OLIVEIRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443808";"ESF HILDA DA SILVA OLIVEIRA";"eSF";"8";"1061";"107";"167";"3";"1446";"19";"385";"20,50"
"3050238";"UNIDADE SAUDE DA FAMILIA SANTANA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443727";"ESF SANTANA";"eSF";"10";"1296";"93";"144";"5";"1698";"36";"565";"21,00"
"3050270";"UNIDADE SAUDE DA FAMILIA SANTA LUCIA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443735";"ESF SANTA LUCIA";"eSF";"9";"1113";"66";"116";"3";"1449";"18";"458";"18,20"
"2536404";"UNIDADE SAUDE DA FAMILIA NOSSA SENHORA DE LOURDES";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443689";"ESF NOSSA SENHORA DE LOURDES";"eSF";"2";"721";"84";"115";"0";"973";"9";"264";"22,70"
"2536412";"UNIDADE SAUDE DA FAMILIA DANIEL MARTINS FERREIRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443700";"ESF DANIEL MARTINS FERREIRA";"eSF";"4";"603";"47";"70";"5";"822";"28";"307";"22,20"
"3050319";"UNIDADE SAUDE DA FAMILIA SANTO ANTONIO";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443778";"ESF SANTO ANTONIO";"eSF";"6";"736";"60";"70";"2";"965";"6";"355";"26,30"
"3050319";"UNIDADE SAUDE DA FAMILIA SANTO ANTONIO";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443786";"ESF SANTO ANTONIO";"eSF";"6";"680";"57";"83";"1";"905";"5";"323";"21,10"
"3050270";"UNIDADE SAUDE DA FAMILIA SANTA LUCIA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443743";"ESF SANTA LUCIA";"eSF";"7";"213";"11";"18";"3";"267";"4";"113";"20,00"
"3050270";"UNIDADE SAUDE DA FAMILIA SANTA LUCIA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443751";"ESF SANTA LUCIA";"eSF";"8";"967";"82";"125";"5";"1295";"14";"437";"20,60"
"2536404";"UNIDADE SAUDE DA FAMILIA NOSSA SENHORA DE LOURDES";"CENTRO DE SAUDE/UNIDADE BASICA";"0000443697";"ESF NOSSA SENHORA DE LOURDES";"eSF";"8";"831";"85";"132";"2";"1097";"33";"303";"21,80"

Fonte: Sistema de Informação para a Atenção Primária à Saúde - SIAPS
Dado preliminar
