Ministério da Saúde MS
Secretaria de Atenção Primária à Saúde SAPS
Sistema de Informação para a Atenção Primária à Saúde – SIAPS
Dado gerado em: 13 de outubro de 2025 - 13:52h
Relatório Qualidade - Visão por Competência

Dados Sócio Demográficos:
UF: MS
Município: 500720 / RIO BRILHANTE

Filtro:
Indicador: Prevenção do câncer na mulher
Competência selecionada: AGO/25
Tipo de Equipe: eAP, eSF

CNES;ESTABELECIMENTO;TIPO DO ESTABELECIMENTO;INE;NOME DA EQUIPE;SIGLA DA EQUIPE;TER REGISTRO DE PELO MENOS 01 EXAME DE RASTREAMENTO PARA CÂNCER DO COLO DE ÚTERO, SOLICITADO OU AVALIADO NOS ÚLTIMOS 36 MESES;MULHERES ENTRE 25 E 64 ANOS;TER REGISTRO DE PELO MENOS UMA DOSE DA VACINA HPV;CRIANÇAS E ADOLESCENTES DO SEXO FEMININO ENTRE 09 E 14 ANOS;TER REGISTRO DE ATENDIMENTOS PRESENCIAIS OU REMOTOS SOBRE ATENÇÃO À SAÚDE SEXUAL E REPRODUTIVA, REALIZADO NOS ÚLTIMOS 12 MESES;ADOLESCENTES DO SEXO FEMININO E MULHERES ENTRE 14 E 69 ANOS;TER REGISTRO DE PELO MENOS 01 EXAME DE RASTREAMENTO PARA CÂNCER DE MAMA EM MULHERES DE 50 A 69 ANOS, SOLICITADO OU AVALIADO NOS ÚLTIMOS 24 MESES;MULHERES ENTRE 50 E 69 ANOS;PONTUAÇÃO
"7613687";"ESTRATEGIA SAUDE DA FAMILIA VILA FATIMA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000444200";"USF - VILA FATIMA";"eSF";"63";"800";"128";"144";"2";"1116";"1";"304";"28,50"
"7323093";"ESTRATEGIA SAUDE DA FAMILIA BRILHANTE";"CENTRO DE SAUDE/UNIDADE BASICA";"0001484737";"ESF BRILHANTE";"eSF";"61";"762";"102";"116";"2";"1022";"8";"360";"28,50"
"2804492";"CENTRO DE SAUDE RIO BRILHANTE";"UNIDADE MISTA";"0002310503";"CENTRO DE SAUDE 01";"eAP";"6";"186";"29";"31";"0";"241";"0";"73";"28,70"
"3085287";"ESTRATEGIA SAUDE DA FAMILIA FAUZER SALIBA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000444243";"USF - BENEDITO RONDON";"eSF";"26";"1196";"197";"215";"3";"1572";"2";"370";"28,10"
"3865657";"ESTRATEGIA SAUDE DA FAMILIA CARLOS VOLPE";"CENTRO DE SAUDE/UNIDADE BASICA";"0000444251";"USF - CENTRAL";"eSF";"21";"763";"100";"112";"6";"999";"0";"301";"27,60"
"2804506";"ESTRATEGIA SAUDE DA FAMILIA FRANCISCO AUGUSTO G DE MELLO";"CENTRO DE SAUDE/UNIDADE BASICA";"0000444197";"USF-DR.FRANCISCO A G DE MELLO";"eSF";"22";"739";"90";"104";"4";"1009";"1";"315";"26,80"
"6727042";"ESTRATEGIA SAUDE DA FAMILIA CELINA MARTINS JALAD XIV";"CENTRO DE SAUDE/UNIDADE BASICA";"0000444294";"PRO MORADIA XIV";"eSF";"65";"808";"136";"152";"2";"1105";"3";"216";"28,80"
"2804514";"ESTRATEGIA SAUDE DA FAMILIA JAIME MEDEIROS";"CENTRO DE SAUDE/UNIDADE BASICA";"0000444219";"USF - JAIME MEDEIROS";"eSF";"147";"761";"132";"147";"3";"1053";"27";"278";"32,80"
"2804492";"CENTRO DE SAUDE RIO BRILHANTE";"UNIDADE MISTA";"0002326930";"CENTRO DE SAUDE 02";"eAP";"3";"44";"0";"0";"0";"49";"0";"23";"1,40"
"2804522";"ESTRATEGIA SAUDE DA FAMILIA RURAL";"CENTRO DE SAUDE/UNIDADE BASICA";"0000444227";"USF - RURAL";"eSF";"11";"309";"38";"43";"1";"400";"0";"211";"27,30"
"2804530";"ESTRATEGIA SAUDE DA FAMILIA ANTONIO APARECIDO BITENCOURT";"CENTRO DE SAUDE/UNIDADE BASICA";"0000444235";"USF - PRUDENCIO THOMAZ";"eSF";"29";"612";"133";"142";"29";"835";"38";"256";"33,00"
"4394542";"ESTRATEGIA SAUDE DA FAMILIA NOVA RIO BRILHANTE";"CENTRO DE SAUDE/UNIDADE BASICA";"0002406543";"NOVA RIO BRILHANTE";"eSF";"82";"894";"181";"195";"1";"1230";"3";"181";"29,90"

Fonte: Sistema de Informação para a Atenção Primária à Saúde - SIAPS
Dado preliminar
