Ministério da Saúde MS
Secretaria de Atenção Primária à Saúde SAPS
Sistema de Informação para a Atenção Primária à Saúde – SIAPS
Dado gerado em: 13 de outubro de 2025 - 13:56h
Relatório Qualidade - Visão por Competência

Dados Sócio Demográficos:
UF: MS
Município: 500790 / SIDROLÂNDIA

Filtro:
Indicador: Prevenção do câncer na mulher
Competência selecionada: AGO/25
Tipo de Equipe: eAP, eSF

CNES;ESTABELECIMENTO;TIPO DO ESTABELECIMENTO;INE;NOME DA EQUIPE;SIGLA DA EQUIPE;TER REGISTRO DE PELO MENOS 01 EXAME DE RASTREAMENTO PARA CÂNCER DO COLO DE ÚTERO, SOLICITADO OU AVALIADO NOS ÚLTIMOS 36 MESES;MULHERES ENTRE 25 E 64 ANOS;TER REGISTRO DE PELO MENOS UMA DOSE DA VACINA HPV;CRIANÇAS E ADOLESCENTES DO SEXO FEMININO ENTRE 09 E 14 ANOS;TER REGISTRO DE ATENDIMENTOS PRESENCIAIS OU REMOTOS SOBRE ATENÇÃO À SAÚDE SEXUAL E REPRODUTIVA, REALIZADO NOS ÚLTIMOS 12 MESES;ADOLESCENTES DO SEXO FEMININO E MULHERES ENTRE 14 E 69 ANOS;TER REGISTRO DE PELO MENOS 01 EXAME DE RASTREAMENTO PARA CÂNCER DE MAMA EM MULHERES DE 50 A 69 ANOS, SOLICITADO OU AVALIADO NOS ÚLTIMOS 24 MESES;MULHERES ENTRE 50 E 69 ANOS;PONTUAÇÃO
"2370840";"SAUDE LAR DO DISTRITO DE QUEBRA COCO";"CENTRO DE SAUDE/UNIDADE BASICA";"0000444685";"SAUDE LAR DIST. QUEBRA COCO";"eSF";"31";"357";"44";"58";"55";"472";"4";"160";"28,50"
"2370875";"UNIDADE DE SAUDE DA FAMILIA DA VILA SAO BENTO";"CENTRO DE SAUDE/UNIDADE BASICA";"0000444693";"UNID. SAUDE FAMILIA V.S. BENT";"eSF";"13";"909";"117";"140";"115";"1306";"5";"313";"28,30"
"5767776";"ESF OSCALINA NANTES";"CENTRO DE SAUDE/UNIDADE BASICA";"0001687670";"EQUIPE ESF MOVEL";"eSF";"30";"582";"58";"71";"32";"765";"17";"380";"27,70"
"5121728";"ESF CAPAO BONITO II";"CENTRO DE SAUDE/UNIDADE BASICA";"0000444782";"PSF DO ASSENT. C. BONITO II";"eSF";"180";"370";"57";"64";"22";"489";"25";"220";"40,00"
"5134609";"ESF CLEIDE PIRAN";"CENTRO DE SAUDE/UNIDADE BASICA";"0000444790";"PSF CLEIDE PIRAN";"eSF";"60";"934";"131";"166";"76";"1314";"19";"352";"27,80"
"2370883";"CENTRO DE SAUDE CENTRAL DE SIDROLANDIA";"CENTRO DE SAUDE/UNIDADE BASICA";"0002323494";"ESF RURAL";"eSF";"11";"293";"24";"33";"17";"411";"2";"175";"24,00"
"7717725";"UNIDADE DE SAUDE DIVA NANTES";"CENTRO DE SAUDE/UNIDADE BASICA";"0000444758";"ESF DIVA NANTES";"eSF";"135";"1260";"179";"215";"140";"1759";"24";"345";"30,90"
"2370883";"CENTRO DE SAUDE CENTRAL DE SIDROLANDIA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000444715";"ESF CENTRAL";"eSF";"12";"662";"76";"106";"31";"857";"5";"247";"23,40"
"5767776";"ESF OSCALINA NANTES";"CENTRO DE SAUDE/UNIDADE BASICA";"0000444812";"ESF DO ASSENT. ELDORADO II";"eSF";"60";"671";"106";"117";"21";"904";"3";"413";"29,80"
"2370832";"UNIDADE SAUDE FAMILIA LAR DA VILA JANDAIA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000444677";"UNIDADE LAR DA VILA JANDAIA";"eSF";"34";"782";"80";"92";"35";"1038";"2";"338";"28,10"
"2676532";"ESF MALVINAS";"CENTRO DE SAUDE/UNIDADE BASICA";"0000444766";"UNID DE PSF DA VILA MALVINAS";"eSF";"16";"957";"123";"144";"60";"1332";"2";"357";"27,40"
"3959198";"ESF CASCATINHA II";"CENTRO DE SAUDE/UNIDADE BASICA";"0000444774";"PSF DO JARDIM CASCATINHA II";"eSF";"12";"822";"135";"167";"54";"1153";"11";"280";"26,80"
"2591421";"SAUDE LAR CAPAO BONITO I";"CENTRO DE SAUDE/UNIDADE BASICA";"0000444731";"SAUDE LAR DO CAPAO BONITO I";"eSF";"28";"191";"22";"27";"11";"252";"11";"116";"30,50"

Fonte: Sistema de Informação para a Atenção Primária à Saúde - SIAPS
Dado preliminar
