Ministério da Saúde MS
Secretaria de Atenção Primária à Saúde SAPS
Sistema de Informação para a Atenção Primária à Saúde – SIAPS
Dado gerado em: 13 de outubro de 2025 - 13:59h
Relatório Qualidade - Visão por Competência

Dados Sócio Demográficos:
UF: MS
Município: 500830 / TRÊS LAGOAS

Filtro:
Indicador: Prevenção do câncer na mulher
Competência selecionada: AGO/25
Tipo de Equipe: eAP, eSF

CNES;ESTABELECIMENTO;TIPO DO ESTABELECIMENTO;INE;NOME DA EQUIPE;SIGLA DA EQUIPE;TER REGISTRO DE PELO MENOS 01 EXAME DE RASTREAMENTO PARA CÂNCER DO COLO DE ÚTERO, SOLICITADO OU AVALIADO NOS ÚLTIMOS 36 MESES;MULHERES ENTRE 25 E 64 ANOS;TER REGISTRO DE PELO MENOS UMA DOSE DA VACINA HPV;CRIANÇAS E ADOLESCENTES DO SEXO FEMININO ENTRE 09 E 14 ANOS;TER REGISTRO DE ATENDIMENTOS PRESENCIAIS OU REMOTOS SOBRE ATENÇÃO À SAÚDE SEXUAL E REPRODUTIVA, REALIZADO NOS ÚLTIMOS 12 MESES;ADOLESCENTES DO SEXO FEMININO E MULHERES ENTRE 14 E 69 ANOS;TER REGISTRO DE PELO MENOS 01 EXAME DE RASTREAMENTO PARA CÂNCER DE MAMA EM MULHERES DE 50 A 69 ANOS, SOLICITADO OU AVALIADO NOS ÚLTIMOS 24 MESES;MULHERES ENTRE 50 E 69 ANOS;PONTUAÇÃO
"2757079";"UNIDADE DE SAUDE DA FAMILIA JOEL NEVES SILVA";"CENTRO DE SAUDE/UNIDADE BASICA";"0002371138";"ESF JOEL NEVES 3";"eSF";"27";"843";"143";"169";"8";"1128";"7";"266";"26,70"
"2757095";"UNIDADE DE SAUDE DA FAMILIA MIGUEL NUNES";"CENTRO DE SAUDE/UNIDADE BASICA";"0001637231";"ESF MIGUEL NUNES II";"eSF";"14";"883";"81";"100";"5";"1204";"9";"420";"25,10"
"2757168";"UNIDADE DE SAUDE DA FAMILIA VILA PILOTO ADRIANA CRISTINA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001691694";"ESF VILA PILOTO III";"eSF";"72";"636";"88";"94";"5";"830";"1";"233";"30,70"
"2757079";"UNIDADE DE SAUDE DA FAMILIA JOEL NEVES SILVA";"CENTRO DE SAUDE/UNIDADE BASICA";"0002172194";"EAP JOEL NEVES I";"eAP";"0";"0";"0";"0";"0";"0";"0";"0";"0,00"
"2757079";"UNIDADE DE SAUDE DA FAMILIA JOEL NEVES SILVA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001691414";"ESF JOEL NEVES I";"eSF";"9";"965";"104";"119";"3";"1273";"10";"460";"26,90"
"2757168";"UNIDADE DE SAUDE DA FAMILIA VILA PILOTO ADRIANA CRISTINA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000445207";"PSF VILA PILOTO 1";"eSF";"54";"586";"94";"102";"5";"795";"5";"267";"30,00"
"2757044";"UNIDADE BASICA DE SAUDE ALTAIR CABRAL TRANIM";"CENTRO DE SAUDE/UNIDADE BASICA";"0002172216";"EAP ALTAIR CABRAL TRANIM I";"eAP";"1";"157";"27";"30";"0";"208";"3";"87";"27,80"
"2757117";"UNIDADE DE SAUDE DA FAMILIA SANTA RITA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001691716";"ESF SANTA RITA III";"eSF";"26";"897";"91";"117";"3";"1219";"7";"399";"24,40"
"2757060";"UNIDADE DE SAUDE DA FAMILIA INTERLAGOS GABRIEL MARQUES FERNA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000445029";"ESF INTERLAGOS II";"eSF";"50";"515";"71";"81";"5";"749";"24";"253";"30,30"
"2757117";"UNIDADE DE SAUDE DA FAMILIA SANTA RITA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000445126";"PSF SANTA RITA I";"eSF";"10";"590";"59";"73";"6";"812";"6";"283";"25,10"
"2757060";"UNIDADE DE SAUDE DA FAMILIA INTERLAGOS GABRIEL MARQUES FERNA";"CENTRO DE SAUDE/UNIDADE BASICA";"0000445037";"ESF INTERLAGOS I";"eSF";"70";"655";"67";"81";"6";"861";"37";"261";"29,90"
"2757133";"UNIDADE DE SAUDE DA FAMILIA VILA ALEGRE";"CENTRO DE SAUDE/UNIDADE BASICA";"0001629573";"USF VILA ALEGRE II";"eSF";"17";"966";"113";"130";"3";"1269";"8";"349";"27,10"
