Ministério da Saúde MS
Secretaria de Atenção Primária à Saúde SAPS
Sistema de Informação para a Atenção Primária à Saúde – SIAPS
Dado gerado em: 13 de outubro de 2025 - 15:34h
Relatório Qualidade - Visão por Competência

Dados Sócio Demográficos:
UF: MS
Município: 500110 / AQUIDAUANA

Filtro:
Indicador: 1ª Consulta Odontológica programada na APS
Competência selecionada: AGO/25
Tipo de Equipe: eSB

CNES;ESTABELECIMENTO;TIPO DO ESTABELECIMENTO;INE;NOME DA EQUIPE;SIGLA DA EQUIPE;NÚMERO DE PRIMEIRAS CONSULTAS ODONTOLÓGICAS PROGRAMADAS REALIZADAS;POPULAÇÃO DE PARÂMETRO DA ESF/EAP;PONTUAÇÃO
"7525877";"UNIDADE DE SAUDE DA FAMILIA MODESTO PEREIRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001778455";"ODONTO TAUNAY/MORRINHO";"eSB";"276";"937";"29,50"
"2659662";"UNIDADE DE SAUDE DA FAMILIA SANTA TEREZINHA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001760742";"ODONTO CLAUDIO FERNADO STELLA";"eSB";"221";"2738";"8,10"
"5601010";"UNIDADE DE SAUDE DA FAMILIA BAIRRO ALTO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001740040";"ODONTO CANDIDO PINHEIRO FILHO";"eSB";"245";"2266";"10,80"
"2659662";"UNIDADE DE SAUDE DA FAMILIA SANTA TEREZINHA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001760122";"ODONTO JOSE VORIA";"eSB";"199";"2797";"7,10"
"0467499";"UNIDADE DE SAUDE DA FAMILIA DRA CELIA VAZ DE CAMPOS TRINDADE";"CENTRO DE SAUDE/UNIDADE BASICA";"0002150220";"ODONTO DRA CELIA VAZ TRINDADE";"eSB";"252";"2002";"12,60"
"7065817";"ESTRATEGIA DE SAUDE DA FAMILIA IZAURA BAES";"CENTRO DE SAUDE/UNIDADE BASICA";"0001761188";"ODONTO NOVA AQUIDAUANA II";"eSB";"150";"2110";"7,10"
"2360209";"UNIDADE DE SAUDE DA FAMILIA ELCIRIA RITA BRANDES GARCIA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001762036";"ODONTO VILA 40- SAO FRANCISCO";"eSB";"243";"2014";"12,10"
"2659670";"UNIDADE DE SAUDE DA FAMILIA CIDADE NOVA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001741330";"ODONTO JOAO ANDRE MADSEN";"eSB";"313";"3022";"10,40"
"2659670";"UNIDADE DE SAUDE DA FAMILIA CIDADE NOVA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001741586";"ODONTO TIAGO BOGADO FIGUEIREDO";"eSB";"146";"2498";"5,80"
"5601010";"UNIDADE DE SAUDE DA FAMILIA BAIRRO ALTO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001740423";"ODONTO JOAO JORGE CARNEIRO";"eSB";"128";"1787";"7,20"
"6315356";"ESTRATEGIA DE SAUDE DA FAMILIA SAO PEDRO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001735284";"ODONTO VILA SAO PEDRO";"eSB";"312";"2146";"14,50"
"3240053";"ESTRATEGIA DE SAUDE DA FAMILIA VILA TRINDADE";"CENTRO DE SAUDE/UNIDADE BASICA";"0001759760";"ODONTO VILA TRINDADE";"eSB";"313";"2080";"15,00"
"2360217";"UNIDADE DE SAUDE DA FAMILIA VILA PINHEIRO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001736612";"ODONTO VILA PINHEIRO";"eSB";"191";"2073";"9,20"
"6310834";"ESTRATEGIA DE SAUDE DA FAMILIA CIPOLANDIA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001738658";"ODONTO CIPOLANDIA";"eSB";"116";"1178";"9,80"
"3240061";"ESTRATEGIA DE SAUDE DA FAMILIA GUANANDY";"CENTRO DE SAUDE/UNIDADE BASICA";"0001756990";"ODONTO GUANANDY";"eSB";"144";"2796";"5,20"
"2360225";"ESTRATEGIA DE SAUDE DA FAMILIA CAMISAO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001775413";"ODONTO CAMISAO/PIRAPUTANGA";"eSB";"295";"1320";"22,30"
"2659689";"ESTRATEGIA DE SAUDE DA FAMILIA NOVA AQUIDAUANA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001737775";"ODONTO NOVA AQUIDAUANA";"eSB";"121";"2850";"4,20"

Fonte: Sistema de Informação para a Atenção Primária à Saúde - SIAPS
Dado preliminar
