Ministério da Saúde MS
Secretaria de Atenção Primária à Saúde SAPS
Sistema de Informação para a Atenção Primária à Saúde – SIAPS
Dado gerado em: 13 de outubro de 2025 - 15:40h
Relatório Qualidade - Visão por Competência

Dados Sócio Demográficos:
UF: MS
Município: 500270 / CAMPO GRANDE

Filtro:
Indicador: 1ª Consulta Odontológica programada na APS
Competência selecionada: AGO/25
Tipo de Equipe: eSB

CNES;ESTABELECIMENTO;TIPO DO ESTABELECIMENTO;INE;NOME DA EQUIPE;SIGLA DA EQUIPE;NÚMERO DE PRIMEIRAS CONSULTAS ODONTOLÓGICAS PROGRAMADAS REALIZADAS;POPULAÇÃO DE PARÂMETRO DA ESF/EAP;PONTUAÇÃO
"0010219";"SESAU USF INDUBRASIL MANOEL SECCO THOME";"CENTRO DE SAUDE/UNIDADE BASICA";"0001755900";"EQUIPE VERMELHA - ESB";"eSB";"146";"1806";"8,10"
"0010146";"SESAU USF MATA DO JACINTO DR ADEMAR GUEDES DE SOUZA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001728644";"EQUIPE VERMELHA - ESB";"eSB";"237";"2676";"8,90"
"0010278";"SESAU USF MARIA APARECIDA PEDROSSIAN";"CENTRO DE SAUDE/UNIDADE BASICA";"0001755749";"EQUIPE SAO JOSE - ESB";"eSB";"22";"1216";"1,80"
"6585612";"SESAU USF VIDA NOVA III AQUINO DIAS BEZERRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001796178";"EQUIPE ANACHE - ESB";"eSB";"229";"2891";"7,90"
"2874474";"SESAU USF SANTA EMILIA JEFERSON RODRIGUES DE SOUZA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001731017";"EQUIPE JOAO DE BARROS - ESB";"eSB";"299";"2318";"12,90"
"0010340";"SESAU USF ALVES PEREIRA DR WALFRIDO AZAMBUJA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001754815";"EQUIPE LARANJA - ESB";"eSB";"152";"1354";"11,20"
"0028851";"SESAU USF COOPHAVILA II ALFREDO NEDER";"CENTRO DE SAUDE/UNIDADE BASICA";"0001744291";"EQUIPE ACQUA - ESB";"eSB";"151";"2483";"6,10"
"3051927";"SESAU USF ZE PEREIRA DR JURANDYR DE CASTRO COIMBRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001746510";"EQUIPE VERMELHA - ESB";"eSB";"302";"1593";"19,00"
"9983449";"SESAU USF CRISTO REDENTOR DR CARLOS A JURGIELEWCZ";"CENTRO DE SAUDE/UNIDADE BASICA";"0001729691";"EQUIPE HORTENSIA - ESB";"eSB";"162";"1839";"8,80"
"0028835";"SESAU USF PARQUE DO SOL DR BENJAMIM ASATO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001744852";"EQUIPE FENIX - ESB";"eSB";"86";"1800";"4,80"
"3598209";"SESAU USF AERO ITALIA HERBERTO CALADO REBELO";"CENTRO DE SAUDE/UNIDADE BASICA";"0002040530";"EQUIPE HORTO FLORESTAL - ESB";"eSB";"37";"1690";"2,20"
"3005690";"SESAU USF JARDIM NOROESTE";"CENTRO DE SAUDE/UNIDADE BASICA";"0001743910";"EQUIPE FLORES DO CERRADO - ESB";"eSB";"194";"2936";"6,60"
"9443525";"SESAU USF OLIVEIRA II BENEDITO MARTINS GONCALVES";"CENTRO DE SAUDE/UNIDADE BASICA";"0001744569";"EQUIPE MARIA J FREITAS - ESB";"eSB";"245";"2724";"9,00"
"5506158";"SESAU CF DR MAURO R BARROS WANDERLEY IRACY COELHO NETTO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001718843";"EQUIPE IPE AZUL - ESB";"eSB";"38";"3072";"1,20"
"6585612";"SESAU USF VIDA NOVA III AQUINO DIAS BEZERRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001743759";"EQUIPE TARSILA - ESB";"eSB";"246";"3373";"7,30"
"2874474";"SESAU USF SANTA EMILIA JEFERSON RODRIGUES DE SOUZA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001747835";"EQUIPE GIRASSOL - ESB";"eSB";"234";"2586";"9,00"
"2752530";"SESAU CF DRA MARCIA DE SA EARP NOVA LIMA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001724835";"EQUIPE FOGO - ESB";"eSB";"144";"2389";"6,00"
"0010197";"SESAU USF SERRADINHO DR SUMIE IKEDA RODRIGUES";"CENTRO DE SAUDE/UNIDADE BASICA";"0001755072";"EQUIPE FENIX - ESB";"eSB";"168";"3332";"5,00"
"3198278";"SESAU USF PAULO COELHO MACHADO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001750569";"EQUIPE PRATA - ESB";"eSB";"55";"1591";"3,50"
"3499642";"SESAU USF JARDIM PRESIDENTE DR NASRI SIUFI";"CENTRO DE SAUDE/UNIDADE BASICA";"0002164620";"EQUIPE ALFA - ESB";"eSB";"357";"2814";"12,70"
"0010200";"SESAU USF JARDIM BONANCA DR HIROSE ADANIA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001735101";"EQUIPE LEOPARDO - ESB";"eSB";"230";"2277";"10,10"
"6731198";"SESAU USF JOSE TAVARES DO COUTO DR FERNANDO DE ARRUDA TORRES";"CENTRO DE SAUDE/UNIDADE BASICA";"0001735209";"EQUIPE LUZ - ESB";"eSB";"92";"2235";"4,10"
"2752530";"SESAU CF DRA MARCIA DE SA EARP NOVA LIMA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001724290";"EQUIPE AR - ESB";"eSB";"70";"2216";"3,20"
"0024341";"SESAU USF JARDIM ITAMARACA EDSON QUINTINO MENDES";"CENTRO DE SAUDE/UNIDADE BASICA";"0001744682";"EQUIPE SAO TOME - ESB";"eSB";"97";"1300";"7,50"
"0010316";"SESAU USF CIDADE MORENA DR VICENTE FRAGELLI";"CENTRO DE SAUDE/UNIDADE BASICA";"0001749579";"EQUIPE ROSA - ESB";"eSB";"315";"2854";"11,00"
"5672341";"SESAU USF ESTRELA DALVA DR JOAO MIGUEL BASMAGE";"CENTRO DE SAUDE/UNIDADE BASICA";"0001744445";"EQUIPE ROSA - ESB";"eSB";"134";"2702";"5,00"
"3005690";"SESAU USF JARDIM NOROESTE";"CENTRO DE SAUDE/UNIDADE BASICA";"0001743872";"EQUIPE BEIJA FLOR - ESB";"eSB";"237";"3348";"7,10"
"0010146";"SESAU USF MATA DO JACINTO DR ADEMAR GUEDES DE SOUZA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001728652";"EQUIPE AZUL - ESB";"eSB";"85";"2986";"2,80"
