Ministério da Saúde MS
Secretaria de Atenção Primária à Saúde SAPS
Sistema de Informação para a Atenção Primária à Saúde – SIAPS
Dado gerado em: 13 de outubro de 2025 - 15:43h
Relatório Qualidade - Visão por Competência

Dados Sócio Demográficos:
UF: MS
Município: 500320 / CORUMBÁ

Filtro:
Indicador: 1ª Consulta Odontológica programada na APS
Competência selecionada: AGO/25
Tipo de Equipe: eSB

CNES;ESTABELECIMENTO;TIPO DO ESTABELECIMENTO;INE;NOME DA EQUIPE;SIGLA DA EQUIPE;NÚMERO DE PRIMEIRAS CONSULTAS ODONTOLÓGICAS PROGRAMADAS REALIZADAS;POPULAÇÃO DE PARÂMETRO DA ESF/EAP;PONTUAÇÃO
"2376148";"UNIDADE BASICA DE SAUDE FERNANDO MOUTINHO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001881361";"SAUDE BUCAL FERNANDO MOUTINHO";"eSB";"277";"2190";"12,60"
"2376512";"UNIDADE BASICA DE SAUDE DR ENIO CUNHA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001884972";"SAUDE BUCAL ENIO CUNHA";"eSB";"255";"2137";"11,90"
"2536684";"UNIDADE BASICA DE SAUDE NOVA CORUMBA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001882163";"SAUDE BUCAL NOVA CORUMBA";"eSB";"102";"2302";"4,40"
"2676796";"UNIDADE BASICA DE SAUDE SAO BARTOLOMEU";"CENTRO DE SAUDE/UNIDADE BASICA";"0001863479";"SAUDE BUCAL SAO BARTOLOMEU";"eSB";"116";"1573";"7,40"
"2376105";"UNIDADE BASICA DE SAUDE BRENO DE MEDEIROS";"CENTRO DE SAUDE/UNIDADE BASICA";"0001884735";"SAUDE BUCAL BRENO I";"eSB";"29";"1585";"1,80"
"2591553";"UNIDADE BASICA DE SAUDE RURAL MATO GRANDE";"CENTRO DE SAUDE/UNIDADE BASICA";"0001884506";"SAUDE BUCAL ALBUQUERQUE";"eSB";"99";"638";"15,50"
"2376105";"UNIDADE BASICA DE SAUDE BRENO DE MEDEIROS";"CENTRO DE SAUDE/UNIDADE BASICA";"0001884808";"SAUDE BUCAL BRENO II";"eSB";"140";"3017";"4,60"
"2603470";"UNIDADE BASICA DE SAUDE RURAL TAQUARAL";"CENTRO DE SAUDE/UNIDADE BASICA";"0001901281";"SAUDE BUCAL TAQUARAL";"eSB";"0";"1301";"0,00"
"2558726";"UNIDADE BASICA DE SAUDE POPULAR VELHA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001880209";"SAUDE BUCAL POPULAR VELHA";"eSB";"135";"1481";"9,10"
"6585426";"UNIDADE BASICA DE SAUDE LUIS FRAGELLI";"CENTRO DE SAUDE/UNIDADE BASICA";"0001904035";"SAUDE BUCAL LUIZ FRAGELLI";"eSB";"336";"2390";"14,10"
"2559498";"UNIDADE BASICA DE SAUDE GASTAO DE OLIVEIRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001903365";"SAUDE BUCAL GASTAO II";"eSB";"2";"1606";"0,10"
"0456462";"UNIDADE BASICA DE SAUDE DR WALTER VICTORIO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001880837";"SAUDE BUCAL WALTER VICTORIO";"eSB";"120";"1680";"7,10"
"7573170";"UNIDADE BASICA DE SAUDE DR ENIO CUNHA II";"CENTRO DE SAUDE/UNIDADE BASICA";"0001907697";"SAUDE BUCAL ENIO CUNHA II";"eSB";"193";"1729";"11,20"
"6564070";"UNIDADE BASICA DE SAUDE ANGELICA ANACHE";"CENTRO DE SAUDE/UNIDADE BASICA";"0001906054";"SAUDE BUCAL ANGELICA ANCHE";"eSB";"180";"1788";"10,10"
"2536676";"UNIDADE BASICA DE SAUDE ROSIMEIRE DOS SANTOS AJALA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001901761";"SAUDE BUCAL BEIRA RIO";"eSB";"151";"1544";"9,80"
"7320108";"UNIDADE BASICA DE SAUDE DR PEDRO PAULO DE BARROS II";"CENTRO DE SAUDE/UNIDADE BASICA";"0001863150";"SAUDE BUCAL PEDRO PAULO II";"eSB";"182";"825";"22,10"
"2591553";"UNIDADE BASICA DE SAUDE RURAL MATO GRANDE";"CENTRO DE SAUDE/UNIDADE BASICA";"0001884220";"SAUDE BUCAL MATO GRANDE";"eSB";"0";"633";"0,00"
"2376121";"UNIDADE BASICA DE SAUDE PADRE ERNESTO SASSIDA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001885154";"SAUDE BUCAL ERNESTO SASSIDA";"eSB";"143";"1231";"11,60"
"3043770";"UNIDADE BASICA DE SAUDE JOAO FERNANDES";"CENTRO DE SAUDE/UNIDADE BASICA";"0001905236";"SAUDE BUCAL JOAO FERNANDES";"eSB";"188";"1521";"12,40"
"6590209";"UNIDADE BASICA DE SAUDE DR PEDRO PAULO DE BARROS";"CENTRO DE SAUDE/UNIDADE BASICA";"0001906666";"SAUDE BUCAL PEDRO PAULO";"eSB";"76";"984";"7,70"
"0148636";"UNIDADE BASICA DE SAUDE DR BONIFACIO TIKAYOSHI TIAEN";"CENTRO DE SAUDE/UNIDADE BASICA";"0002059118";"SAUDE BUCAL BONIFACIO TIAEN";"eSB";"56";"459";"12,20"
"2559498";"UNIDADE BASICA DE SAUDE GASTAO DE OLIVEIRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001903039";"SAUDE BUCAL GASTAO I";"eSB";"42";"1682";"2,50"

Fonte: Sistema de Informação para a Atenção Primária à Saúde - SIAPS
Dado preliminar
