Ministério da Saúde MS
Secretaria de Atenção Primária à Saúde SAPS
Sistema de Informação para a Atenção Primária à Saúde – SIAPS
Dado gerado em: 13 de outubro de 2025 - 15:46h
Relatório Qualidade - Visão por Competência

Dados Sócio Demográficos:
UF: MS
Município: 500370 / DOURADOS

Filtro:
Indicador: 1ª Consulta Odontológica programada na APS
Competência selecionada: AGO/25
Tipo de Equipe: eSB

CNES;ESTABELECIMENTO;TIPO DO ESTABELECIMENTO;INE;NOME DA EQUIPE;SIGLA DA EQUIPE;NÚMERO DE PRIMEIRAS CONSULTAS ODONTOLÓGICAS PROGRAMADAS REALIZADAS;POPULAÇÃO DE PARÂMETRO DA ESF/EAP;PONTUAÇÃO
"3489159";"UBS BEM TE VI VEREADOR AMERICO MONTEIRO SALGADO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001821938";"ESB - 52 SAUDE BUCAL";"eSB";"122";"2833";"4,30"
"2710862";"UBS IZIDRO PEDROSO DR MOACIR STEIN ARRUDA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001835343";"ESB - 30 SAUDE BUCAL";"eSB";"170";"2806";"6,10"
"5592593";"UBS ALTOS DO INDAIA DRA HELENA YOSHIE MORIBE";"CENTRO DE SAUDE/UNIDADE BASICA";"0001910493";"ESB - 54 SAUDE BUCAL";"eSB";"198";"2592";"7,60"
"2711133";"UBS CACHOEIRINHA RAMAO VIEIRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001910272";"ESB - 12 SAUDE BUCAL";"eSB";"187";"2903";"6,40"
"3239837";"UBS JOQUEI CLUBE ANTONIO DA COSTA CARVALHO";"CENTRO DE SAUDE/UNIDADE BASICA";"0002052180";"ESB 27 - GIRASSOL";"eSB";"287";"3083";"9,30"
"3489159";"UBS BEM TE VI VEREADOR AMERICO MONTEIRO SALGADO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001816462";"ESB - 29 SAUDE BUCAL";"eSB";"139";"2950";"4,70"
"2711109";"UBS SELETA BIANOR ALVES DA SILVA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001910477";"ESB - 39 SAUDE BUCAL";"eSB";"230";"2716";"8,50"
"2710862";"UBS IZIDRO PEDROSO DR MOACIR STEIN ARRUDA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001835580";"ESB - 32 SAUDE BUCAL";"eSB";"189";"2613";"7,20"
"2711117";"UBS MARACANA MOTOHIDE HIRAISHI";"CENTRO DE SAUDE/UNIDADE BASICA";"0001980750";"ESB 22 - ALECRIM";"eSB";"107";"3344";"3,20"
"2711001";"UBS VILA FORMOSA MACAUBA ARINO PEREIRA DE MATTOS";"CENTRO DE SAUDE/UNIDADE BASICA";"0002054213";"ESB - 205 SAUDE BUCAL";"eSB";"81";"1659";"4,90"
"3977927";"UBS PARQUE DO LAGO II DR NELSON RODOLFO KOZOROSKI";"CENTRO DE SAUDE/UNIDADE BASICA";"0001909665";"ESB 53 - DA MATA";"eSB";"188";"3214";"5,80"
"2711117";"UBS MARACANA MOTOHIDE HIRAISHI";"CENTRO DE SAUDE/UNIDADE BASICA";"0002052172";"ESB 25 - LAVANDA";"eSB";"182";"3966";"4,60"
"5592607";"UBS CABECEIRA ALEGRE LEVY SCHAUSTZ";"CENTRO DE SAUDE/UNIDADE BASICA";"0001924680";"ESB - 58 SAUDE BUCAL";"eSB";"111";"2251";"4,90"
"2710838";"UBS ITAHUM ALTAIR RAMIRES DE SOUZA DONA NEGA";"CENTRO DE SAUDE/UNIDADE BASICA";"0002054132";"ESB - 201 SAUDE BUCAL";"eSB";"54";"1782";"3,00"
"2711044";"UBS VILA VARGAS ANTONIA MARQUES";"CENTRO DE SAUDE/UNIDADE BASICA";"0002054175";"ESB - 204 SAUDE BUCAL";"eSB";"206";"1966";"10,50"
"2711079";"UBS JARDIM PIRATININGA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001924583";"ESB - 24 SAUDE BUCAL";"eSB";"39";"3092";"1,30"
"5592607";"UBS CABECEIRA ALEGRE LEVY SCHAUSTZ";"CENTRO DE SAUDE/UNIDADE BASICA";"0001841696";"ESB - 21 SAUDE BUCAL";"eSB";"119";"2540";"4,70"
"2711125";"UBS PARQUE DAS NACOES II DR LUIZ ANTONIO ALVES";"CENTRO DE SAUDE/UNIDADE BASICA";"0001909509";"ESB - 19 SAUDE BUCAL";"eSB";"283";"2617";"10,80"
"2711141";"UBS VILA HILDA DR ARCHIDUQUE FERNANDES";"CENTRO DE SAUDE/UNIDADE BASICA";"0002052113";"ESB - 14 SAUDE BUCAL";"eSB";"68";"2290";"3,00"
"2711117";"UBS MARACANA MOTOHIDE HIRAISHI";"CENTRO DE SAUDE/UNIDADE BASICA";"0001842242";"ESB 23 - HORTELA";"eSB";"109";"3914";"2,80"
"2710811";"UBS INDAPOLIS VEREADOR FREDERICO BERNARDO FRITZ HOLTERMANN";"CENTRO DE SAUDE/UNIDADE BASICA";"0002054159";"ESB - 203 SAUDE BUCAL";"eSB";"197";"2027";"9,70"
"2710889";"UBS CSU DR LEON TOLSTOI RODRIGUES DE LIMA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001909924";"ESB - 48 SAUDE BUCAL";"eSB";"189";"2922";"6,50"
"6822924";"UBS VILA INDIO ENF JACI SILVA MARTINS";"CENTRO DE SAUDE/UNIDADE BASICA";"0002054019";"ESB - 43 SAUDE BUCAL";"eSB";"244";"3545";"6,90"
"2711109";"UBS SELETA BIANOR ALVES DA SILVA";"CENTRO DE SAUDE/UNIDADE BASICA";"0002053942";"ESB - 41 SAUDE BUCAL";"eSB";"197";"3166";"6,20"
"2711052";"UBS CUIABAZINHO FREI HUGOLINO BECKER";"CENTRO DE SAUDE/UNIDADE BASICA";"0002053918";"ESB - 40 SAUDE BUCAL";"eSB";"296";"2508";"11,80"
"2710986";"UBS PANAMBI E SAO PEDRO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001842846";"ESB - 202 SAUDE BUCAL";"eSB";"147";"1375";"10,70"
"7489102";"UBS GUAICURUS ERISVALDO MENDONCA DOS SANTOS";"CENTRO DE SAUDE/UNIDADE BASICA";"0001835777";"ESB - 55 SAUDE BUCAL";"eSB";"158";"2321";"6,80"
"2711168";"UBS PARQUE DAS NACOES I OTAVIA VITORINO SERRANTE";"CENTRO DE SAUDE/UNIDADE BASICA";"0001842447";"ESB - 20 SAUDE BUCAL";"eSB";"157";"2014";"7,80"
"2710889";"UBS CSU DR LEON TOLSTOI RODRIGUES DE LIMA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001910043";"ESB - 47 SAUDE BUCAL";"eSB";"107";"3260";"3,30"
"3239837";"UBS JOQUEI CLUBE ANTONIO DA COSTA CARVALHO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001816276";"ESB 17 - IPE";"eSB";"212";"2643";"8,00"
"7489102";"UBS GUAICURUS ERISVALDO MENDONCA DOS SANTOS";"CENTRO DE SAUDE/UNIDADE BASICA";"0002054094";"ESB - 56 SAUDE BUCAL";"eSB";"98";"1605";"6,10"
"5592615";"UBS NOVO HORIZONTE DR JOAQUIM LOURENCO FILHO";"CENTRO DE SAUDE/UNIDADE BASICA";"0002052164";"ESB - 16 SAUDE BUCAL";"eSB";"85";"1869";"4,50"
"2711125";"UBS PARQUE DAS NACOES II DR LUIZ ANTONIO ALVES";"CENTRO DE SAUDE/UNIDADE BASICA";"0001909436";"ESB - 18 SAUDE BUCAL";"eSB";"304";"2772";"11,00"
"2711052";"UBS CUIABAZINHO FREI HUGOLINO BECKER";"CENTRO DE SAUDE/UNIDADE BASICA";"0002052121";"ESB - 15 SAUDE BUCAL";"eSB";"209";"2138";"9,80"
"3239837";"UBS JOQUEI CLUBE ANTONIO DA COSTA CARVALHO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001980386";"ESB 62 - CARANDA";"eSB";"162";"2687";"6,00"
"3768074";"UBS VILA VIEIRA AUX ENF ELIS RENY DOS SANTOS";"CENTRO DE SAUDE/UNIDADE BASICA";"0001909576";"ESB - 33 SAUDE BUCAL";"eSB";"247";"3247";"7,60"
"9837663";"UBS ILDEFONSO PEDROSO DR LUIZ CARLOS SIEBERT";"CENTRO DE SAUDE/UNIDADE BASICA";"0002449919";"ESB 60- IPE AMARELO";"eSB";"174";"1706";"10,20"
"5592593";"UBS ALTOS DO INDAIA DRA HELENA YOSHIE MORIBE";"CENTRO DE SAUDE/UNIDADE BASICA";"0001909819";"ESB - 50 SAUDE BUCAL";"eSB";"192";"2234";"8,60"
"3977927";"UBS PARQUE DO LAGO II DR NELSON RODOLFO KOZOROSKI";"CENTRO DE SAUDE/UNIDADE BASICA";"0002052229";"ESB 34 - DO LAGO";"eSB";"200";"3765";"5,30"
"9837663";"UBS ILDEFONSO PEDROSO DR LUIZ CARLOS SIEBERT";"CENTRO DE SAUDE/UNIDADE BASICA";"0002278723";"ESB 59 - IPE ROSA";"eSB";"112";"1799";"6,20"
"2710854";"UBS IV PLANO DR JULVIS ARRUDA MATOS";"CENTRO DE SAUDE/UNIDADE BASICA";"0001834878";"ESB - 45 SAUDE BUCAL";"eSB";"189";"2326";"8,10"
"5592607";"UBS CABECEIRA ALEGRE LEVY SCHAUSTZ";"CENTRO DE SAUDE/UNIDADE BASICA";"0002052245";"ESB - 35 SAUDE BUCAL";"eSB";"167";"2890";"5,80"
"2710862";"UBS IZIDRO PEDROSO DR MOACIR STEIN ARRUDA";"CENTRO DE SAUDE/UNIDADE BASICA";"0002052202";"ESB - 31 SAUDE BUCAL";"eSB";"177";"2805";"6,30"
"6803628";"UBS CHACARA DOS CAIUAS";"CENTRO DE SAUDE/UNIDADE BASICA";"0002053950";"ESB - 42 SAUDE BUCAL";"eSB";"244";"3553";"6,90"
"2711133";"UBS CACHOEIRINHA RAMAO VIEIRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0002052105";"ESB - 13 SAUDE BUCAL";"eSB";"101";"2694";"3,70"

Fonte: Sistema de Informação para a Atenção Primária à Saúde - SIAPS
Dado preliminar
