Ministério da Saúde MS
Secretaria de Atenção Primária à Saúde SAPS
Sistema de Informação para a Atenção Primária à Saúde – SIAPS
Dado gerado em: 14 de outubro de 2025 - 15:21h
Relatório Qualidade - Visão por Competência

Dados Sócio Demográficos:
UF: MS
Município: 500270 / CAMPO GRANDE

Filtro:
Indicador: Escovação Supervisionada na APS
Competência selecionada: AGO/25
Tipo de Equipe: eSB

CNES;ESTABELECIMENTO;TIPO DO ESTABELECIMENTO;INE;NOME DA EQUIPE;SIGLA DA EQUIPE;NÚMERO DE PESSOAS CONTEMPLADAS NA AÇÃO COLETIVA DE ESCOVAÇÃO DENTAL SUPERVISIONADA;NÚMERO TOTAL DE PESSOAS CADASTRADAS NA EQUIPE DE VINCULADA;PONTUAÇÃO
"0010219";"SESAU USF INDUBRASIL MANOEL SECCO THOME";"CENTRO DE SAUDE/UNIDADE BASICA";"0001755900";"EQUIPE VERMELHA - ESB";"eSB";"0";"281";"0,00"
"0010146";"SESAU USF MATA DO JACINTO DR ADEMAR GUEDES DE SOUZA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001728644";"EQUIPE VERMELHA - ESB";"eSB";"21";"260";"8,10"
"0010278";"SESAU USF MARIA APARECIDA PEDROSSIAN";"CENTRO DE SAUDE/UNIDADE BASICA";"0001755749";"EQUIPE SAO JOSE - ESB";"eSB";"0";"92";"0,00"
"6585612";"SESAU USF VIDA NOVA III AQUINO DIAS BEZERRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001796178";"EQUIPE ANACHE - ESB";"eSB";"0";"422";"0,00"
"2874474";"SESAU USF SANTA EMILIA JEFERSON RODRIGUES DE SOUZA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001731017";"EQUIPE JOAO DE BARROS - ESB";"eSB";"0";"308";"0,00"
"0010340";"SESAU USF ALVES PEREIRA DR WALFRIDO AZAMBUJA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001754815";"EQUIPE LARANJA - ESB";"eSB";"0";"150";"0,00"
"0028851";"SESAU USF COOPHAVILA II ALFREDO NEDER";"CENTRO DE SAUDE/UNIDADE BASICA";"0001744291";"EQUIPE ACQUA - ESB";"eSB";"61";"230";"26,50"
"3051927";"SESAU USF ZE PEREIRA DR JURANDYR DE CASTRO COIMBRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001746510";"EQUIPE VERMELHA - ESB";"eSB";"0";"166";"0,00"
"9983449";"SESAU USF CRISTO REDENTOR DR CARLOS A JURGIELEWCZ";"CENTRO DE SAUDE/UNIDADE BASICA";"0001729691";"EQUIPE HORTENSIA - ESB";"eSB";"9";"255";"3,50"
"0028835";"SESAU USF PARQUE DO SOL DR BENJAMIM ASATO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001744852";"EQUIPE FENIX - ESB";"eSB";"0";"207";"0,00"
"3598209";"SESAU USF AERO ITALIA HERBERTO CALADO REBELO";"CENTRO DE SAUDE/UNIDADE BASICA";"0002040530";"EQUIPE HORTO FLORESTAL - ESB";"eSB";"5";"168";"3,00"
"3005690";"SESAU USF JARDIM NOROESTE";"CENTRO DE SAUDE/UNIDADE BASICA";"0001743910";"EQUIPE FLORES DO CERRADO - ESB";"eSB";"102";"420";"24,30"
"9443525";"SESAU USF OLIVEIRA II BENEDITO MARTINS GONCALVES";"CENTRO DE SAUDE/UNIDADE BASICA";"0001744569";"EQUIPE MARIA J FREITAS - ESB";"eSB";"0";"276";"0,00"
"5506158";"SESAU CF DR MAURO R BARROS WANDERLEY IRACY COELHO NETTO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001718843";"EQUIPE IPE AZUL - ESB";"eSB";"0";"287";"0,00"
"6585612";"SESAU USF VIDA NOVA III AQUINO DIAS BEZERRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001743759";"EQUIPE TARSILA - ESB";"eSB";"0";"480";"0,00"
"2874474";"SESAU USF SANTA EMILIA JEFERSON RODRIGUES DE SOUZA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001747835";"EQUIPE GIRASSOL - ESB";"eSB";"11";"300";"3,70"
"2752530";"SESAU CF DRA MARCIA DE SA EARP NOVA LIMA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001724835";"EQUIPE FOGO - ESB";"eSB";"0";"266";"0,00"
"0010197";"SESAU USF SERRADINHO DR SUMIE IKEDA RODRIGUES";"CENTRO DE SAUDE/UNIDADE BASICA";"0001755072";"EQUIPE FENIX - ESB";"eSB";"24";"439";"5,50"
"3198278";"SESAU USF PAULO COELHO MACHADO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001750569";"EQUIPE PRATA - ESB";"eSB";"0";"201";"0,00"
"3499642";"SESAU USF JARDIM PRESIDENTE DR NASRI SIUFI";"CENTRO DE SAUDE/UNIDADE BASICA";"0002164620";"EQUIPE ALFA - ESB";"eSB";"13";"311";"4,20"
"0010200";"SESAU USF JARDIM BONANCA DR HIROSE ADANIA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001735101";"EQUIPE LEOPARDO - ESB";"eSB";"1";"153";"0,70"
"6731198";"SESAU USF JOSE TAVARES DO COUTO DR FERNANDO DE ARRUDA TORRES";"CENTRO DE SAUDE/UNIDADE BASICA";"0001735209";"EQUIPE LUZ - ESB";"eSB";"1";"260";"0,40"
"2752530";"SESAU CF DRA MARCIA DE SA EARP NOVA LIMA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001724290";"EQUIPE AR - ESB";"eSB";"0";"190";"0,00"
"0024341";"SESAU USF JARDIM ITAMARACA EDSON QUINTINO MENDES";"CENTRO DE SAUDE/UNIDADE BASICA";"0001744682";"EQUIPE SAO TOME - ESB";"eSB";"0";"141";"0,00"
"0010316";"SESAU USF CIDADE MORENA DR VICENTE FRAGELLI";"CENTRO DE SAUDE/UNIDADE BASICA";"0001749579";"EQUIPE ROSA - ESB";"eSB";"0";"334";"0,00"
"5672341";"SESAU USF ESTRELA DALVA DR JOAO MIGUEL BASMAGE";"CENTRO DE SAUDE/UNIDADE BASICA";"0001744445";"EQUIPE ROSA - ESB";"eSB";"0";"307";"0,00"
"3005690";"SESAU USF JARDIM NOROESTE";"CENTRO DE SAUDE/UNIDADE BASICA";"0001743872";"EQUIPE BEIJA FLOR - ESB";"eSB";"0";"503";"0,00"
"0010146";"SESAU USF MATA DO JACINTO DR ADEMAR GUEDES DE SOUZA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001728652";"EQUIPE AZUL - ESB";"eSB";"41";"205";"20,00"
"9439919";"SESAU USF VILA COX";"CENTRO DE SAUDE/UNIDADE BASICA";"0001729861";"EQUIPE AZUL - ESB";"eSB";"2";"240";"0,80"
"0024457";"SESAU USF TIRADENTES DR ANTONIO PEREIRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001744046";"EQUIPE FLAMBOYANT - ESB";"eSB";"0";"126";"0,00"
"0024341";"SESAU USF JARDIM ITAMARACA EDSON QUINTINO MENDES";"CENTRO DE SAUDE/UNIDADE BASICA";"0001744712";"EQUIPE CPACA - ESB";"eSB";"0";"128";"0,00"
"3285294";"SESAU USF JARDIM LOS ANGELES SEBASTIAO LUIZ NOGUEIRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001743589";"EQUIPE VERMELHA - ESB";"eSB";"1";"359";"0,30"
"3285294";"SESAU USF JARDIM LOS ANGELES SEBASTIAO LUIZ NOGUEIRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001743627";"EQUIPE AMARELA - ESB";"eSB";"0";"574";"0,00"
"0028835";"SESAU USF PARQUE DO SOL DR BENJAMIM ASATO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001744836";"EQUIPE ARARA AZUL - ESB";"eSB";"0";"247";"0,00"
"7108052";"SESAU USF JARDIM ANTARTICA DR NELSON ASSEF BUAINAIN";"CENTRO DE SAUDE/UNIDADE BASICA";"0001753061";"EQUIPE VERMELHA - ESB";"eSB";"0";"126";"0,00"
"3005690";"SESAU USF JARDIM NOROESTE";"CENTRO DE SAUDE/UNIDADE BASICA";"0001743988";"EQUIPE ARARA VERMELHA - ESB";"eSB";"0";"447";"0,00"
"9983449";"SESAU USF CRISTO REDENTOR DR CARLOS A JURGIELEWCZ";"CENTRO DE SAUDE/UNIDADE BASICA";"0001911929";"EQUIPE VITORIA REGIA - ESB";"eSB";"2";"266";"0,80"
"0010421";"SESAU USF JARDIM MARABA DRA MARLY ANNA TATTON BERG G PEREIRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001756451";"EQUIPE LARANJA - ESB";"eSB";"0";"149";"0,00"
"7108001";"SESAU USF JARDIM BOTAFOGO DR ELIZABETH WANDERLE TOBARU";"CENTRO DE SAUDE/UNIDADE BASICA";"0001753460";"EQUIPE AREA AMARELA - ESB";"eSB";"0";"239";"0,00"
"7108001";"SESAU USF JARDIM BOTAFOGO DR ELIZABETH WANDERLE TOBARU";"CENTRO DE SAUDE/UNIDADE BASICA";"0001731130";"EQUIPE AREA VERMELHA - ESB";"eSB";"0";"180";"0,00"
"0021792";"SESAU USF ANHANDUI DR BENTO DE ASSIS MACHADO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001730681";"EQUIPE AGUIA - ESB";"eSB";"0";"22";"0,00"
"0010294";"SESAU USF JOSE ABRAO DR ELIAS NASSER NETO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001730347";"EQUIPE JOSE ABRAO - ESB";"eSB";"1";"158";"0,60"
"3080021";"SESAU USF JARDIM TARUMA DR EMILIO GARBELOTI NETO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001730622";"EQUIPE MARRON - ESB";"eSB";"0";"197";"0,00"
"9022007";"SESAU USF ANA MARIA DO COUTO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001728423";"EQUIPE GARRA - ESB";"eSB";"0";"201";"0,00"
"3198278";"SESAU USF PAULO COELHO MACHADO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001750593";"EQUIPE OURO - ESB";"eSB";"0";"315";"0,00"
"0021792";"SESAU USF ANHANDUI DR BENTO DE ASSIS MACHADO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001729357";"EQUIPE FENIX - ESB";"eSB";"0";"238";"0,00"
"0024430";"SESAU USF UNIVERSITARIO DR GERMANO BARROS DE SOUZA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001728946";"EQUIPE FENIX - ESB";"eSB";"0";"385";"0,00"
"0010421";"SESAU USF JARDIM MARABA DRA MARLY ANNA TATTON BERG G PEREIRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001756419";"EQUIPE VERDE - ESB";"eSB";"0";"249";"0,00"
"0010413";"SESAU USF JARDIM MACAUBAS DR SONI LYDIA SOUZA WOLF";"CENTRO DE SAUDE/UNIDADE BASICA";"0001750070";"EQUIPE CACTO - ESB";"eSB";"0";"244";"0,00"
"0010235";"SESAU USF VILA NASSER DR MILTON KOJO CHINEN";"CENTRO DE SAUDE/UNIDADE BASICA";"0001748556";"EQUIPE VERDE - ESB";"eSB";"43";"190";"22,60"
"0028851";"SESAU USF COOPHAVILA II ALFREDO NEDER";"CENTRO DE SAUDE/UNIDADE BASICA";"0001744356";"EQUIPE TUIUIU - ESB";"eSB";"67";"201";"33,30"
"7096887";"SESAU USF AERO RANCHO IV DR NELSON TOKUEI SIMABUKURO";"CENTRO DE SAUDE/UNIDADE BASICA";"0002041642";"EQUIPE AZUL - ESB";"eSB";"0";"271";"0,00"
"7096895";"SESAU USF JARDIM BATISTAO DR HELIO MARTINS COELHO";"CENTRO DE SAUDE/UNIDADE BASICA";"0002160242";"EQUIPE ARARA AZUL - ESB";"eSB";"7";"182";"3,80"
"9443525";"SESAU USF OLIVEIRA II BENEDITO MARTINS GONCALVES";"CENTRO DE SAUDE/UNIDADE BASICA";"0001744623";"EQUIPE UNIAO - ESB";"eSB";"0";"204";"0,00"
"3051358";"SESAU USF MARIO COVAS DR WAGNER JORGE BORTOTTO GARCIA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001750747";"EQUIPE ROXA - ESB";"eSB";"0";"137";"0,00"
"0010286";"SESAU USF COHAB DR OLIMPIO CAVALHEIRO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001743538";"EQUIPE VERDE - ESB";"eSB";"0";"228";"0,00"
"7568835";"SESAU USF VILA FERNANDA MARIA IVONE DE O NASCIMENTO ARAKAKI";"CENTRO DE SAUDE/UNIDADE BASICA";"0001755331";"EQUIPE AZUL - ESB";"eSB";"0";"379";"0,00"
