Ministério da Saúde MS
Secretaria de Atenção Primária à Saúde SAPS
Sistema de Informação para a Atenção Primária à Saúde – SIAPS
Dado gerado em: 14 de outubro de 2025 - 15:27h
Relatório Qualidade - Visão por Competência

Dados Sócio Demográficos:
UF: MS
Município: 500370 / DOURADOS

Filtro:
Indicador: Escovação Supervisionada na APS
Competência selecionada: AGO/25
Tipo de Equipe: eSB

CNES;ESTABELECIMENTO;TIPO DO ESTABELECIMENTO;INE;NOME DA EQUIPE;SIGLA DA EQUIPE;NÚMERO DE PESSOAS CONTEMPLADAS NA AÇÃO COLETIVA DE ESCOVAÇÃO DENTAL SUPERVISIONADA;NÚMERO TOTAL DE PESSOAS CADASTRADAS NA EQUIPE DE VINCULADA;PONTUAÇÃO
"3489159";"UBS BEM TE VI VEREADOR AMERICO MONTEIRO SALGADO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001821938";"ESB - 52 SAUDE BUCAL";"eSB";"0";"277";"0,00"
"2710862";"UBS IZIDRO PEDROSO DR MOACIR STEIN ARRUDA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001835343";"ESB - 30 SAUDE BUCAL";"eSB";"15";"268";"5,60"
"5592593";"UBS ALTOS DO INDAIA DRA HELENA YOSHIE MORIBE";"CENTRO DE SAUDE/UNIDADE BASICA";"0001910493";"ESB - 54 SAUDE BUCAL";"eSB";"0";"285";"0,00"
"2711133";"UBS CACHOEIRINHA RAMAO VIEIRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001910272";"ESB - 12 SAUDE BUCAL";"eSB";"15";"359";"4,20"
"3239837";"UBS JOQUEI CLUBE ANTONIO DA COSTA CARVALHO";"CENTRO DE SAUDE/UNIDADE BASICA";"0002052180";"ESB 27 - GIRASSOL";"eSB";"90";"503";"17,90"
"3489159";"UBS BEM TE VI VEREADOR AMERICO MONTEIRO SALGADO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001816462";"ESB - 29 SAUDE BUCAL";"eSB";"0";"301";"0,00"
"2711109";"UBS SELETA BIANOR ALVES DA SILVA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001910477";"ESB - 39 SAUDE BUCAL";"eSB";"290";"242";"119,80"
"2710862";"UBS IZIDRO PEDROSO DR MOACIR STEIN ARRUDA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001835580";"ESB - 32 SAUDE BUCAL";"eSB";"0";"206";"0,00"
"2711117";"UBS MARACANA MOTOHIDE HIRAISHI";"CENTRO DE SAUDE/UNIDADE BASICA";"0001980750";"ESB 22 - ALECRIM";"eSB";"0";"373";"0,00"
"2711001";"UBS VILA FORMOSA MACAUBA ARINO PEREIRA DE MATTOS";"CENTRO DE SAUDE/UNIDADE BASICA";"0002054213";"ESB - 205 SAUDE BUCAL";"eSB";"0";"151";"0,00"
"3977927";"UBS PARQUE DO LAGO II DR NELSON RODOLFO KOZOROSKI";"CENTRO DE SAUDE/UNIDADE BASICA";"0001909665";"ESB 53 - DA MATA";"eSB";"269";"434";"62,00"
"2711117";"UBS MARACANA MOTOHIDE HIRAISHI";"CENTRO DE SAUDE/UNIDADE BASICA";"0002052172";"ESB 25 - LAVANDA";"eSB";"9";"453";"2,00"
"5592607";"UBS CABECEIRA ALEGRE LEVY SCHAUSTZ";"CENTRO DE SAUDE/UNIDADE BASICA";"0001924680";"ESB - 58 SAUDE BUCAL";"eSB";"484";"281";"172,20"
"2710838";"UBS ITAHUM ALTAIR RAMIRES DE SOUZA DONA NEGA";"CENTRO DE SAUDE/UNIDADE BASICA";"0002054132";"ESB - 201 SAUDE BUCAL";"eSB";"99";"198";"50,00"
"2711044";"UBS VILA VARGAS ANTONIA MARQUES";"CENTRO DE SAUDE/UNIDADE BASICA";"0002054175";"ESB - 204 SAUDE BUCAL";"eSB";"90";"168";"53,60"
"2711079";"UBS JARDIM PIRATININGA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001924583";"ESB - 24 SAUDE BUCAL";"eSB";"39";"351";"11,10"
"5592607";"UBS CABECEIRA ALEGRE LEVY SCHAUSTZ";"CENTRO DE SAUDE/UNIDADE BASICA";"0001841696";"ESB - 21 SAUDE BUCAL";"eSB";"383";"250";"153,20"
"2711125";"UBS PARQUE DAS NACOES II DR LUIZ ANTONIO ALVES";"CENTRO DE SAUDE/UNIDADE BASICA";"0001909509";"ESB - 19 SAUDE BUCAL";"eSB";"344";"302";"113,90"
"2711141";"UBS VILA HILDA DR ARCHIDUQUE FERNANDES";"CENTRO DE SAUDE/UNIDADE BASICA";"0002052113";"ESB - 14 SAUDE BUCAL";"eSB";"0";"240";"0,00"
"2711117";"UBS MARACANA MOTOHIDE HIRAISHI";"CENTRO DE SAUDE/UNIDADE BASICA";"0001842242";"ESB 23 - HORTELA";"eSB";"447";"434";"103,00"
"2710811";"UBS INDAPOLIS VEREADOR FREDERICO BERNARDO FRITZ HOLTERMANN";"CENTRO DE SAUDE/UNIDADE BASICA";"0002054159";"ESB - 203 SAUDE BUCAL";"eSB";"0";"167";"0,00"
"2710889";"UBS CSU DR LEON TOLSTOI RODRIGUES DE LIMA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001909924";"ESB - 48 SAUDE BUCAL";"eSB";"272";"282";"96,50"
"6822924";"UBS VILA INDIO ENF JACI SILVA MARTINS";"CENTRO DE SAUDE/UNIDADE BASICA";"0002054019";"ESB - 43 SAUDE BUCAL";"eSB";"0";"303";"0,00"
"2711109";"UBS SELETA BIANOR ALVES DA SILVA";"CENTRO DE SAUDE/UNIDADE BASICA";"0002053942";"ESB - 41 SAUDE BUCAL";"eSB";"387";"239";"161,90"
"2711052";"UBS CUIABAZINHO FREI HUGOLINO BECKER";"CENTRO DE SAUDE/UNIDADE BASICA";"0002053918";"ESB - 40 SAUDE BUCAL";"eSB";"44";"238";"18,50"
