Ministério da Saúde MS
Secretaria de Atenção Primária à Saúde SAPS
Sistema de Informação para a Atenção Primária à Saúde – SIAPS
Dado gerado em: 14 de outubro de 2025 - 15:47h
Relatório Qualidade - Visão por Competência

Dados Sócio Demográficos:
UF: MS
Município: 500110 / AQUIDAUANA

Filtro:
Indicador: Procedimentos Odontológicos preventivos na APS
Competência selecionada: AGO/25
Tipo de Equipe: eSB

CNES;ESTABELECIMENTO;TIPO DO ESTABELECIMENTO;INE;NOME DA EQUIPE;SIGLA DA EQUIPE;NÚMERO DE PROCEDIMENTOS PREVENTIVOS INDIVIDUAIS REALIZADOS;NÚMERO TOTAL DE PROCEDIMENTOS ODONTOLÓGICOS PREVENTIVOS REALIZADOS NA APS;PONTUAÇÃO
"7525877";"UNIDADE DE SAUDE DA FAMILIA MODESTO PEREIRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001778455";"ODONTO TAUNAY/MORRINHO";"eSB";"242";"678";"35,70"
"2659662";"UNIDADE DE SAUDE DA FAMILIA SANTA TEREZINHA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001760742";"ODONTO CLAUDIO FERNADO STELLA";"eSB";"392";"1097";"35,70"
"5601010";"UNIDADE DE SAUDE DA FAMILIA BAIRRO ALTO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001740040";"ODONTO CANDIDO PINHEIRO FILHO";"eSB";"300";"2081";"14,40"
"2659662";"UNIDADE DE SAUDE DA FAMILIA SANTA TEREZINHA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001760122";"ODONTO JOSE VORIA";"eSB";"324";"1146";"28,30"
"0467499";"UNIDADE DE SAUDE DA FAMILIA DRA CELIA VAZ DE CAMPOS TRINDADE";"CENTRO DE SAUDE/UNIDADE BASICA";"0002150220";"ODONTO DRA CELIA VAZ TRINDADE";"eSB";"485";"1894";"25,60"
"7065817";"ESTRATEGIA DE SAUDE DA FAMILIA IZAURA BAES";"CENTRO DE SAUDE/UNIDADE BASICA";"0001761188";"ODONTO NOVA AQUIDAUANA II";"eSB";"213";"1121";"19,00"
"2360209";"UNIDADE DE SAUDE DA FAMILIA ELCIRIA RITA BRANDES GARCIA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001762036";"ODONTO VILA 40- SAO FRANCISCO";"eSB";"213";"1099";"19,40"
"2659670";"UNIDADE DE SAUDE DA FAMILIA CIDADE NOVA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001741330";"ODONTO JOAO ANDRE MADSEN";"eSB";"781";"1836";"42,50"
"2659670";"UNIDADE DE SAUDE DA FAMILIA CIDADE NOVA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001741586";"ODONTO TIAGO BOGADO FIGUEIREDO";"eSB";"623";"1424";"43,80"
"5601010";"UNIDADE DE SAUDE DA FAMILIA BAIRRO ALTO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001740423";"ODONTO JOAO JORGE CARNEIRO";"eSB";"135";"1478";"9,10"
"6315356";"ESTRATEGIA DE SAUDE DA FAMILIA SAO PEDRO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001735284";"ODONTO VILA SAO PEDRO";"eSB";"215";"1311";"16,40"
"3240053";"ESTRATEGIA DE SAUDE DA FAMILIA VILA TRINDADE";"CENTRO DE SAUDE/UNIDADE BASICA";"0001759760";"ODONTO VILA TRINDADE";"eSB";"284";"1461";"19,40"
"2360217";"UNIDADE DE SAUDE DA FAMILIA VILA PINHEIRO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001736612";"ODONTO VILA PINHEIRO";"eSB";"479";"1352";"35,40"
"6310834";"ESTRATEGIA DE SAUDE DA FAMILIA CIPOLANDIA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001738658";"ODONTO CIPOLANDIA";"eSB";"112";"646";"17,30"
"3240061";"ESTRATEGIA DE SAUDE DA FAMILIA GUANANDY";"CENTRO DE SAUDE/UNIDADE BASICA";"0001756990";"ODONTO GUANANDY";"eSB";"346";"1295";"26,70"
"2360225";"ESTRATEGIA DE SAUDE DA FAMILIA CAMISAO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001775413";"ODONTO CAMISAO/PIRAPUTANGA";"eSB";"188";"779";"24,10"
"2659689";"ESTRATEGIA DE SAUDE DA FAMILIA NOVA AQUIDAUANA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001737775";"ODONTO NOVA AQUIDAUANA";"eSB";"542";"1648";"32,90"

Fonte: Sistema de Informação para a Atenção Primária à Saúde - SIAPS
Dado preliminar
