Ministério da Saúde MS
Secretaria de Atenção Primária à Saúde SAPS
Sistema de Informação para a Atenção Primária à Saúde – SIAPS
Dado gerado em: 14 de outubro de 2025 - 15:52h
Relatório Qualidade - Visão por Competência

Dados Sócio Demográficos:
UF: MS
Município: 500270 / CAMPO GRANDE

Filtro:
Indicador: Procedimentos Odontológicos preventivos na APS
Competência selecionada: AGO/25
Tipo de Equipe: eSB

CNES;ESTABELECIMENTO;TIPO DO ESTABELECIMENTO;INE;NOME DA EQUIPE;SIGLA DA EQUIPE;NÚMERO DE PROCEDIMENTOS PREVENTIVOS INDIVIDUAIS REALIZADOS;NÚMERO TOTAL DE PROCEDIMENTOS ODONTOLÓGICOS PREVENTIVOS REALIZADOS NA APS;PONTUAÇÃO
"0010219";"SESAU USF INDUBRASIL MANOEL SECCO THOME";"CENTRO DE SAUDE/UNIDADE BASICA";"0001755900";"EQUIPE VERMELHA - ESB";"eSB";"171";"779";"22,00"
"0010146";"SESAU USF MATA DO JACINTO DR ADEMAR GUEDES DE SOUZA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001728644";"EQUIPE VERMELHA - ESB";"eSB";"337";"1025";"32,90"
"0010278";"SESAU USF MARIA APARECIDA PEDROSSIAN";"CENTRO DE SAUDE/UNIDADE BASICA";"0001755749";"EQUIPE SAO JOSE - ESB";"eSB";"49";"127";"38,60"
"6585612";"SESAU USF VIDA NOVA III AQUINO DIAS BEZERRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001796178";"EQUIPE ANACHE - ESB";"eSB";"260";"1261";"20,60"
"2874474";"SESAU USF SANTA EMILIA JEFERSON RODRIGUES DE SOUZA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001731017";"EQUIPE JOAO DE BARROS - ESB";"eSB";"581";"2395";"24,30"
"0010340";"SESAU USF ALVES PEREIRA DR WALFRIDO AZAMBUJA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001754815";"EQUIPE LARANJA - ESB";"eSB";"684";"1535";"44,60"
"0028851";"SESAU USF COOPHAVILA II ALFREDO NEDER";"CENTRO DE SAUDE/UNIDADE BASICA";"0001744291";"EQUIPE ACQUA - ESB";"eSB";"309";"1350";"22,90"
"3051927";"SESAU USF ZE PEREIRA DR JURANDYR DE CASTRO COIMBRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001746510";"EQUIPE VERMELHA - ESB";"eSB";"279";"709";"39,40"
"9983449";"SESAU USF CRISTO REDENTOR DR CARLOS A JURGIELEWCZ";"CENTRO DE SAUDE/UNIDADE BASICA";"0001729691";"EQUIPE HORTENSIA - ESB";"eSB";"199";"869";"22,90"
"0028835";"SESAU USF PARQUE DO SOL DR BENJAMIM ASATO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001744852";"EQUIPE FENIX - ESB";"eSB";"374";"853";"43,80"
"3598209";"SESAU USF AERO ITALIA HERBERTO CALADO REBELO";"CENTRO DE SAUDE/UNIDADE BASICA";"0002040530";"EQUIPE HORTO FLORESTAL - ESB";"eSB";"94";"430";"21,90"
"3005690";"SESAU USF JARDIM NOROESTE";"CENTRO DE SAUDE/UNIDADE BASICA";"0001743910";"EQUIPE FLORES DO CERRADO - ESB";"eSB";"1303";"2776";"46,90"
"9443525";"SESAU USF OLIVEIRA II BENEDITO MARTINS GONCALVES";"CENTRO DE SAUDE/UNIDADE BASICA";"0001744569";"EQUIPE MARIA J FREITAS - ESB";"eSB";"369";"1657";"22,30"
"5506158";"SESAU CF DR MAURO R BARROS WANDERLEY IRACY COELHO NETTO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001718843";"EQUIPE IPE AZUL - ESB";"eSB";"28";"89";"31,50"
"6585612";"SESAU USF VIDA NOVA III AQUINO DIAS BEZERRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001743759";"EQUIPE TARSILA - ESB";"eSB";"1082";"2357";"45,90"
"2874474";"SESAU USF SANTA EMILIA JEFERSON RODRIGUES DE SOUZA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001747835";"EQUIPE GIRASSOL - ESB";"eSB";"680";"1862";"36,50"
"2752530";"SESAU CF DRA MARCIA DE SA EARP NOVA LIMA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001724835";"EQUIPE FOGO - ESB";"eSB";"233";"1032";"22,60"
"0010197";"SESAU USF SERRADINHO DR SUMIE IKEDA RODRIGUES";"CENTRO DE SAUDE/UNIDADE BASICA";"0001755072";"EQUIPE FENIX - ESB";"eSB";"814";"1754";"46,40"
"3198278";"SESAU USF PAULO COELHO MACHADO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001750569";"EQUIPE PRATA - ESB";"eSB";"137";"383";"35,80"
"3499642";"SESAU USF JARDIM PRESIDENTE DR NASRI SIUFI";"CENTRO DE SAUDE/UNIDADE BASICA";"0002164620";"EQUIPE ALFA - ESB";"eSB";"1871";"4511";"41,50"
"0010200";"SESAU USF JARDIM BONANCA DR HIROSE ADANIA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001735101";"EQUIPE LEOPARDO - ESB";"eSB";"511";"2034";"25,10"
"6731198";"SESAU USF JOSE TAVARES DO COUTO DR FERNANDO DE ARRUDA TORRES";"CENTRO DE SAUDE/UNIDADE BASICA";"0001735209";"EQUIPE LUZ - ESB";"eSB";"642";"1162";"55,20"
"2752530";"SESAU CF DRA MARCIA DE SA EARP NOVA LIMA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001724290";"EQUIPE AR - ESB";"eSB";"80";"489";"16,40"
"0024341";"SESAU USF JARDIM ITAMARACA EDSON QUINTINO MENDES";"CENTRO DE SAUDE/UNIDADE BASICA";"0001744682";"EQUIPE SAO TOME - ESB";"eSB";"289";"599";"48,20"
"0010316";"SESAU USF CIDADE MORENA DR VICENTE FRAGELLI";"CENTRO DE SAUDE/UNIDADE BASICA";"0001749579";"EQUIPE ROSA - ESB";"eSB";"311";"1113";"27,90"
"5672341";"SESAU USF ESTRELA DALVA DR JOAO MIGUEL BASMAGE";"CENTRO DE SAUDE/UNIDADE BASICA";"0001744445";"EQUIPE ROSA - ESB";"eSB";"920";"1781";"51,70"
"3005690";"SESAU USF JARDIM NOROESTE";"CENTRO DE SAUDE/UNIDADE BASICA";"0001743872";"EQUIPE BEIJA FLOR - ESB";"eSB";"301";"1929";"15,60"
"0010146";"SESAU USF MATA DO JACINTO DR ADEMAR GUEDES DE SOUZA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001728652";"EQUIPE AZUL - ESB";"eSB";"381";"1050";"36,30"
"9439919";"SESAU USF VILA COX";"CENTRO DE SAUDE/UNIDADE BASICA";"0001729861";"EQUIPE AZUL - ESB";"eSB";"1351";"2535";"53,30"
"0024457";"SESAU USF TIRADENTES DR ANTONIO PEREIRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001744046";"EQUIPE FLAMBOYANT - ESB";"eSB";"349";"1241";"28,10"
"0024341";"SESAU USF JARDIM ITAMARACA EDSON QUINTINO MENDES";"CENTRO DE SAUDE/UNIDADE BASICA";"0001744712";"EQUIPE CPACA - ESB";"eSB";"521";"1163";"44,80"
"3285294";"SESAU USF JARDIM LOS ANGELES SEBASTIAO LUIZ NOGUEIRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001743589";"EQUIPE VERMELHA - ESB";"eSB";"642";"1241";"51,70"
"3285294";"SESAU USF JARDIM LOS ANGELES SEBASTIAO LUIZ NOGUEIRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001743627";"EQUIPE AMARELA - ESB";"eSB";"910";"1632";"55,80"
"0028835";"SESAU USF PARQUE DO SOL DR BENJAMIM ASATO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001744836";"EQUIPE ARARA AZUL - ESB";"eSB";"1071";"1599";"67,00"
"7108052";"SESAU USF JARDIM ANTARTICA DR NELSON ASSEF BUAINAIN";"CENTRO DE SAUDE/UNIDADE BASICA";"0001753061";"EQUIPE VERMELHA - ESB";"eSB";"294";"1028";"28,60"
"3005690";"SESAU USF JARDIM NOROESTE";"CENTRO DE SAUDE/UNIDADE BASICA";"0001743988";"EQUIPE ARARA VERMELHA - ESB";"eSB";"478";"1855";"25,80"
"9983449";"SESAU USF CRISTO REDENTOR DR CARLOS A JURGIELEWCZ";"CENTRO DE SAUDE/UNIDADE BASICA";"0001911929";"EQUIPE VITORIA REGIA - ESB";"eSB";"374";"1047";"35,70"
"0010421";"SESAU USF JARDIM MARABA DRA MARLY ANNA TATTON BERG G PEREIRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001756451";"EQUIPE LARANJA - ESB";"eSB";"198";"1153";"17,20"
"7108001";"SESAU USF JARDIM BOTAFOGO DR ELIZABETH WANDERLE TOBARU";"CENTRO DE SAUDE/UNIDADE BASICA";"0001753460";"EQUIPE AREA AMARELA - ESB";"eSB";"371";"760";"48,80"
"7108001";"SESAU USF JARDIM BOTAFOGO DR ELIZABETH WANDERLE TOBARU";"CENTRO DE SAUDE/UNIDADE BASICA";"0001731130";"EQUIPE AREA VERMELHA - ESB";"eSB";"150";"519";"28,90"
"0021792";"SESAU USF ANHANDUI DR BENTO DE ASSIS MACHADO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001730681";"EQUIPE AGUIA - ESB";"eSB";"481";"1274";"37,80"
"0010294";"SESAU USF JOSE ABRAO DR ELIAS NASSER NETO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001730347";"EQUIPE JOSE ABRAO - ESB";"eSB";"569";"1400";"40,60"
"3080021";"SESAU USF JARDIM TARUMA DR EMILIO GARBELOTI NETO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001730622";"EQUIPE MARRON - ESB";"eSB";"340";"954";"35,60"
"9022007";"SESAU USF ANA MARIA DO COUTO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001728423";"EQUIPE GARRA - ESB";"eSB";"614";"1546";"39,70"
"3198278";"SESAU USF PAULO COELHO MACHADO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001750593";"EQUIPE OURO - ESB";"eSB";"893";"1813";"49,30"
"0021792";"SESAU USF ANHANDUI DR BENTO DE ASSIS MACHADO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001729357";"EQUIPE FENIX - ESB";"eSB";"145";"615";"23,60"
"0024430";"SESAU USF UNIVERSITARIO DR GERMANO BARROS DE SOUZA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001728946";"EQUIPE FENIX - ESB";"eSB";"42";"126";"33,30"
"0010421";"SESAU USF JARDIM MARABA DRA MARLY ANNA TATTON BERG G PEREIRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001756419";"EQUIPE VERDE - ESB";"eSB";"1062";"2768";"38,40"
"0010413";"SESAU USF JARDIM MACAUBAS DR SONI LYDIA SOUZA WOLF";"CENTRO DE SAUDE/UNIDADE BASICA";"0001750070";"EQUIPE CACTO - ESB";"eSB";"397";"902";"44,00"
"0010235";"SESAU USF VILA NASSER DR MILTON KOJO CHINEN";"CENTRO DE SAUDE/UNIDADE BASICA";"0001748556";"EQUIPE VERDE - ESB";"eSB";"111";"279";"39,80"
"0028851";"SESAU USF COOPHAVILA II ALFREDO NEDER";"CENTRO DE SAUDE/UNIDADE BASICA";"0001744356";"EQUIPE TUIUIU - ESB";"eSB";"777";"1579";"49,20"
"7096887";"SESAU USF AERO RANCHO IV DR NELSON TOKUEI SIMABUKURO";"CENTRO DE SAUDE/UNIDADE BASICA";"0002041642";"EQUIPE AZUL - ESB";"eSB";"481";"1752";"27,50"
"7096895";"SESAU USF JARDIM BATISTAO DR HELIO MARTINS COELHO";"CENTRO DE SAUDE/UNIDADE BASICA";"0002160242";"EQUIPE ARARA AZUL - ESB";"eSB";"313";"1195";"26,20"
"9443525";"SESAU USF OLIVEIRA II BENEDITO MARTINS GONCALVES";"CENTRO DE SAUDE/UNIDADE BASICA";"0001744623";"EQUIPE UNIAO - ESB";"eSB";"593";"1832";"32,40"
"3051358";"SESAU USF MARIO COVAS DR WAGNER JORGE BORTOTTO GARCIA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001750747";"EQUIPE ROXA - ESB";"eSB";"459";"933";"49,20"
"0010286";"SESAU USF COHAB DR OLIMPIO CAVALHEIRO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001743538";"EQUIPE VERDE - ESB";"eSB";"148";"502";"29,50"
"7568835";"SESAU USF VILA FERNANDA MARIA IVONE DE O NASCIMENTO ARAKAKI";"CENTRO DE SAUDE/UNIDADE BASICA";"0001755331";"EQUIPE AZUL - ESB";"eSB";"711";"1896";"37,50"
"5506158";"SESAU CF DR MAURO R BARROS WANDERLEY IRACY COELHO NETTO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001718185";"EQUIPE IPE ROSA - ESB";"eSB";"704";"1340";"52,50"
"3005690";"SESAU USF JARDIM NOROESTE";"CENTRO DE SAUDE/UNIDADE BASICA";"0001743937";"EQUIPE ARARA AZUL - ESB";"eSB";"1597";"3772";"42,30"
"0010340";"SESAU USF ALVES PEREIRA DR WALFRIDO AZAMBUJA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001754882";"EQUIPE AMARELA - ESB";"eSB";"47";"572";"8,20"
"3198278";"SESAU USF PAULO COELHO MACHADO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001750585";"EQUIPE ESMERALDA - ESB";"eSB";"44";"148";"29,70"
"0024457";"SESAU USF TIRADENTES DR ANTONIO PEREIRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001744100";"EQUIPE ESTRELA PARK - ESB";"eSB";"188";"874";"21,50"
"9898271";"SESAU USF DOM ANTONIO BARBOSA DR EVANDRO M DE ARRUDA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001912046";"EQUIPE VIOLETA - ESB";"eSB";"77";"188";"41,00"
