Ministério da Saúde MS
Secretaria de Atenção Primária à Saúde SAPS
Sistema de Informação para a Atenção Primária à Saúde – SIAPS
Dado gerado em: 14 de outubro de 2025 - 15:55h
Relatório Qualidade - Visão por Competência

Dados Sócio Demográficos:
UF: MS
Município: 500320 / CORUMBÁ

Filtro:
Indicador: Procedimentos Odontológicos preventivos na APS
Competência selecionada: AGO/25
Tipo de Equipe: eSB

CNES;ESTABELECIMENTO;TIPO DO ESTABELECIMENTO;INE;NOME DA EQUIPE;SIGLA DA EQUIPE;NÚMERO DE PROCEDIMENTOS PREVENTIVOS INDIVIDUAIS REALIZADOS;NÚMERO TOTAL DE PROCEDIMENTOS ODONTOLÓGICOS PREVENTIVOS REALIZADOS NA APS;PONTUAÇÃO
"2376148";"UNIDADE BASICA DE SAUDE FERNANDO MOUTINHO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001881361";"SAUDE BUCAL FERNANDO MOUTINHO";"eSB";"990";"2123";"46,60"
"2376512";"UNIDADE BASICA DE SAUDE DR ENIO CUNHA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001884972";"SAUDE BUCAL ENIO CUNHA";"eSB";"590";"1884";"31,30"
"2536684";"UNIDADE BASICA DE SAUDE NOVA CORUMBA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001882163";"SAUDE BUCAL NOVA CORUMBA";"eSB";"274";"712";"38,50"
"2676796";"UNIDADE BASICA DE SAUDE SAO BARTOLOMEU";"CENTRO DE SAUDE/UNIDADE BASICA";"0001863479";"SAUDE BUCAL SAO BARTOLOMEU";"eSB";"149";"596";"25,00"
"2376105";"UNIDADE BASICA DE SAUDE BRENO DE MEDEIROS";"CENTRO DE SAUDE/UNIDADE BASICA";"0001884735";"SAUDE BUCAL BRENO I";"eSB";"82";"174";"47,10"
"2591553";"UNIDADE BASICA DE SAUDE RURAL MATO GRANDE";"CENTRO DE SAUDE/UNIDADE BASICA";"0001884506";"SAUDE BUCAL ALBUQUERQUE";"eSB";"317";"556";"57,00"
"2376105";"UNIDADE BASICA DE SAUDE BRENO DE MEDEIROS";"CENTRO DE SAUDE/UNIDADE BASICA";"0001884808";"SAUDE BUCAL BRENO II";"eSB";"1027";"1407";"73,00"
"2603470";"UNIDADE BASICA DE SAUDE RURAL TAQUARAL";"CENTRO DE SAUDE/UNIDADE BASICA";"0001901281";"SAUDE BUCAL TAQUARAL";"eSB";"335";"719";"46,60"
"2558726";"UNIDADE BASICA DE SAUDE POPULAR VELHA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001880209";"SAUDE BUCAL POPULAR VELHA";"eSB";"124";"600";"20,70"
"6585426";"UNIDADE BASICA DE SAUDE LUIS FRAGELLI";"CENTRO DE SAUDE/UNIDADE BASICA";"0001904035";"SAUDE BUCAL LUIZ FRAGELLI";"eSB";"878";"1838";"47,80"
"2559498";"UNIDADE BASICA DE SAUDE GASTAO DE OLIVEIRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001903365";"SAUDE BUCAL GASTAO II";"eSB";"55";"124";"44,40"
"0456462";"UNIDADE BASICA DE SAUDE DR WALTER VICTORIO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001880837";"SAUDE BUCAL WALTER VICTORIO";"eSB";"164";"553";"29,70"
"7573170";"UNIDADE BASICA DE SAUDE DR ENIO CUNHA II";"CENTRO DE SAUDE/UNIDADE BASICA";"0001907697";"SAUDE BUCAL ENIO CUNHA II";"eSB";"172";"1174";"14,70"
"6564070";"UNIDADE BASICA DE SAUDE ANGELICA ANACHE";"CENTRO DE SAUDE/UNIDADE BASICA";"0001906054";"SAUDE BUCAL ANGELICA ANCHE";"eSB";"354";"637";"55,60"
"2536676";"UNIDADE BASICA DE SAUDE ROSIMEIRE DOS SANTOS AJALA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001901761";"SAUDE BUCAL BEIRA RIO";"eSB";"535";"874";"61,20"
"7320108";"UNIDADE BASICA DE SAUDE DR PEDRO PAULO DE BARROS II";"CENTRO DE SAUDE/UNIDADE BASICA";"0001863150";"SAUDE BUCAL PEDRO PAULO II";"eSB";"573";"1383";"41,40"
"2591553";"UNIDADE BASICA DE SAUDE RURAL MATO GRANDE";"CENTRO DE SAUDE/UNIDADE BASICA";"0001884220";"SAUDE BUCAL MATO GRANDE";"eSB";"140";"264";"53,00"
"2376121";"UNIDADE BASICA DE SAUDE PADRE ERNESTO SASSIDA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001885154";"SAUDE BUCAL ERNESTO SASSIDA";"eSB";"378";"822";"46,00"
"3043770";"UNIDADE BASICA DE SAUDE JOAO FERNANDES";"CENTRO DE SAUDE/UNIDADE BASICA";"0001905236";"SAUDE BUCAL JOAO FERNANDES";"eSB";"621";"1009";"61,50"
"6590209";"UNIDADE BASICA DE SAUDE DR PEDRO PAULO DE BARROS";"CENTRO DE SAUDE/UNIDADE BASICA";"0001906666";"SAUDE BUCAL PEDRO PAULO";"eSB";"52";"517";"10,10"
"0148636";"UNIDADE BASICA DE SAUDE DR BONIFACIO TIKAYOSHI TIAEN";"CENTRO DE SAUDE/UNIDADE BASICA";"0002059118";"SAUDE BUCAL BONIFACIO TIAEN";"eSB";"86";"164";"52,40"
"2559498";"UNIDADE BASICA DE SAUDE GASTAO DE OLIVEIRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001903039";"SAUDE BUCAL GASTAO I";"eSB";"273";"545";"50,10"

Fonte: Sistema de Informação para a Atenção Primária à Saúde - SIAPS
Dado preliminar
