Ministério da Saúde MS
Secretaria de Atenção Primária à Saúde SAPS
Sistema de Informação para a Atenção Primária à Saúde – SIAPS
Dado gerado em: 14 de outubro de 2025 - 15:58h
Relatório Qualidade - Visão por Competência

Dados Sócio Demográficos:
UF: MS
Município: 500370 / DOURADOS

Filtro:
Indicador: Procedimentos Odontológicos preventivos na APS
Competência selecionada: AGO/25
Tipo de Equipe: eSB

CNES;ESTABELECIMENTO;TIPO DO ESTABELECIMENTO;INE;NOME DA EQUIPE;SIGLA DA EQUIPE;NÚMERO DE PROCEDIMENTOS PREVENTIVOS INDIVIDUAIS REALIZADOS;NÚMERO TOTAL DE PROCEDIMENTOS ODONTOLÓGICOS PREVENTIVOS REALIZADOS NA APS;PONTUAÇÃO
"3489159";"UBS BEM TE VI VEREADOR AMERICO MONTEIRO SALGADO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001821938";"ESB - 52 SAUDE BUCAL";"eSB";"73";"906";"8,10"
"2710862";"UBS IZIDRO PEDROSO DR MOACIR STEIN ARRUDA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001835343";"ESB - 30 SAUDE BUCAL";"eSB";"261";"1037";"25,20"
"5592593";"UBS ALTOS DO INDAIA DRA HELENA YOSHIE MORIBE";"CENTRO DE SAUDE/UNIDADE BASICA";"0001910493";"ESB - 54 SAUDE BUCAL";"eSB";"534";"1829";"29,20"
"2711133";"UBS CACHOEIRINHA RAMAO VIEIRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001910272";"ESB - 12 SAUDE BUCAL";"eSB";"762";"2458";"31,00"
"3239837";"UBS JOQUEI CLUBE ANTONIO DA COSTA CARVALHO";"CENTRO DE SAUDE/UNIDADE BASICA";"0002052180";"ESB 27 - GIRASSOL";"eSB";"1262";"2616";"48,20"
"3489159";"UBS BEM TE VI VEREADOR AMERICO MONTEIRO SALGADO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001816462";"ESB - 29 SAUDE BUCAL";"eSB";"210";"1074";"19,60"
"2711109";"UBS SELETA BIANOR ALVES DA SILVA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001910477";"ESB - 39 SAUDE BUCAL";"eSB";"359";"1178";"30,50"
"2710862";"UBS IZIDRO PEDROSO DR MOACIR STEIN ARRUDA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001835580";"ESB - 32 SAUDE BUCAL";"eSB";"1067";"2660";"40,10"
"2711117";"UBS MARACANA MOTOHIDE HIRAISHI";"CENTRO DE SAUDE/UNIDADE BASICA";"0001980750";"ESB 22 - ALECRIM";"eSB";"718";"1430";"50,20"
"2711001";"UBS VILA FORMOSA MACAUBA ARINO PEREIRA DE MATTOS";"CENTRO DE SAUDE/UNIDADE BASICA";"0002054213";"ESB - 205 SAUDE BUCAL";"eSB";"174";"1385";"12,60"
"3977927";"UBS PARQUE DO LAGO II DR NELSON RODOLFO KOZOROSKI";"CENTRO DE SAUDE/UNIDADE BASICA";"0001909665";"ESB 53 - DA MATA";"eSB";"1134";"1744";"65,00"
"2711117";"UBS MARACANA MOTOHIDE HIRAISHI";"CENTRO DE SAUDE/UNIDADE BASICA";"0002052172";"ESB 25 - LAVANDA";"eSB";"642";"1643";"39,10"
"5592607";"UBS CABECEIRA ALEGRE LEVY SCHAUSTZ";"CENTRO DE SAUDE/UNIDADE BASICA";"0001924680";"ESB - 58 SAUDE BUCAL";"eSB";"250";"1414";"17,70"
"2710838";"UBS ITAHUM ALTAIR RAMIRES DE SOUZA DONA NEGA";"CENTRO DE SAUDE/UNIDADE BASICA";"0002054132";"ESB - 201 SAUDE BUCAL";"eSB";"188";"961";"19,60"
"2711044";"UBS VILA VARGAS ANTONIA MARQUES";"CENTRO DE SAUDE/UNIDADE BASICA";"0002054175";"ESB - 204 SAUDE BUCAL";"eSB";"1019";"2267";"44,90"
"2711079";"UBS JARDIM PIRATININGA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001924583";"ESB - 24 SAUDE BUCAL";"eSB";"378";"749";"50,50"
"5592607";"UBS CABECEIRA ALEGRE LEVY SCHAUSTZ";"CENTRO DE SAUDE/UNIDADE BASICA";"0001841696";"ESB - 21 SAUDE BUCAL";"eSB";"460";"1031";"44,60"
"2711125";"UBS PARQUE DAS NACOES II DR LUIZ ANTONIO ALVES";"CENTRO DE SAUDE/UNIDADE BASICA";"0001909509";"ESB - 19 SAUDE BUCAL";"eSB";"1125";"2562";"43,90"
"2711141";"UBS VILA HILDA DR ARCHIDUQUE FERNANDES";"CENTRO DE SAUDE/UNIDADE BASICA";"0002052113";"ESB - 14 SAUDE BUCAL";"eSB";"181";"209";"86,60"
"2711117";"UBS MARACANA MOTOHIDE HIRAISHI";"CENTRO DE SAUDE/UNIDADE BASICA";"0001842242";"ESB 23 - HORTELA";"eSB";"283";"1176";"24,10"
"2710811";"UBS INDAPOLIS VEREADOR FREDERICO BERNARDO FRITZ HOLTERMANN";"CENTRO DE SAUDE/UNIDADE BASICA";"0002054159";"ESB - 203 SAUDE BUCAL";"eSB";"103";"677";"15,20"
"2710889";"UBS CSU DR LEON TOLSTOI RODRIGUES DE LIMA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001909924";"ESB - 48 SAUDE BUCAL";"eSB";"555";"1851";"30,00"
"6822924";"UBS VILA INDIO ENF JACI SILVA MARTINS";"CENTRO DE SAUDE/UNIDADE BASICA";"0002054019";"ESB - 43 SAUDE BUCAL";"eSB";"789";"1951";"40,40"
"2711109";"UBS SELETA BIANOR ALVES DA SILVA";"CENTRO DE SAUDE/UNIDADE BASICA";"0002053942";"ESB - 41 SAUDE BUCAL";"eSB";"319";"694";"46,00"
"2711052";"UBS CUIABAZINHO FREI HUGOLINO BECKER";"CENTRO DE SAUDE/UNIDADE BASICA";"0002053918";"ESB - 40 SAUDE BUCAL";"eSB";"929";"1892";"49,10"
"2710986";"UBS PANAMBI E SAO PEDRO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001842846";"ESB - 202 SAUDE BUCAL";"eSB";"72";"599";"12,00"
"7489102";"UBS GUAICURUS ERISVALDO MENDONCA DOS SANTOS";"CENTRO DE SAUDE/UNIDADE BASICA";"0001835777";"ESB - 55 SAUDE BUCAL";"eSB";"497";"889";"55,90"
"2711168";"UBS PARQUE DAS NACOES I OTAVIA VITORINO SERRANTE";"CENTRO DE SAUDE/UNIDADE BASICA";"0001842447";"ESB - 20 SAUDE BUCAL";"eSB";"1187";"2435";"48,70"
"2710889";"UBS CSU DR LEON TOLSTOI RODRIGUES DE LIMA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001910043";"ESB - 47 SAUDE BUCAL";"eSB";"401";"983";"40,80"
