Ministério da Saúde MS
Secretaria de Atenção Primária à Saúde SAPS
Sistema de Informação para a Atenção Primária à Saúde – SIAPS
Dado gerado em: 14 de outubro de 2025 - 16:13h
Relatório Qualidade - Visão por Competência

Dados Sócio Demográficos:
UF: MS
Município: 500660 / PONTA PORÃ

Filtro:
Indicador: Procedimentos Odontológicos preventivos na APS
Competência selecionada: AGO/25
Tipo de Equipe: eSB

CNES;ESTABELECIMENTO;TIPO DO ESTABELECIMENTO;INE;NOME DA EQUIPE;SIGLA DA EQUIPE;NÚMERO DE PROCEDIMENTOS PREVENTIVOS INDIVIDUAIS REALIZADOS;NÚMERO TOTAL DE PROCEDIMENTOS ODONTOLÓGICOS PREVENTIVOS REALIZADOS NA APS;PONTUAÇÃO
"2599465";"UNIDADE BASICA DE SAUDE LEONOR COELHO BATISTA";"CENTRO DE SAUDE/UNIDADE BASICA";"0002096315";"ESB - LEONOR COELHO BATISTA";"eSB";"24";"369";"6,50"
"5683238";"UNIDADE BASICA DE SAUDE ROSANGELA PEREIRA SILVA";"CENTRO DE SAUDE/UNIDADE BASICA";"0002096358";"ESB - ITAMARATI";"eSB";"129";"792";"16,30"
"9042849";"UNIDADE BASICA DE SAUDE DR JOSE ISSA";"CENTRO DE SAUDE/UNIDADE BASICA";"0002038420";"ESB - JOSE ISSA";"eSB";"234";"1696";"13,80"
"2651556";"UNIDADE BASICA DE SAUDE LAR GERALDO GARCIA";"CENTRO DE SAUDE/UNIDADE BASICA";"0002096323";"ESB - GERALDO GARCIA I";"eSB";"400";"1954";"20,50"
"7281986";"UNIDADE BASICA DE SAUDE JOSE ALBERTO VIEIRA BOCH";"CENTRO DE SAUDE/UNIDADE BASICA";"0002096366";"ESB - JARDIM ESTORIL";"eSB";"526";"1821";"28,90"
"5683238";"UNIDADE BASICA DE SAUDE ROSANGELA PEREIRA SILVA";"CENTRO DE SAUDE/UNIDADE BASICA";"0002096331";"ESB-ITINERANTE";"eSB";"76";"760";"10,00"
"2361019";"UNIDADE BASICA DE SAUDE AUDELINA DE CAMPOS";"CENTRO DE SAUDE/UNIDADE BASICA";"0002096382";"ESB - CABECEIRA DO APA";"eSB";"159";"489";"32,50"
"9003479";"UNIDADE BASICA DE SAUDE ZENEIDA TERRA DE SIQUEIRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0002083558";"ESB - JARDIM IVONE";"eSB";"290";"911";"31,80"
"9387919";"UNIDADE BASICA DE SAUDE DRA NISLAINE COLMAN BENITES";"CENTRO DE SAUDE/UNIDADE BASICA";"0002096390";"ESB - VILA RENO";"eSB";"133";"845";"15,70"
"5911192";"UNIDADE BASICA DE SAUDE DR PEDRO MONTEIRO DE ALMEIDA";"CENTRO DE SAUDE/UNIDADE BASICA";"0002052792";"ESB - JARDIM AEROPORTO";"eSB";"766";"922";"83,10"
"2651564";"CENTRO INTEGRADO DE SAUDE CIS TERTULIANA DE FREITAS";"CENTRO DE SAUDE/UNIDADE BASICA";"0002225964";"ESB - CIS II";"eSB";"178";"1351";"13,20"
"5870178";"UNIDADE BASICA DE SAUDE DR NERY ALVES DE AZAMBUJA";"CENTRO DE SAUDE/UNIDADE BASICA";"0002057433";"ESB - MARAMBAIA";"eSB";"30";"373";"8,00"
"0998400";"UNIDADE BASICA DE SAUDE DR RODRIGO LIMA VILHANUEVA";"CENTRO DE SAUDE/UNIDADE BASICA";"0002083531";"ESB - KAMEL SAAD";"eSB";"284";"2060";"13,80"
"9075062";"UNIDADE BASICA DE SAUDE ENFERMEIRA ELIZA MEDINA BARRETO";"CENTRO DE SAUDE/UNIDADE BASICA";"0002057441";"ESB - SAO RAFAEL";"eSB";"18";"53";"34,00"
"2651521";"UNIDADE BASICA DE SAUDE NELSON MACHADO DIAS";"CENTRO DE SAUDE/UNIDADE BASICA";"0002079925";"ESB - IPE II";"eSB";"1794";"3878";"46,30"
"5971918";"UNIDADE BASICA DE SAUDE ANDERSON LUIZ MONTEIRO GODOY";"CENTRO DE SAUDE/UNIDADE BASICA";"0002052822";"ESB VILA AUREA";"eSB";"1256";"2402";"52,30"
"2361000";"UNIDADE BASICA DE SAUDE JOSE BATAGLIN";"CENTRO DE SAUDE/UNIDADE BASICA";"0002079917";"ESB - SANGA PUITA";"eSB";"959";"1055";"90,90"
"3830497";"UNIDADE BASICA DE SAUDE JOSE ALBERTO FERREIRA NEVES";"CENTRO DE SAUDE/UNIDADE BASICA";"0002079933";"ESB - JARDIM ALEGRETE";"eSB";"626";"1558";"40,20"

Fonte: Sistema de Informação para a Atenção Primária à Saúde - SIAPS
Dado preliminar
