Ministério da Saúde MS
Secretaria de Atenção Primária à Saúde SAPS
Sistema de Informação para a Atenção Primária à Saúde – SIAPS
Dado gerado em: 14 de outubro de 2025 - 16:20h
Relatório Qualidade - Visão por Competência

Dados Sócio Demográficos:
UF: MS
Município: 500830 / TRÊS LAGOAS

Filtro:
Indicador: Procedimentos Odontológicos preventivos na APS
Competência selecionada: AGO/25
Tipo de Equipe: eSB

CNES;ESTABELECIMENTO;TIPO DO ESTABELECIMENTO;INE;NOME DA EQUIPE;SIGLA DA EQUIPE;NÚMERO DE PROCEDIMENTOS PREVENTIVOS INDIVIDUAIS REALIZADOS;NÚMERO TOTAL DE PROCEDIMENTOS ODONTOLÓGICOS PREVENTIVOS REALIZADOS NA APS;PONTUAÇÃO
"2757109";"UNIDADE DE SAUDE DA FAMILIA PARANAPUNGA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001812742";"PARANAPUNGA SAUDE BUCAL I";"eSB";"90";"376";"23,90"
"9543333";"UNIDADE DE SAUDE DA FAMILIA NOVA TRES LAGOAS";"CENTRO DE SAUDE/UNIDADE BASICA";"0001815229";"NOVA TRES LAGOAS SAUDE BUCAL I";"eSB";"1395";"3275";"42,60"
"2757125";"UNIDADE DE SAUDE DA FAMILIA SANTO ANDRE";"CENTRO DE SAUDE/UNIDADE BASICA";"0001813412";"ESF SANTO ANDRE SAUDE BUCAL II";"eSB";"529";"1585";"33,40"
"9390693";"UNIDADE DE SAUDE DA FAMILIA JARDIM ATENAS BISPO DOM MOREIRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0002312271";"JARDIM ATENAS SAUDE BUCAL II";"eSB";"307";"2009";"15,30"
"2757109";"UNIDADE DE SAUDE DA FAMILIA PARANAPUNGA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001812777";"ESF PARANAPUNGA SAUDE BUCAL II";"eSB";"943";"2567";"36,70"
"2757125";"UNIDADE DE SAUDE DA FAMILIA SANTO ANDRE";"CENTRO DE SAUDE/UNIDADE BASICA";"0001813315";"SANTO ANDRE SAUDE BUCAL I";"eSB";"1375";"2385";"57,70"
"9390693";"UNIDADE DE SAUDE DA FAMILIA JARDIM ATENAS BISPO DOM MOREIRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001812424";"JARDIM ATENAS SAUDE BUCAL I";"eSB";"359";"2349";"15,30"
"9615946";"UNIDADE DE SAUDE DA FAMILIA NOVO OESTE PASTOR MARCOS ROGERIO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001815016";"NOVO OESTE SAUDE BUCAL I";"eSB";"269";"1077";"25,00"
"2757087";"UNIDADE DE SAUDE DA FAMILIA JUPIA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001812696";"JUPIA SAUDE BUCAL I";"eSB";"802";"1970";"40,70"
"2757168";"UNIDADE DE SAUDE DA FAMILIA VILA PILOTO ADRIANA CRISTINA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001812475";"ESF VILA PILOTO SAUDE BUCAL II";"eSB";"537";"1269";"42,30"
"2757060";"UNIDADE DE SAUDE DA FAMILIA INTERLAGOS GABRIEL MARQUES FERNA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001812211";"ESF INTERLAGOS SAUDE BUCAL I";"eSB";"213";"947";"22,50"
"2757141";"UNIDADE DE SAUDE DA FAMILIA VILA HARO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001813560";"VILA HARO SAUDE BUCAL I";"eSB";"492";"2052";"24,00"
"2757133";"UNIDADE DE SAUDE DA FAMILIA VILA ALEGRE";"CENTRO DE SAUDE/UNIDADE BASICA";"0002180081";"VILA ALEGRE SAUDE BUCAL I";"eSB";"583";"1501";"38,80"
"2757117";"UNIDADE DE SAUDE DA FAMILIA SANTA RITA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001812815";"SANTA RITA SAUDE BUCAL II";"eSB";"1213";"1973";"61,50"
"2757079";"UNIDADE DE SAUDE DA FAMILIA JOEL NEVES SILVA";"CENTRO DE SAUDE/UNIDADE BASICA";"0002180111";"JOEL NEVES SAUDE BUCAL II";"eSB";"1220";"2251";"54,20"
"2757060";"UNIDADE DE SAUDE DA FAMILIA INTERLAGOS GABRIEL MARQUES FERNA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001812408";"INTERLAGOS SAUDE BUCAL II";"eSB";"91";"565";"16,10"
"2757117";"UNIDADE DE SAUDE DA FAMILIA SANTA RITA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001812823";"ESF SANTA RITA SAUDE BUCAL I";"eSB";"991";"3391";"29,20"
"6343864";"UNIDADE DE SAUDE DA FAMILIA JARDIM MARISTELA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001812548";"MARISTELA SAUDE BUCAL II";"eSB";"1315";"2527";"52,00"
"2757052";"UNIDADE DE SAUDE DA FAMILIA EURIDICE CHAGAS CRUZ";"CENTRO DE SAUDE/UNIDADE BASICA";"0002180138";"EURIDICE CHAGAS CRUZ SAUDE BUC";"eSB";"49";"132";"37,10"
"2757168";"UNIDADE DE SAUDE DA FAMILIA VILA PILOTO ADRIANA CRISTINA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001812459";"VILA PILOTO SAUDE BUCAL I";"eSB";"69";"464";"14,90"
"2757052";"UNIDADE DE SAUDE DA FAMILIA EURIDICE CHAGAS CRUZ";"CENTRO DE SAUDE/UNIDADE BASICA";"0002273365";"EURIDICE CHAGAS SAUDE BUCAL II";"eSB";"1163";"2394";"48,60"
"2757095";"UNIDADE DE SAUDE DA FAMILIA MIGUEL NUNES";"CENTRO DE SAUDE/UNIDADE BASICA";"0002180146";"MIGUEL NUNES SAUDE BUCAL I";"eSB";"339";"2143";"15,80"
"6343864";"UNIDADE DE SAUDE DA FAMILIA JARDIM MARISTELA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001812637";"ESF MARISTELA SAUDE BUCAL I";"eSB";"42";"71";"59,20"

Fonte: Sistema de Informação para a Atenção Primária à Saúde - SIAPS
Dado preliminar
