Ministério da Saúde MS
Secretaria de Atenção Primária à Saúde SAPS
Sistema de Informação para a Atenção Primária à Saúde – SIAPS
Dado gerado em: 14 de outubro de 2025 - 08:37h
Relatório Qualidade - Visão por Competência

Dados Sócio Demográficos:
UF: MS
Município: 500110 / AQUIDAUANA

Filtro:
Indicador: Taxa de exodontias na APS
Competência selecionada: AGO/25
Tipo de Equipe: eSB

CNES;ESTABELECIMENTO;TIPO DO ESTABELECIMENTO;INE;NOME DA EQUIPE;SIGLA DA EQUIPE;NÚMERO TOTAL DE EXODONTIAS REALIZADAS;NÚMERO DE TOTAL DE PROCEDIMENTOS INDIVIDUAIS PREVENTIVOS, CURATIVOS E EXODONTIAS REALIZADAS;PONTUAÇÃO
"7525877";"UNIDADE DE SAUDE DA FAMILIA MODESTO PEREIRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001778455";"ODONTO TAUNAY/MORRINHO";"eSB";"20";"676";"3,00"
"2659662";"UNIDADE DE SAUDE DA FAMILIA SANTA TEREZINHA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001760742";"ODONTO CLAUDIO FERNADO STELLA";"eSB";"121";"922";"13,10"
"5601010";"UNIDADE DE SAUDE DA FAMILIA BAIRRO ALTO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001740040";"ODONTO CANDIDO PINHEIRO FILHO";"eSB";"131";"1837";"7,10"
"2659662";"UNIDADE DE SAUDE DA FAMILIA SANTA TEREZINHA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001760122";"ODONTO JOSE VORIA";"eSB";"53";"931";"5,70"
"0467499";"UNIDADE DE SAUDE DA FAMILIA DRA CELIA VAZ DE CAMPOS TRINDADE";"CENTRO DE SAUDE/UNIDADE BASICA";"0002150220";"ODONTO DRA CELIA VAZ TRINDADE";"eSB";"109";"1592";"6,80"
"7065817";"ESTRATEGIA DE SAUDE DA FAMILIA IZAURA BAES";"CENTRO DE SAUDE/UNIDADE BASICA";"0001761188";"ODONTO NOVA AQUIDAUANA II";"eSB";"147";"1030";"14,30"
"2360209";"UNIDADE DE SAUDE DA FAMILIA ELCIRIA RITA BRANDES GARCIA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001762036";"ODONTO VILA 40- SAO FRANCISCO";"eSB";"98";"1077";"9,10"
"2659670";"UNIDADE DE SAUDE DA FAMILIA CIDADE NOVA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001741330";"ODONTO JOAO ANDRE MADSEN";"eSB";"101";"1344";"7,50"
"2659670";"UNIDADE DE SAUDE DA FAMILIA CIDADE NOVA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001741586";"ODONTO TIAGO BOGADO FIGUEIREDO";"eSB";"109";"962";"11,30"
"5601010";"UNIDADE DE SAUDE DA FAMILIA BAIRRO ALTO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001740423";"ODONTO JOAO JORGE CARNEIRO";"eSB";"41";"1383";"3,00"
"6315356";"ESTRATEGIA DE SAUDE DA FAMILIA SAO PEDRO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001735284";"ODONTO VILA SAO PEDRO";"eSB";"83";"1263";"6,60"
"3240053";"ESTRATEGIA DE SAUDE DA FAMILIA VILA TRINDADE";"CENTRO DE SAUDE/UNIDADE BASICA";"0001759760";"ODONTO VILA TRINDADE";"eSB";"178";"1359";"13,10"
"2360217";"UNIDADE DE SAUDE DA FAMILIA VILA PINHEIRO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001736612";"ODONTO VILA PINHEIRO";"eSB";"79";"1144";"6,90"
"6310834";"ESTRATEGIA DE SAUDE DA FAMILIA CIPOLANDIA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001738658";"ODONTO CIPOLANDIA";"eSB";"40";"644";"6,20"
"3240061";"ESTRATEGIA DE SAUDE DA FAMILIA GUANANDY";"CENTRO DE SAUDE/UNIDADE BASICA";"0001756990";"ODONTO GUANANDY";"eSB";"63";"1166";"5,40"
"2360225";"ESTRATEGIA DE SAUDE DA FAMILIA CAMISAO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001775413";"ODONTO CAMISAO/PIRAPUTANGA";"eSB";"97";"776";"12,50"
"2659689";"ESTRATEGIA DE SAUDE DA FAMILIA NOVA AQUIDAUANA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001737775";"ODONTO NOVA AQUIDAUANA";"eSB";"54";"1375";"3,90"

Fonte: Sistema de Informação para a Atenção Primária à Saúde - SIAPS
Dado preliminar
