Ministério da Saúde MS
Secretaria de Atenção Primária à Saúde SAPS
Sistema de Informação para a Atenção Primária à Saúde – SIAPS
Dado gerado em: 14 de outubro de 2025 - 08:43h
Relatório Qualidade - Visão por Competência

Dados Sócio Demográficos:
UF: MS
Município: 500270 / CAMPO GRANDE

Filtro:
Indicador: Taxa de exodontias na APS
Competência selecionada: AGO/25
Tipo de Equipe: eSB

CNES;ESTABELECIMENTO;TIPO DO ESTABELECIMENTO;INE;NOME DA EQUIPE;SIGLA DA EQUIPE;NÚMERO TOTAL DE EXODONTIAS REALIZADAS;NÚMERO DE TOTAL DE PROCEDIMENTOS INDIVIDUAIS PREVENTIVOS, CURATIVOS E EXODONTIAS REALIZADAS;PONTUAÇÃO
"0010219";"SESAU USF INDUBRASIL MANOEL SECCO THOME";"CENTRO DE SAUDE/UNIDADE BASICA";"0001755900";"EQUIPE VERMELHA - ESB";"eSB";"94";"779";"12,10"
"0010146";"SESAU USF MATA DO JACINTO DR ADEMAR GUEDES DE SOUZA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001728644";"EQUIPE VERMELHA - ESB";"eSB";"28";"863";"3,20"
"0010278";"SESAU USF MARIA APARECIDA PEDROSSIAN";"CENTRO DE SAUDE/UNIDADE BASICA";"0001755749";"EQUIPE SAO JOSE - ESB";"eSB";"1";"95";"1,10"
"6585612";"SESAU USF VIDA NOVA III AQUINO DIAS BEZERRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001796178";"EQUIPE ANACHE - ESB";"eSB";"27";"1202";"2,20"
"2874474";"SESAU USF SANTA EMILIA JEFERSON RODRIGUES DE SOUZA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001731017";"EQUIPE JOAO DE BARROS - ESB";"eSB";"130";"2057";"6,30"
"0010340";"SESAU USF ALVES PEREIRA DR WALFRIDO AZAMBUJA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001754815";"EQUIPE LARANJA - ESB";"eSB";"24";"1022";"2,30"
"0028851";"SESAU USF COOPHAVILA II ALFREDO NEDER";"CENTRO DE SAUDE/UNIDADE BASICA";"0001744291";"EQUIPE ACQUA - ESB";"eSB";"28";"1256";"2,20"
"3051927";"SESAU USF ZE PEREIRA DR JURANDYR DE CASTRO COIMBRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001746510";"EQUIPE VERMELHA - ESB";"eSB";"42";"706";"5,90"
"9983449";"SESAU USF CRISTO REDENTOR DR CARLOS A JURGIELEWCZ";"CENTRO DE SAUDE/UNIDADE BASICA";"0001729691";"EQUIPE HORTENSIA - ESB";"eSB";"29";"770";"3,80"
"0028835";"SESAU USF PARQUE DO SOL DR BENJAMIM ASATO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001744852";"EQUIPE FENIX - ESB";"eSB";"21";"539";"3,90"
"3598209";"SESAU USF AERO ITALIA HERBERTO CALADO REBELO";"CENTRO DE SAUDE/UNIDADE BASICA";"0002040530";"EQUIPE HORTO FLORESTAL - ESB";"eSB";"6";"395";"1,50"
"3005690";"SESAU USF JARDIM NOROESTE";"CENTRO DE SAUDE/UNIDADE BASICA";"0001743910";"EQUIPE FLORES DO CERRADO - ESB";"eSB";"58";"1636";"3,50"
"9443525";"SESAU USF OLIVEIRA II BENEDITO MARTINS GONCALVES";"CENTRO DE SAUDE/UNIDADE BASICA";"0001744569";"EQUIPE MARIA J FREITAS - ESB";"eSB";"17";"1490";"1,10"
"5506158";"SESAU CF DR MAURO R BARROS WANDERLEY IRACY COELHO NETTO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001718843";"EQUIPE IPE AZUL - ESB";"eSB";"4";"84";"4,80"
"6585612";"SESAU USF VIDA NOVA III AQUINO DIAS BEZERRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001743759";"EQUIPE TARSILA - ESB";"eSB";"103";"1462";"7,00"
"2874474";"SESAU USF SANTA EMILIA JEFERSON RODRIGUES DE SOUZA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001747835";"EQUIPE GIRASSOL - ESB";"eSB";"68";"1379";"4,90"
"2752530";"SESAU CF DRA MARCIA DE SA EARP NOVA LIMA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001724835";"EQUIPE FOGO - ESB";"eSB";"4";"997";"0,40"
"0010197";"SESAU USF SERRADINHO DR SUMIE IKEDA RODRIGUES";"CENTRO DE SAUDE/UNIDADE BASICA";"0001755072";"EQUIPE FENIX - ESB";"eSB";"27";"1286";"2,10"
"3198278";"SESAU USF PAULO COELHO MACHADO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001750569";"EQUIPE PRATA - ESB";"eSB";"11";"372";"3,00"
"3499642";"SESAU USF JARDIM PRESIDENTE DR NASRI SIUFI";"CENTRO DE SAUDE/UNIDADE BASICA";"0002164620";"EQUIPE ALFA - ESB";"eSB";"107";"2930";"3,70"
"0010200";"SESAU USF JARDIM BONANCA DR HIROSE ADANIA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001735101";"EQUIPE LEOPARDO - ESB";"eSB";"16";"1629";"1,00"
"6731198";"SESAU USF JOSE TAVARES DO COUTO DR FERNANDO DE ARRUDA TORRES";"CENTRO DE SAUDE/UNIDADE BASICA";"0001735209";"EQUIPE LUZ - ESB";"eSB";"14";"742";"1,90"
"2752530";"SESAU CF DRA MARCIA DE SA EARP NOVA LIMA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001724290";"EQUIPE AR - ESB";"eSB";"11";"489";"2,20"
"0024341";"SESAU USF JARDIM ITAMARACA EDSON QUINTINO MENDES";"CENTRO DE SAUDE/UNIDADE BASICA";"0001744682";"EQUIPE SAO TOME - ESB";"eSB";"24";"435";"5,50"
"0010316";"SESAU USF CIDADE MORENA DR VICENTE FRAGELLI";"CENTRO DE SAUDE/UNIDADE BASICA";"0001749579";"EQUIPE ROSA - ESB";"eSB";"30";"954";"3,10"
"5672341";"SESAU USF ESTRELA DALVA DR JOAO MIGUEL BASMAGE";"CENTRO DE SAUDE/UNIDADE BASICA";"0001744445";"EQUIPE ROSA - ESB";"eSB";"80";"1071";"7,50"
"3005690";"SESAU USF JARDIM NOROESTE";"CENTRO DE SAUDE/UNIDADE BASICA";"0001743872";"EQUIPE BEIJA FLOR - ESB";"eSB";"72";"1925";"3,70"
"0010146";"SESAU USF MATA DO JACINTO DR ADEMAR GUEDES DE SOUZA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001728652";"EQUIPE AZUL - ESB";"eSB";"1";"928";"0,10"
"9439919";"SESAU USF VILA COX";"CENTRO DE SAUDE/UNIDADE BASICA";"0001729861";"EQUIPE AZUL - ESB";"eSB";"37";"1696";"2,20"
"0024457";"SESAU USF TIRADENTES DR ANTONIO PEREIRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001744046";"EQUIPE FLAMBOYANT - ESB";"eSB";"50";"1229";"4,10"
"0024341";"SESAU USF JARDIM ITAMARACA EDSON QUINTINO MENDES";"CENTRO DE SAUDE/UNIDADE BASICA";"0001744712";"EQUIPE CPACA - ESB";"eSB";"14";"835";"1,70"
"3285294";"SESAU USF JARDIM LOS ANGELES SEBASTIAO LUIZ NOGUEIRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001743589";"EQUIPE VERMELHA - ESB";"eSB";"15";"772";"1,90"
"3285294";"SESAU USF JARDIM LOS ANGELES SEBASTIAO LUIZ NOGUEIRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001743627";"EQUIPE AMARELA - ESB";"eSB";"102";"948";"10,80"
"0028835";"SESAU USF PARQUE DO SOL DR BENJAMIM ASATO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001744836";"EQUIPE ARARA AZUL - ESB";"eSB";"27";"635";"4,30"
"7108052";"SESAU USF JARDIM ANTARTICA DR NELSON ASSEF BUAINAIN";"CENTRO DE SAUDE/UNIDADE BASICA";"0001753061";"EQUIPE VERMELHA - ESB";"eSB";"6";"854";"0,70"
"3005690";"SESAU USF JARDIM NOROESTE";"CENTRO DE SAUDE/UNIDADE BASICA";"0001743988";"EQUIPE ARARA VERMELHA - ESB";"eSB";"164";"1587";"10,30"
"9983449";"SESAU USF CRISTO REDENTOR DR CARLOS A JURGIELEWCZ";"CENTRO DE SAUDE/UNIDADE BASICA";"0001911929";"EQUIPE VITORIA REGIA - ESB";"eSB";"44";"788";"5,60"
"0010421";"SESAU USF JARDIM MARABA DRA MARLY ANNA TATTON BERG G PEREIRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001756451";"EQUIPE LARANJA - ESB";"eSB";"122";"1141";"10,70"
"7108001";"SESAU USF JARDIM BOTAFOGO DR ELIZABETH WANDERLE TOBARU";"CENTRO DE SAUDE/UNIDADE BASICA";"0001753460";"EQUIPE AREA AMARELA - ESB";"eSB";"18";"505";"3,60"
"7108001";"SESAU USF JARDIM BOTAFOGO DR ELIZABETH WANDERLE TOBARU";"CENTRO DE SAUDE/UNIDADE BASICA";"0001731130";"EQUIPE AREA VERMELHA - ESB";"eSB";"35";"502";"7,00"
"0021792";"SESAU USF ANHANDUI DR BENTO DE ASSIS MACHADO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001730681";"EQUIPE AGUIA - ESB";"eSB";"90";"995";"9,00"
"0010294";"SESAU USF JOSE ABRAO DR ELIAS NASSER NETO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001730347";"EQUIPE JOSE ABRAO - ESB";"eSB";"29";"1004";"2,90"
"3080021";"SESAU USF JARDIM TARUMA DR EMILIO GARBELOTI NETO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001730622";"EQUIPE MARRON - ESB";"eSB";"28";"747";"3,70"
"9022007";"SESAU USF ANA MARIA DO COUTO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001728423";"EQUIPE GARRA - ESB";"eSB";"12";"1013";"1,20"
"3198278";"SESAU USF PAULO COELHO MACHADO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001750593";"EQUIPE OURO - ESB";"eSB";"7";"1088";"0,60"
"0021792";"SESAU USF ANHANDUI DR BENTO DE ASSIS MACHADO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001729357";"EQUIPE FENIX - ESB";"eSB";"14";"614";"2,30"
"0024430";"SESAU USF UNIVERSITARIO DR GERMANO BARROS DE SOUZA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001728946";"EQUIPE FENIX - ESB";"eSB";"9";"110";"8,20"
"0010421";"SESAU USF JARDIM MARABA DRA MARLY ANNA TATTON BERG G PEREIRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001756419";"EQUIPE VERDE - ESB";"eSB";"14";"2346";"0,60"
"0010413";"SESAU USF JARDIM MACAUBAS DR SONI LYDIA SOUZA WOLF";"CENTRO DE SAUDE/UNIDADE BASICA";"0001750070";"EQUIPE CACTO - ESB";"eSB";"157";"526";"29,80"
"0010235";"SESAU USF VILA NASSER DR MILTON KOJO CHINEN";"CENTRO DE SAUDE/UNIDADE BASICA";"0001748556";"EQUIPE VERDE - ESB";"eSB";"4";"208";"1,90"
"0028851";"SESAU USF COOPHAVILA II ALFREDO NEDER";"CENTRO DE SAUDE/UNIDADE BASICA";"0001744356";"EQUIPE TUIUIU - ESB";"eSB";"27";"849";"3,20"
"7096887";"SESAU USF AERO RANCHO IV DR NELSON TOKUEI SIMABUKURO";"CENTRO DE SAUDE/UNIDADE BASICA";"0002041642";"EQUIPE AZUL - ESB";"eSB";"45";"1530";"2,90"
"7096895";"SESAU USF JARDIM BATISTAO DR HELIO MARTINS COELHO";"CENTRO DE SAUDE/UNIDADE BASICA";"0002160242";"EQUIPE ARARA AZUL - ESB";"eSB";"50";"975";"5,10"
"9443525";"SESAU USF OLIVEIRA II BENEDITO MARTINS GONCALVES";"CENTRO DE SAUDE/UNIDADE BASICA";"0001744623";"EQUIPE UNIAO - ESB";"eSB";"8";"1319";"0,60"
"3051358";"SESAU USF MARIO COVAS DR WAGNER JORGE BORTOTTO GARCIA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001750747";"EQUIPE ROXA - ESB";"eSB";"14";"592";"2,40"
"0010286";"SESAU USF COHAB DR OLIMPIO CAVALHEIRO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001743538";"EQUIPE VERDE - ESB";"eSB";"17";"474";"3,60"
"7568835";"SESAU USF VILA FERNANDA MARIA IVONE DE O NASCIMENTO ARAKAKI";"CENTRO DE SAUDE/UNIDADE BASICA";"0001755331";"EQUIPE AZUL - ESB";"eSB";"95";"1508";"6,30"
"5506158";"SESAU CF DR MAURO R BARROS WANDERLEY IRACY COELHO NETTO";"CENTRO DE SAUDE/UNIDADE BASICA";"0001718185";"EQUIPE IPE ROSA - ESB";"eSB";"78";"725";"10,80"
"3005690";"SESAU USF JARDIM NOROESTE";"CENTRO DE SAUDE/UNIDADE BASICA";"0001743937";"EQUIPE ARARA AZUL - ESB";"eSB";"112";"2367";"4,70"
"0010340";"SESAU USF ALVES PEREIRA DR WALFRIDO AZAMBUJA";"CENTRO DE SAUDE/UNIDADE BASICA";"0001754882";"EQUIPE AMARELA - ESB";"eSB";"41";"572";"7,20"
