Ministério da Saúde MS
Secretaria de Atenção Primária à Saúde SAPS
Sistema de Informação para a Atenção Primária à Saúde – SIAPS
Dado gerado em: 14 de outubro de 2025 - 14:12h
Relatório Qualidade - Visão por Competência

Dados Sócio Demográficos:
UF: MS
Município: 500660 / PONTA PORÃ

Filtro:
Indicador: Taxa de exodontias na APS
Competência selecionada: AGO/25
Tipo de Equipe: eSB

CNES;ESTABELECIMENTO;TIPO DO ESTABELECIMENTO;INE;NOME DA EQUIPE;SIGLA DA EQUIPE;NÚMERO TOTAL DE EXODONTIAS REALIZADAS;NÚMERO DE TOTAL DE PROCEDIMENTOS INDIVIDUAIS PREVENTIVOS, CURATIVOS E EXODONTIAS REALIZADAS;PONTUAÇÃO
"2599465";"UNIDADE BASICA DE SAUDE LEONOR COELHO BATISTA";"CENTRO DE SAUDE/UNIDADE BASICA";"0002096315";"ESB - LEONOR COELHO BATISTA";"eSB";"20";"369";"5,40"
"5683238";"UNIDADE BASICA DE SAUDE ROSANGELA PEREIRA SILVA";"CENTRO DE SAUDE/UNIDADE BASICA";"0002096358";"ESB - ITAMARATI";"eSB";"35";"761";"4,60"
"9042849";"UNIDADE BASICA DE SAUDE DR JOSE ISSA";"CENTRO DE SAUDE/UNIDADE BASICA";"0002038420";"ESB - JOSE ISSA";"eSB";"119";"1585";"7,50"
"2651556";"UNIDADE BASICA DE SAUDE LAR GERALDO GARCIA";"CENTRO DE SAUDE/UNIDADE BASICA";"0002096323";"ESB - GERALDO GARCIA I";"eSB";"62";"1873";"3,30"
"7281986";"UNIDADE BASICA DE SAUDE JOSE ALBERTO VIEIRA BOCH";"CENTRO DE SAUDE/UNIDADE BASICA";"0002096366";"ESB - JARDIM ESTORIL";"eSB";"144";"1468";"9,80"
"5683238";"UNIDADE BASICA DE SAUDE ROSANGELA PEREIRA SILVA";"CENTRO DE SAUDE/UNIDADE BASICA";"0002096331";"ESB-ITINERANTE";"eSB";"114";"757";"15,10"
"2361019";"UNIDADE BASICA DE SAUDE AUDELINA DE CAMPOS";"CENTRO DE SAUDE/UNIDADE BASICA";"0002096382";"ESB - CABECEIRA DO APA";"eSB";"9";"489";"1,80"
"9003479";"UNIDADE BASICA DE SAUDE ZENEIDA TERRA DE SIQUEIRA";"CENTRO DE SAUDE/UNIDADE BASICA";"0002083558";"ESB - JARDIM IVONE";"eSB";"60";"804";"7,50"
"9387919";"UNIDADE BASICA DE SAUDE DRA NISLAINE COLMAN BENITES";"CENTRO DE SAUDE/UNIDADE BASICA";"0002096390";"ESB - VILA RENO";"eSB";"78";"813";"9,60"
"5911192";"UNIDADE BASICA DE SAUDE DR PEDRO MONTEIRO DE ALMEIDA";"CENTRO DE SAUDE/UNIDADE BASICA";"0002052792";"ESB - JARDIM AEROPORTO";"eSB";"5";"244";"2,00"
"2651564";"CENTRO INTEGRADO DE SAUDE CIS TERTULIANA DE FREITAS";"CENTRO DE SAUDE/UNIDADE BASICA";"0002225964";"ESB - CIS II";"eSB";"16";"1350";"1,20"
"5870178";"UNIDADE BASICA DE SAUDE DR NERY ALVES DE AZAMBUJA";"CENTRO DE SAUDE/UNIDADE BASICA";"0002057433";"ESB - MARAMBAIA";"eSB";"10";"343";"2,90"
"0998400";"UNIDADE BASICA DE SAUDE DR RODRIGO LIMA VILHANUEVA";"CENTRO DE SAUDE/UNIDADE BASICA";"0002083531";"ESB - KAMEL SAAD";"eSB";"175";"1858";"9,40"
"9075062";"UNIDADE BASICA DE SAUDE ENFERMEIRA ELIZA MEDINA BARRETO";"CENTRO DE SAUDE/UNIDADE BASICA";"0002057441";"ESB - SAO RAFAEL";"eSB";"1";"35";"2,90"
"2651521";"UNIDADE BASICA DE SAUDE NELSON MACHADO DIAS";"CENTRO DE SAUDE/UNIDADE BASICA";"0002079925";"ESB - IPE II";"eSB";"171";"2344";"7,30"
"5971918";"UNIDADE BASICA DE SAUDE ANDERSON LUIZ MONTEIRO GODOY";"CENTRO DE SAUDE/UNIDADE BASICA";"0002052822";"ESB VILA AUREA";"eSB";"50";"1350";"3,70"
"2361000";"UNIDADE BASICA DE SAUDE JOSE BATAGLIN";"CENTRO DE SAUDE/UNIDADE BASICA";"0002079917";"ESB - SANGA PUITA";"eSB";"11";"113";"9,70"
"3830497";"UNIDADE BASICA DE SAUDE JOSE ALBERTO FERREIRA NEVES";"CENTRO DE SAUDE/UNIDADE BASICA";"0002079933";"ESB - JARDIM ALEGRETE";"eSB";"113";"1052";"10,70"

Fonte: Sistema de Informação para a Atenção Primária à Saúde - SIAPS
Dado preliminar
